[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
[weapon_gun]|||||||||||
normal_gun_hand_cannon|Hand Cannon|Käsikanuuna|Canhão de Mão|Ручная Пушка|手槍|ハンドキャノン|핸드 캐논 (Hand Cannon)|Handkanone|Pistolet|Cañón de Mano|Ręczna Armata
normal_gun_hunting_rifle|Hunting Rifle|Metsästyskivääri|Espingarda de caça|Охотничье ружье|狩獵步槍|ハンティングライフル|사냥용 소총 (Hunting Rifle)|Jagdgewehr|Fusil de chasse|Rifle de Caza|Myśliwska Strzelba
normal_gun_gatling_gun|Gatling Gun|Sarjatuliase|Metralhadora|Пистолет Гатлинга|加特林機槍|ガトリングガン|개틀링 건 (Gatling Gun)|Gatling-Gewehr|Fusil Gatling|Ametralladora Gatling|Karabin Gatlinga
normal_gun_battle_blaster|Battle Blaster|Taistelu Blaster|Rifle de Batalha|Боевой Бластер|戰鬥爆破器|バトルブラスター|전투 블래스터 (Battle Blaster)|Kampf Blaster|Blaster de combat|Bláster de Batalla|Bitewny Blaster
|||||||||||
[weapon_gun_unique]|||||||||||
w_gun_rtx_xqc_4910|RT XQC-4910|RT XQC-4910|RT XQC-4910|RT XQC-4910|RT XQC-4910|RT XQC-4910|RT XQC-4910|RT XQC-4910|RT XQC-4910|RT XQC-4910|RT XQC-4910
w_gun_vampire_hunter|Vampire Hunter|Vampyyrin metsästäjä|Caçadora de Vampiros|Охотник на Вампиров|吸血鬼獵人|ヴァンパイア・ハンター|뱀파이어 헌터 (Vampire Hunter)|Vampirjäger|Chasseur de vampires|Cazador de Vampiros|Łowca Wampirów
w_gun_flamecannon|Flamecannon|Liekkikanuuna|Canhão de Chamas|Огнеметная Пушка|火焰炮|フレームキャノン|플레임캐논 (Flamecannon)|Flammenkanone|Canon flamboyant|Cañón de Llamas|Płomienna Armata
w_gun_warbringer|Warbringer|Sodantuoja|Portadora da Guerra|Несущий Войну|戰爭使者|ウォーブリンガー|워브링어 (Warbringer)|Kriegsbringer|Porte-guerre|Portador de la Guerra|Przynoszący Wojnę
w_gun_jack|Jack|Jaakko|Jack|Джек|傑克|ジャック|잭 (Jack)|Jack|Jack|Jack|Jack
w_gun_fred|Fred|Petteri|Fred|Фред|弗雷德 |フレッド |프레드 (Fred)|Fred|Fred|Fred|Fred
w_gun_steves_bang|Steve's Bang|Teemun pyssy|Estrondo de Steve|Взрыв Стива|史蒂夫的砰|スティーブの爆発|스티브의 뱅 (Steve's Bang)|Steves Bang|Pisto'BANG de Steve|"El ""Bang"" de Steve"|Bang Steve'a
w_gun_chills_of_war|Chills of War|Sodan väreet|Calafrios da Guerra|Холод войны|戰爭寒意|戦慄|전쟁의 오한 (Chills of War)|Schauer des Krieges|Frissons de la guerre|Escalofríos de la Guerra|Chłody Wojny
w_gun_st_brooks_elementium_pistol|Commander's Sentry Blaster|Pyhän Brooksin sula pistooli|Pistola Elemental de St Brook|Элементный пистолет Сент - Брукса|指揮官哨兵爆炸槍|聖ブルックスの溶けたピストル|지휘관의 감시 블래스터 (Commander's Sentry Blaster)|St. Brooks geschmolzene Pistole|Pistolet élémentaire de St. Brooks|Bláster de Centinela del Comandante|Blaster Wartownika Dowódcy
w_gun_marines_buddy|Marine's Buddy|Merimiehen kaveri|Amigo da Marinha|Приятель морского пехотинца|陸戰隊的夥伴|マリーンズバディ|해병대의 동료 (Marine's Buddy)|Marinekumpel|Pote du marine|El Colega del Marine|Przyjaciel Marine'a
w_gun_demon|Demon|Demoni|Demônio|Демон|惡魔|悪魔|데몬 (Demon)|Dämon|Démon|Demonio|Demon
w_gun_angel|Angel|Enkeli|Anjo|Ангел|天使 |天使 |엔젤 (Angel)|Engel|Ange|Ángel|Anioł
w_gun_crystal_infused_pistol|Crystal Infused Pistol|Kristallipistooli|Pistola Infundida de Cristal|Пистолет , Наполненный Кристаллами|水晶手槍|クリスタル注入ピストル|수정 융합 권총 (Crystal Infused Pistol)|Kristallgefüllte Pistole|Pistolet infusé de cristal|Pistola con Cristal Infusionado|Kryształowy Pistolet
w_gun_f4_tactical_rifle|F4-Tactical Rifle|F4-Taktinen Kivääri|Rifle Tático F-4|F4-Тактическая винтовка|F4-戰術步槍|F4-タクティカル・ライフル|F4-전술 소총 (F4-Tactical Rifle)|F4-Taktisches Gewehr|Fusil tactique F4|Rifle Táctico F4|Taktyczny Karabin F4
w_gun_dreadnought|Dreadnought|Pelon Pesä|Encouraçado|Дредноут|無畏艦|ドレッドノート|드레드노트 (Dreadnought)|Schlachtschiff|Cuirassé|Acorazado|Dreadnought
w_gun_ak47|AK-47|AK-47|AK-47|AK-47|AK-47|AK-47|AK-47|AK-47|AK-47|AK-47|AK-47
w_gun_glock22|Glock 22|Glock 22|Glock 22|Глок 22 |克拉克22手槍|グロック22 |글록 22 (Glock 22)|Glock 22|Glock 22|Glock 22|Glock 22
w_gun_draculas_demise|Dracula's Demise|Dracula's Demise|A Morte de Drácula|Гибель Дракулы|德古拉之死|ドラキュラの破滅|드라큘라의 최후 (Dracula's Demise)|Draculas Untergang|La fin de Dracula|La muerte de Drácula|Zguba Draculi
w_gun_masters_magnum|Master's Magnum|Master's Magnum|Magnum do Mestre |Мастер Магнум |大師之作 |マスターズ・マグナム |마스터스 매그넘 (Master's Magnum)|Meister-Magnum|Le Magnum du Maître |El Magnum del Maestro |Magnum Mistrza
w_gun_ethereal_musket|Ethereal Musket||Mosquete Etéreo |Эфирный мушкет|虛空火槍|幽玄のマスケット |에테르 머스킷|Ätherische Muskete |Mousquet éthéré |Mosquete Etéreo|Eteryczny muszkiet
|||||||||||
lore_w_gun_dreadnought|Submerged and lost in battle within the sea of karponia this colossal cannon holds the firepower of ten fleets of ships.||Submerso e perdido na batalha do Mar de Karponia, este canhão colossal tem o poder de fogo de dez navios.|Затопленная и потерянная в битве в Карпонийском море, эта колоссальная пушка вмещает огневую мощь десяти кораблей.|這門巨型大砲沉沒在卡波尼亞之海的戰役中，它擁有十支艦隊的火力  |カルポニア海での戦いで沈没し、行方不明となったこの巨大な大砲は、10隻の艦隊に匹敵する火力を誇る。|카르포니아의 바다에서 전투 중 침몰하여 잃어버린 이 거대한 대포는 10척의 함대가 지닌 화력에 해당한다.|Versunken und verloren im Kampf im Karponischen Meer, verfügt diese kolossale Kanone über die Feuerkraft von zehn Schiffsflotten.|Submergé et perdu au combat dans la mer de Karponia, ce canon colossal détient la puissance de feu de dix flottes de navires.|Sumergido y perdido en batalla en el mar de Karponia, este colosal cañón posee la potencia de fuego de diez flotas de barcos.|Zatopiona i zagubiona w bitwie w morzu karponii, ta kolosalna armata posiada siłę ognia dziesięciu flot statków.
lore_w_gun_st_brooks_elementium_pistol|Building a fortress of hell by the power of sentries asserting dominance and commanding respect..||O verdadeiro potencial da Pistola Elemental foi liberado quando empunhada por uma alma em sintonia com a harmonia da natureza. Nas mãos do próprio St. Brooks, ela se tornou uma extensão de sua vontade, pois ele podia manipular os elementos para proteger os inocentes e defender a justiça.|Истинный потенциал пистолета Elementium раскрывался, когда им владела душа, настроенная на гармонию природы. В руках самого Сент-Брукса это стало продолжением его воли, поскольку он мог манипулировать стихиями, чтобы защитить невинных и отстоять справедливость.|利用哨兵的力量建造地獄堡壘，宣稱統治地位並贏得尊重|支配権を主張し、敬意を払う歩哨の力によって、地獄の要塞を築き上げている。|센트리의 힘으로 지옥의 요새를 세우며, 지배를 확립하고 존경을 명령하는 대포.|Errichtet eine Höllenfestung durch die Macht von Wachen, die ihre Dominanz behaupten und Respekt einflößen.|Construisant une forteresse infernale grâce à la puissance de sentinelles affirmant leur domination et imposant le respect.|Construyendo una fortaleza del infierno con el poder de los centinelas, afirmando el dominio y exigiendo respeto...|Budowanie fortecy piekła mocą wartowników, narzucających dominację i budzących szacunek..
lore_w_gun_ak47|Officially known as the Avtomat Kalashnikova is a gas-operated assault rifle that is chambered for the 7.62×39mm cartridge |Virallisesti tunnettu Avtomat Kalashnikova on kaasukäyttöinen rynnäkkökivääri, joka on kammioitu 7,62 × 39 mm patruunaa varten |Oficialmente conhecido como Avtomat Kalashnikova é um rifle de assalto operado a gás com câmara para o cartucho 7,62×39mm |Официально известный как «Автомат Калашникова» — это газоотводная штурмовая винтовка под патрон 7,62×39 мм. |AK-47的正式名稱為卡拉希尼柯夫自動步槍, 是一款氣動突擊步槍, 使用 7.62×39mm 子彈|正式名称をアフトマート・カラシニコフというこの大砲は、7.62×39mm弾を使用するガス作動式アサルトライフルである。|공식적으로 칼라시니코프 자동소총으로 알려진 이 총기는 7.62×39mm 탄환을 장전하는 가스 작동식 돌격 소총이다.|Offiziell bekannt als Avtomat Kalashnikova ist es ein gasbetriebenes Sturmgewehr mit einer Patronenkammer im Kaliber 7,62 × 39 mm.|Officiellement connu sous le nom d'Avtomat Kalashnikova, ce fusil d'assaut à gaz est chambré pour la cartouche 7,62 × 39 mm.|Oficialmente conocido como el Avtomat Kalashnikova, es un rifle de asalto operado por gas que utiliza el cartucho de 7.62x39mm.|Oficjalnie znany jako Avtomat Kalashnikova – gazowy karabin szturmowy komorowany na nabój 7,62×39 mm.
lore_w_gun_glock22|The GLOCK 22 fires the potent 40 S&W cartridge and holds more rounds for its size and weight than most other full-sized handgun in its class. |GLOCK 22 ampuu tehokkaalla 40 S&W patruunalla ja mahtuu kokoonsa ja painoonsa enemmän patruunoita kuin useimmat muut täysikokoiset käsiaseet luokassaan. |A GLOCK 22 dispara o potente cartucho 40 S&W e comporta mais cartuchos para seu tamanho e peso do que a maioria das outras armas de fogo de tamanho normal de sua classe. |GLOCK 22 стреляет мощным патроном 40 S&W и вмещает больше патронов для своего размера и веса, чем большинство других полноразмерных пистолетов этого класса. |GLOCK 22 發射威力強大的 40 S&W 子彈，相對於其尺寸和重量，其裝載的子彈比同類中的大多數其他全尺寸手槍都要多 |グロック22は強力な.40 S&W弾を使用し、そのサイズと重量に対して、同クラスの他のほとんどのフルサイズ拳銃よりも多くの弾丸を装填できる。 |글록 22는 강력한 40 S&W 탄환을 발사하며, 크기와 무게에 비해 대부분의 다른 풀사이즈 권총보다 더 많은 발사를 할 수 있다.|Die GLOCK 22 feuert die leistungsstarke 40 S&W-Patrone ab und fasst im Verhältnis zu ihrer Größe und ihrem Gewicht mehr Patronen als die meisten anderen vollwertigen Handfeuerwaffen ihrer Klasse.|Le GLOCK 22 tire la puissante cartouche 40 S&W et contient plus de munitions pour sa taille et son poids que la plupart des autres armes de poing de sa catégorie. |La GLOCK 22 dispara el potente cartucho .40 S&W y tiene más capacidad para su tamaño y peso que la mayoría de las pistolas de tamaño completo de su clase.|GLOCK 22 strzela potężnym nabojem .40 S&W i mieści więcej pocisków w stosunku do swojego rozmiaru i wagi niż większość innych pełnowymiarowych pistoletów w swojej klasie.
lore_w_gun_draculas_demise|A silver bullet from this legendary weapon ended a thousand years of darkness..|A silver bullet from this legendary weapon ended a thousand years of darkness..|Uma bala de prata disparada por esta arma lendária pôs fim a mil anos de trevas...|Серебряная пуля из этого легендарного оружия положила конец тысячелетней тьме…|這把傳奇武器的銀彈結束了千年的黑暗……|この伝説の武器から放たれた銀の弾丸が、千年の闇に終止符を打った..|이 전설적인 무기에서 발사된 은탄환은 천 년의 암흑을 끝냈다|Eine Silberkugel aus dieser legendären Waffe beendete tausend Jahre der Dunkelheit.|Une balle en argent tirée de cette arme légendaire mit fin à mille ans de ténèbres…|Una bala de plata de esta legendaria arma puso fin a mil años de oscuridad.|Srebrna kula z tej legendarnej broni zakończyła tysiąc lat ciemności..
lore_w_gun_masters_magnum|When size matters.|When size matters.|Quando o tamanho importa. |Когда размер имеет значение. |尺寸很重要。 |大きさがものを言う時。 |크기가 중요한 순간. |Wenn es auf die Größe ankommt.|Quand la taille compte. |Cuando el tamaño importa. |Gdy rozmiar ma znaczenie.
lore_w_gun_ethereal_musket|Spectral fire power at its best..||Poder de fogo espectral em sua melhor forma... |Спектральная огневая мощь во всей красе..|巔峰絕頂的幽冥火力……|圧倒的な火力を誇る、まさに最高の一品。 |최고의 유령 화력...|Spektrale Feuerkraft vom Feinsten... |Une puissance de feu spectrale à son apogée... |El poder de fuego espectral en su máxima expresión.|Widmowa siła ognia w najlepszym wydaniu...
|||||||||||
[weapon_chainsaw]|||||||||||
normal_chainsaw_battle_slicer|Battle Slicer|Taistelusilpoja|Motosserra de Batalha|Боевой Слайсер|戰鬥鋸|バトルスライサー|전투 절단기 (Battle Slicer)|Kampfsäge|Trancheur de combat|Rebanadora de Batalla|Bitewny Krajalnik
normal_chainsaw_war_saw|War Saw|Sotasaha|Motosserra de Guerra|Война Видела|戰爭鋸刃|ウォーソー|전쟁 톱 (War Saw)|Kriegssäge|Scie de guerre|Sierra de Guerra|Wojenna Piła
normal_chainsaw_trunk_cutter|Trunk Cutter|Rungon leikkuri|Cortadora de Tronco|Резец для стволов|伐株鋸|トランクカッター|트렁크 커터 (Trunk Cutter)|Stammsäge|Coupeur de troncs|Cortadora de Troncos|Krajalnik Pni
normal_chainsaw_hand_saw|Hand Saw|Käsisaha |Serra de Mão|Ручная Пила|手鋸 |ハンドソー |한손 톱 (Hand Saw)|Handsäge|Scie à main|Sierra de Mano|Piła Ręczna
|||||||||||
[weapon_chainsaw_unique]|||||||||||
w_chainsaw_sawgun|Sawgun|Sahapyssy|Arma-serra|Обрез|鋸槍|ソーガン|톱총 (Sawgun)|Sägegewehr|Pisto'scie|Pistolsierra|Piła Strzelba
w_chainsaw_doublesaw_4000|Doublesaw 4000|Tuplasaha 4000|Serra Dupla 4000|Двойная пила 4000|雙鋸4000|ダブルソー 4000|더블톱 4000 (Doublesaw 4000)|Doppelsäge 4000|Scie double 4000|Motosierra Doble 4000|Doublesaw 4000
w_chainsaw_doomsaw|Doomsaw|Tuhosaha|Serra da Desgraça|Пила Судьбы|末日鋸|ドゥームソー|파멸톱 (Doomsaw)|Verdammnissäge|Scie fatale|Motosierra de la Perdición|Piła Zagłady
w_chainsaw_vorpal_sharktooth|Vorpal Sharktooth|Vorpaali Hainhammas|Dente de Tubarão Vorpal|Ворпал Акулий Клык|斬首鯊齒|首切りシャークトゥース|보팔 샤크투스 (Vorpal Sharktooth)|Tödlicher Haifischzahn|Mâchoire vorpale|Diente de Tiburón Vorpalino|Vorpalowy Rekini Ząb
w_chainsaw_the_annihilator|The Annihilator|Tuhoaja|O Aniquilador|Уничтожитель|毀滅者|アナイアレイター|더 애니힐레이터 (The Annihilator)|Der Vernichter|Annihilateur|El Aniquilador|Annihilator
w_chainsaw_st_meeses_longsaw|St. Draxis Longsaw|Pyhän Draxiksen Pituussaha|Grande Motosserra de St. Draxis|Длинная Пила Святого Драксиса|聖德拉西斯的長鋸|聖ドラキス・ロングソー |성 드락시스 긴톱 (St. Draxis Longsaw)|St. Draxis Langsäge|Scie longue de St. Draxis|Motosierra Larga de San Draxis|Długa Piła św. Draxis
w_chainsaw_lumberjacks_chainsaw|Lumberjack's Chainsaw|Tukkimiehen Moottorisaha|Motosserra do Lenhador|Бензопила лесоруба|伐木工電鋸|木こりのチェーンソー|나무꾼의 체인톱 (Lumberjack's Chainsaw)|Holzfällers Kettensäge|Scie à chaîne du bûcheron|Motosierra del Leñador|Piła Łańcuchowa Drwala
w_chainsaw_candy_shredder|Candy Shredder|Karkkia silppuri|Fragmentadora de Doces|Измельчитель Конфет|糖果粉碎機|キャンディシュレッダー|캔디 슈레더 (Candy Shredder)|Bonbon-Schredder|Broyeur de bonbons|Trituradora de Caramelos|Rozdrabniacz Cukierków
w_chainsaw_royal_decapitator|Royal Decapitator|Kuninkaallinen Mestaaja|Decapitadora Real|Королевский Обезглавливатель|皇家斬首者|ロイヤルディカピター|왕실 참수기 (Royal Decapitator)|Königlicher Enthauptungsapparat|Décapiteur royal|Decapitadora Real|Królewski Decapitator
w_chainsaw_diablo|Diablo|Paholainen|Diablo|Диабло |暗黑破壞神 |ディアブロ |디아블로 (Diablo)|Diablo|Diablo|Diablo|Diablo
w_chainsaw_edens_harvester|Eden's Harvester|Eden's Harvester|Ceifador do Éden |Жнец Эдема |伊甸收割者 |エデンの収穫者|에덴의 수확기 (Eden's Harvester)|Edens Erntehelfer|Le moissonneur d'Eden |Cosechadora del Edén|Żniwiarz Edenu
|||||||||||
lore_w_chainsaw_st_meeses_longsaw|It is said that when faced with danger, the chainsaw's blade would blaze with a radiant golden light, akin to the forest's life force.|Sanotaan, että vaaran kohdatessa moottorisahan terä leimahti kultaisella säteilevällä valolla, joka muistuttaa metsän elinvoimaa.|Diz-se que, quando confrontada com o perigo, a lâmina da motosserra brilhava com uma luz dourada radiante, semelhante a força vital da floresta.|Говорят, что при столкновении с опасностью лезвие бензопилы вспыхивало сияющим золотым светом, сродни жизненной силе леса.|據說,當遇到危險時, 電鋸的刀刃會綻放出璀璨的金光, 猶如森林的生命力|危険に直面すると、チェーンソーの刃は森の生命力のように輝く金色の光を放つと言われています。|위험에 직면하면 체인쏘우의 날이 숲의 생명력처럼 빛나는 황금빛을 내뿜는다고 전해진다.|Es heißt, dass die Klinge der Kettensäge bei Gefahr in einem strahlenden goldenen Licht lodert, das der Lebenskraft des Waldes ähnelt.|On dit que face au danger, la lame de la tronçonneuse s'illumine d'une lumière dorée et rayonnante, semblable à la force vitale de la forêt.|Se dice que, al enfrentarse al peligro, la hoja de la motosierra resplandecía con una radiante luz dorada, similar a la fuerza vital del bosque.|Mówi się, że w obliczu niebezpieczeństwa klinga piły łańcuchowej rozbłyska promiennym złotym światłem, podobnym do siły życiowej lasu.
lore_w_chainsaw_candy_shredder|Said to come from the mythical Sheeponia put together by the Sheep King himself.. bää.|Sanotaan tulevan myyttisestä Sheeponiasta, jonka Lammaskuningas itse on koonnut.. bää. |Dizem que vem da mítica Sheeponia, criada pelo próprio Rei Ovelha.. bää.|Говорят, что он происходит из мифической Овечьей Империи, созданной самим Овечьим королем ... баа.|據說來自羊王親自組裝的神話般的羊草……咩|羊の王様自身が作り上げた神話のシーポニアに由来すると言われています…べっ。 |전설에 따르면, 이 체인쏘우는 양왕 자신이 만든 신화적인 쉬포니아에서 온 것이라고 한다.. bää.|Angeblich stammt es aus dem mythischen Schafswesen, das der Schafskönig persönlich erschaffen hat.|Elle proviendrait de la mythique Moutopia créée par le roi des moutons lui-même... bééééé.|Se dice que viene de la mítica Ovejonia, ensamblada por el propio Rey Oveja... beee.|Mówi się, że pochodzi z mitycznej Sheeponii, złożona przez samego Króla Owiec.. bää.
lore_w_chainsaw_edens_harvester|The unholy saw used to cut down the tree of life within the garden of eden..|The unholy saw used to cut down the tree of life within the garden of eden..|A serra profana usada para cortar a árvore da vida no jardim do Éden... |Эта зловещая пила использовалась для срубания древа жизни в Эдемском саду... |邪惡之鋸用來砍倒伊甸園中的生命樹…… |エデンの園で生命の樹を切り倒すために使われた不敬なる鋸..|에덴동산의 생명나무를 베는데데 사용한 타락한 톱|Die unheilige Säge, mit der der Baum des Lebens im Garten Eden gefällt wurde…|La scie impie servait à abattre l'arbre de vie dans le jardin d'Éden... |La sierra profana utilizada para talar el árbol de la vida en el jardín del edén.|Nieświęta piła używana do ścięcia Drzewa Życia w ogrodzie Eden..
|||||||||||
[weapon_flask]|||||||||||
normal_flask_poison_flask|Poison Flask|Myrkkyrohto|Frasco Venenoso|Склянка с Ядом|毒藥瓶|毒のバイアル|독 플라스크 (Poison Flask)|Giftphiole|Fiole à poison|Frasco de Veneno|Flaszka Trucizny
normal_flask_caustic_vial|Caustic Vial|Sotapullo|Frasco Cáustico|Флакон с Каустиком|腐蝕瓶|ウォーフラスク|부식성 병 (Caustic Vial)|Kriegskolben|Fiole caustique|Vial Cáustico|Żrąca Fiola
normal_flask_acid_flask|Acid Flask|Happopullo|Frasco Ácido|Колба с кислотой|酸性瓶|酸性フラスコ|산성 플라스크 (Acid Flask)|Säurekolben|Fiole d'acide|Frasco de Ácido|Flaszka Kwasu
normal_flask_achemists_flask|Alchemist's Flask|Sotamyrkky|Frasco do Alquimista|Колба алхимика|煉金術師燒瓶|ウォーポイズン|연금술사의 플라스크 (Alchemist's Flask)|Kriegsgift|Fiole d'alchimiste|Frasco del Alquimista|Flaszka Alchemika
|||||||||||
[weapon_flask_unique]|||||||||||
w_flask_cobra_blood_vial|Cobra Blood Vial|Kobranveripullo|Frasco de Sangue de Cobra|Флакон с кровью Кобры|眼鏡蛇血瓶|コブラの血のバイアル|코브라 혈병 (Cobra Blood Vial)|Phiole mit Kobrablut|Fiole de sang de cobra|Vial de Sangre de Cobra|Fiola Krwi Kobry
w_flask_ancient_mucus|Ancient Mucus|Muinainen Muta|Muco Antigo|Древняя Слизь|古代黏液|古代の粘液|고대 점액 (Ancient Mucus)|Uralter Schleim|Mucus ancien|Moco Ancestral|Pradawny Śluz
w_flask_demon_blood_flask|Demon Blood Flask|Pirunveripullo|Frasco de Sangue de Demônio|Фляга с Кровью Демона|惡魔血瓶|デーモンの血のフラスコ|악마 피 플라스크 (Demon Blood Flask)|Flasche mit Dämonenblut|Flacon de sang de démon|Frasco de Sangre de Demonio|Flaszka Krwi Demona
w_flask_spirit_urn|Spirit Urn|Sielu-uurna|Urna de Espírito|Урна с Духом|魂甕|精霊の骨壷|정령 항아리 (Spirit Urn)|Geisturne|Urne spirituelle|Urna de Espíritu|Urna Duchów
w_flask_doctors_potion|Doctor's Potion|Tohtorin Rohto|Poção do Médico|Докторское зелье|醫生的藥水|ドクターズポーション|의사의 물약 (Doctor's Potion)|Trank des Doktors|Potion du docteur|Poción del Doctor|Mikstura Doktora
w_flask_doomweed_vial|Doomweed Vial|Doomweed injektiopullo|Frasco de Doomweed|Флакон из Роковой Травы|末日草瓶|ドゥームウィード・バイアル|둠위드 병 (Doomweed Vial)|Doomweed-Flasche|Fiole d'herbe macérées|Vial de Hierba Maldita|Fiola Doomweed
|||||||||||
[weapon_universal]|||||||||||
w_universal_lemon|Lemon|Sitruuna|Limão|Лимон|檸檬|レモン|레몬|Zitrone|Citron|Limón|Cytryna
w_universal_fishing_rod|Fishing Rod|Onki|Vara de Pesca|Рыболовная удочка|釣竿|釣り竿|낚싯대|Angelrute|Canne à pêche|Caña de pescar|Wędka
w_universal_cheated_item|Voided Item|Voided Item|Item Inutilizado|Невостребованный товар|无效物品|虚無化アイテム|무효화 아이템|Ungültiger Gegenstand|Objet inutile|Objeto descartado|Przedmiot Unieważniony
lore_w_universal_lemon|When life gives you Lemons, take them and throw them around without care in the world!|When life gives you Lemons, take them and throw them around without care in the world!|Quando a vida te der limões, pegue-os e jogue-os por aí sem se preocupar com nada!|Когда жизнь подбрасывает тебе лимоны, возьми их и бросай куда не денешься!|生活給了你檸檬，那就拿去隨心所欲地丟吧！|人生があなたにレモンを与えたら、それを取って、気にせず投げつけましょう。 |삶이 레몬을 주면, 그것을 받아서 세상 신경 쓰지 말고 막 던져버리세요!|Wenn dir das Leben Zitronen gibt, nimm sie und wirf sie ungeniert in die Welt hinaus!|Quand la vie vous donne des citrons, prenez-les et jetez-les n'importe comment !|Cuando la vida te dé limones, ¡aprovéchalos y úsalos sin remordimientos!|Gdy życie daje ci cytryny, weź je i rzucaj nimi wokół bez troski o świat!
lore_w_universal_fishing_rod|A great bamboo stick turned into a fishing rod..|A great bamboo stick turned into a fishing rod..|Um ótimo pedaço de bambu transformado em vara de pesca... |Отличная бамбуковая палка, превращенная в рыболовную удочку... |一根很棒的竹竿，變成了一根釣竿…… |立派な竹の棒が釣り竿に姿を変えた...|훌륭한 대나무 막대를 개조한 낚싯대|Ein toller Bambusstock wurde zur Angelrute umfunktioniert.|Un beau bâton de bambou transformé en canne à pêche… |Un gran palo de bambú convertido en caña de pescar… |Wielki bambusowy kij przerobiony na wędkę..
|||||||||||
[armors]|||||||||||
armors_normal_steel_armor|Steel Armor|Teräs panssari|Armadura de Aço|Стальная Броня|鋼甲|鋼鉄の鎧|강철 갑옷 (Steel Armor)|Stahlrüstung|Armure tigulée|Armadura de Acero|Stalowa Zbroja
armors_normal_leather_coat|Leather Coat|Nahkainen takki|Manto de Couro|Кожаное Пальто|皮革甲|革のコート|가죽 코트 (Leather Coat)|Ledermantel|Armure de cuir|Abrigo de Cuero|Skórzany Płaszcz
armors_normal_studded_leather|Studded Leather|Nastoitettu nahka|Couro Cravejado|Шипованная Кожа|鑲釘皮甲|鋲付き革|징박힌 가죽 (Studded Leather)|Nietenleder|Armure de treillis|Cuero Tachonado|Ćwiekowana Skóra
armors_normal_trellised_armor|Trellised Armor|Trelloitu panssari|Armadura Treliçada|Решетчатая Броня|格網護甲|トレリスアーマー|격자 갑옷 (Trellised Armor)|Gitterrüstung|Armure tressée|Armadura Enrejada|Zbroja Kratowana
armors_breast_plate|Breast Plate|Rintalevy|Placa Peitoral|Нагрудная пластина|胸鎧|胸当て|가슴 흉갑 (Breast Plate)|Brustpanzer|Plastron|Peto|Napierśnik
armors_normal_cuirass|Cuirass|Rintahaarniska|Couraça|Кираса|護胸甲|胸当て|흉갑 (Cuirass)|Kürass|Cuirasse|Coraza|Cuirass
armors_templar_coat|Templar Coat|Temppelitakki|Manto do Templário|Плащ Тамплиера|聖堂騎士戰甲|聖騎士のコート|템플러 코트 (Templar Coat)|Templermantel|Manteau de templier|Cota de Templario|Płaszcz Templariusza
armors_wire_fleece|Wire Fleece|Lanka Fleece|Armadura de Arame|Проволочный Флис|鋼線毛皮甲|ワイヤーフリース|와이어 플리스 (Wire Fleece)|Drahtvlies|Plaque d'archonte|Vellón de Alambre|Wełniana Siatka
armors_boneweave|Boneweave|Boneweave|Armadura Óssea|Костяная ткань|骸骨網甲|ボーンウィーブ|본위브 (Boneweave)|Knochengewebe|Armure d'ossements|Tejido de Hueso|Kość Tkana
armors_chaos_armor|Chaos Armor|Chaos Armor|Armadura do Caos|Броня Хаоса|混沌戰甲|カオスアーマー|카오스 갑옷 (Chaos Armor)|Chaosrüstung|Armure du chaos|Armadura del Caos|Zbroja Chaosu
armors_dusk_shroud|Dusk Shroud|Hämärän käärinliina|Manto do Crepúsculo|Сумеречный Саван|灰暮罩衣|ダスクシュラウド|황혼의 망토 (Dusk Shroud)|Dämmerungsschleier|Linceul crépusculaire|Sudario del Ocaso|Zmierzchowa Zasłona
armors_great_hauberk|Great Hauberk|Hieno Hauberk |Cota de Malha|Отличная Кольчуга|鱗鎧胸甲 |グレートホーバーク |대형 하우버크 (Great Hauberk)|Große Kettenberge|Grand haubert|Gran Cota de Malla|Wielki Hauberk
|||||||||||
[armors_unique]|||||||||||
armors_heavens_might|Heaven's Might|Taivaan Mahti|Poder do Paraíso|Могущество небес|天堂強權|天の威厳|천상의 힘 (Heaven's Might)|Macht des Himmels|Puissance des cieux|Poder de los Cielos|Potęga Niebios
armors_leviathan|Leviathan's Carcass||Carcaça do Leviatã|Туша Левиафана|利維坦的殘骸|リヴァイアサンのカーカス|레비아탄의 시체 (Leviathan's Carcass)||Carcasse de Léviathan|Armazón del Leviatán|Trup Lewiatana
armors_tayrels_chestplate|Tayrel's Chestplate|Tayrelin Rintapelti|Peitoral de Tayrel|Нагрудник Тайрела|泰瑞爾胸甲|タイレルのチェストプレート|타이렐의 흉갑 (Tayrel's Chestplate)|Tayrels Brustplatte|Plastron de Tayrel|Peto de Tayrel|Napierśnik Tayrela
armors_uabels_chest|Uabel's Chest|Uabelin Rintapelti|Peitoral de Uabel|Сундук Уабель|烏貝爾胸甲|ユーベルのチェスト|우아벨의 흉갑 (Uabel's Chest)|Uabels Brust|Cuirasse d'Uabel|Peto de Uabel|Pierś Uabela
armors_marsh_shroud|Marsh Shroud|Suoverho|Manto do Pântano|Болотный Саван|沼澤罩衣|沼沢のシュラウド|늪지 망토 (Marsh Shroud)|Marschschleier|Linceul des marais|Sudario del Pantano|Bagienna Zasłona
