[Relic Names]|en|fi|pt|ru|zh|ja|ko|de|fr
desc_relic_demonSheep|Beware, the sheep with red eyes.||Cuidado com a ovelha de olhos vermelhos.|Остерегайтесь овец с красными глазами.|小心,那隻眼睛紅色的羊|赤い目をした羊に気をつけろ。|붉은 눈을 가진 양을 조심하세요.||Méfiez-vous des moutons aux yeux rouges.
desc_relic_doomFlute|Play the tunes of doom.||Toque as músicas da desgraça.|Играйте мелодии рока.|奏響末日的旋律|破滅の旋律を奏でよ。|파멸의 선율을 연주하세요.||Jouez des mélodies funestes.
desc_relic_frozenOrb|Nobody knows what kind of magic is frozen within it.||Ninguém sabe que tipo de magia está congelada dentro dele.|Никто не знает, какая магия заключена в нем.|沒人知道其中封存著何種魔法|その中にどんな魔法が秘められているか誰も知らない。|무슨 마법이 얼어붙었는지는 아무도 모릅니다.||Personne ne sait quel genre de magie y est figé.
desc_relic_nunchucks|Remember to practice first.||Lembre-se de praticar antes|Не забудьте сначала потренироваться.|記得先練習|まずは練習を忘れずに。|먼저 연습하는 걸 잊지 마세요.||N'oubliez pas de vous entraîner d'abord.
desc_relic_rubberDuck|Quack.||Quack.|Шарлатан.|嘎嘎|クワック。|꽥.||Coin-coin.
desc_relic_skullAxe|Finest steel with the sharpest cut. Cuts to bone like butter.||O aço mais fino com o corte mais afiado. Corta o osso como se fosse manteiga.|Тончайшая сталь с максимально острым срезом. Режет до кости, как масло.|最好的鋼鐵,最鋒利的切口. 切到骨頭就像切到奶油一樣容易|最高級の鋼と鋭い切れ味。骨をバターのように切り裂く。|가장 날카로운 절단력을 지닌 최고급 강철. 뼈까지 버터처럼 자릅니다.||L'acier le plus fin avec la coupe la plus tranchante. Il coupe de l'os comme du beurre.
desc_relic_theSpoon|You’ll see it is not the spoon that bends. It is only ourself.||Você verá que não é a colher que se dobra. É apenas nós mesmos.|Вы увидите, что гнется не ложка. Это всего лишь мы сами.|你會發現彎曲的並不是勺子,而是我們自己|曲がるのはスプーンじゃない。自分自身だ。|구부러지는 것은 숟가락이 아니라, 우리 자신입니다.||Vous verrez que ce n'est pas la cuillère qui plie. C'est seulement nous-mêmes.
desc_relic_stormDagger|Unleash the storm.||Liberte a tempestade.|Дай волю буре.|釋放風暴|嵐を解き放て。|폭풍을 해방하라.||Libérez la tempête.
desc_relic_odinsSword|Who dares to try and wield it?||Quem se atreve a tentar empunhá-la?|Кто осмелится попытаться завладеть им?|誰敢嘗試駕馭它|誰がそれを扱う勇気がある？|이걸 쓸 자격이 있는 자는 누구인가?||Qui ose vouloir la manier ?
desc_relic_theAmputationKit|Who needs legs anyway.||Quem precisa de pernas, afinal?|Кому вообще нужны ноги.|反正誰還需要腿呢|どうせ足なんて要らない。|다리는 필요 없잖아요.||Qui a besoin de jambes de toute façon ?
desc_relic_skullBat|Hmh. Salty.||Hmh. Salgado.|Хм... Солоноватый.|嗯. 鹹鹹的|ふむ、しょっぱいな。|흠. 짜다.||Hmh. Salé.
desc_relic_shredder|Could it cut Chaos Tower legs?||Ela poderia cortar as pernas da Torre do Caos?|Может ли это перерезать опоры Башни Хаоса?|它能砍斷混沌之塔的腿嗎?|カオスタワーの脚を切れるかも？|카오스 타워의 다리도 자를 수 있을까?||Pourrait-il couper les jambes de la Tour du chaos ?
desc_relic_stigmata|Vampires? What a joke.||Vampiros? Que piada.|Вампиры? Что за шутка.|吸血鬼？真是個笑話|ヴァンパイア？冗談だ。|뱀파이어? 무슨 농담이야.||Des vampires ? Quelle blague !
desc_relic_magicMushroom|Expand your mind, let your ego die.||Expanda sua mente, deixe seu ego morrer.|Расширьте свой разум, позвольте своему эго умереть.|拓寬你的思維,讓你的自我死去|心を広げ、エゴを捨てろ。|마음을 확장하고, 자아를 내려놓으세요.||Développez votre esprit, laissez mourir votre ego.
desc_relic_jefresSubscription|Like & Subscribe||Curta e se Inscreve|Ставьте лайк и подписывайтесь|點贊與訂閱|いいね＆チャンネル登録を。|좋아요 & 구독 부탁드려요.||Cloche et pouce bleu
desc_relic_rockBelt|Does not contain Heavy Metals.||Não contém metais pesados.|Не содержит тяжелых металлов.|不含重金屬|重金属は含まれていません。|중금속은 포함되어 있지 않습니다.||Ne contient pas de Heavy Metal.
desc_relic_sausage|Let’s have a barbeque in hell.||Vamos fazer um churrasco no inferno.|Давай устроим барбекю в аду.|讓我們在地獄裡燒烤吧|地獄でバーベキューをしよう。|지옥에서 바비큐 파티 한 판 하시죠.||Un barbecue en enfer.
desc_relic_spiritSkull|An Ancient skull with a spirit inside.||Um crânio antigo com um espírito dentro.|Древний череп с духом внутри.|一個裡面有靈魂的古代頭骨|精霊が宿る古代の頭蓋骨。|영혼이 깃든 고대의 해골입니다.||Un crâne ancien, son esprit est encore à l'intérieur.
desc_relic_apple|An apple a day, keeps the evil away.||Uma maçã por dia mantém o mal longe.|Одно яблоко в день отгоняет зло.|一天一個蘋果，邪惡遠離你|一日一個のリンゴは悪を遠ざける。|하루 한 개의 사과가 악을 물리칩니다.||Manger une pomme avant d'aller au lit empêche le médecin de gagner son pain.
desc_relic_fetus|Unborn and forgotten.||Não nascido e esquecido.|Нерожденный и забытый.|未曾誕生，已被遺忘|生まれず忘れ去られた者。|태어나지도, 기억되지도 못한 자.||Mort-né et abandonné.
desc_relic_theEye|Don’t force the eye.||Não force o olhar.|Не напрягайте зрение.|不要強迫眼睛|目を無理に開けるな。|눈을 억지로 뜨지 마세요.||Ne forcez pas l'œil.
desc_relic_devilSkull|Artifact of evil and rage.||Artefato do mal e da raiva.|Артефакт зла и ярости.|邪惡和憤怒的神器|悪と怒りの遺物。|증오와 분노의 유물.||Artefact empli de haine et de colère.
desc_relic_whip|Back to grave, undead.||De volta ao túmulo, morto-vivo.|Возвращайся в могилу, нежить.|回歸墳墓,亡靈|墓へ帰れ、不死者よ。|무덤으로 돌아가라, 언데드여.||Retourne dans la tombe, mort-vivant.
desc_relic_cake|It is so delicios it kills me.||É tão delicioso que me mata.|Это настолько восхитительно, что убивает меня.|它如此美味,簡直要了我的命|とても美味しくて、死にそうだ。|너무 맛있어서 죽을 맛이에요.||Ça me tue tellement c'est bon.
desc_relic_cookiesMilk|You stole Santas snack.||Você roubou o lanche do Papai Noel.|Ты украл закуску Деда Мороза.|你偷了聖誕老人的零食|サンタのスナックを盗んだな。|산타의 간식을 훔쳤군요.||Tu as volé le goûter du Père Noël.
desc_relic_blazingBoots|Run so fast you leave a trail of flames.||Corra tão rápido que deixa um rastro de chamas.|Беги так быстро, что оставляешь за собой огненный след.|跑得太快,留下一道火焰軌跡|火の跡を残して猛ダッシュ。|달릴 때 불꽃 자국이 남을 정도로 빨라집니다.||Cours si vite que tu laisses une traînée de flammes.
desc_relic_charmedBlood|Vampires? Not a joke.||Vampiros? Não é uma piada.|Вампиры? Это не шутка.|吸血鬼？一點也不好笑|ヴァンパイア？冗談じゃない。|뱀파이어? 농담이 아니에요.||Des vampires ? Ce n'est pas une blague.
desc_relic_shrunkenHead|This once belonged to Papa Legba.||Isso já pertenceu a Papa Legba.|Когда-то он принадлежал папе Легбе.|這曾經屬於莱巴爸爸|かつてパパ・レグバのものだった。|이것은 한때 파파 레그바의 것이었습니다.||Ceci a appartenu à Papa Legba.
desc_relic_oddBookOfSpells|Warning: These spells are untested.||Advertência: Esses feitiços não foram testados.|Предупреждение: Эти заклинания не проверены.|警告：這些咒語未經測試|警告：これらの呪文は未検証です。|경고: 이 주문들은 테스트되지 않았습니다.||Avertissement : Ces sorts n'ont pas été testés.
desc_relic_ancientRock|Needs googly eyes.||Precisa de olhos esbugalhados.|Нужен гуглистый взгляд.|需要一雙靈動的眼睛|ぐるぐる目玉が必要。|구글리 눈이 필요합니다.||Nécessite des yeux globuleux.
desc_relic_theHolyBible|In the name of the spirit.||Em nome do espírito.|Во имя святого духа.|以靈魂的名義|精霊の名のもとに。|영혼의 이름으로.||Au nom de l'esprit.
desc_relic_aaronsStaff|Staff of Aaron with healing power.||Cajado de Aaron com poder de cura.|Посох Аарона, обладающий исцеляющей силой.|附有治癒力量的亞倫之杖|回復の力を持つアーロンの杖。|치유의 힘을 지닌 아론의 지팡이.||Bâton d'Aaron empli du pouvoir de guérison.
desc_relic_ogreClub|The ogre was one ugly fellow.||O ogro era um sujeito feio.|Людоед был на редкость уродливым парнем.|食人魔曾經是個醜陋的傢伙|オーガは見た目がひどかった。|그 오우거는 진짜 못생겼었죠.||L'ogre était un vilain personnage.
desc_relic_basilisksTooth|Be careful, it might still contain poison.||Tenha cuidado, pois ele ainda pode conter veneno.|Будь осторожен, в нем все еще может содержаться яд.|小心,它可能仍然含有毒藥|注意しろ、まだ毒が残っているかもしれない。|아직도 독이 남아 있을지도 모릅니다. 조심하세요.||Attention, il peut encore contenir du poison.
desc_relic_twinBlade|Sharp blade for Critical Strikes.||Lâmina afiada para golpes críticos.|Острое лезвие для нанесения критических ударов.|用於暴擊的鋒利刀片|クリティカルヒット用の鋭い刃。|치명타에 특화된 날카로운 검입니다.||Lame tranchante pour les coups critiques.
desc_relic_handScythe|Excellent tool for slaughtering.||Excelente ferramenta para abates.|Отличный инструмент для забоя скота.|屠殺的極佳工具|虐殺に最適な道具。|도살에 최적인 도구입니다.||Excellent outil pour le massacre.
desc_relic_templarShield|Knights protector.||Protetor de cavaleiros.|Рыцари-защитники.|騎士保護者|騎士の守護者。|기사의 수호자.||Protecteur des chevaliers.
desc_relic_kingsCrown|Gurag won’t need this.||Gurag não precisará disso.|Гурагу это не понадобится.|古拉格不會再需要這個了|グラッグには不要だろう。|구라그는 이걸 더 이상 필요로 하지 않아요.||Gurag n'en aura pas besoin.
desc_relic_damnedBuckler|It holds a curse within.||Ele contém uma maldição em seu interior.|Оно таит в себе проклятие.|它裡面蘊含著詛咒|呪いを宿している。|저주가 깃들어 있습니다.||Il contient une malédiction.
desc_relic_dragonShield|Carefully crafted from the scales of a dragon.||Cuidadosamente criado com as escamas de um dragão.|Тщательно изготовленная из чешуи дракона.|由龍鱗精心打造而成|ドラゴンの鱗から丁寧に作られた。|용의 비늘로 정교하게 제작되었습니다.||Fabriqué avec soin à partir des écailles d'un dragon.
desc_relic_barbedShield|Thorns: Easiest way to revenge.||Espinhos: A maneira mais fácil de se vingar.|Шипы: Самый простой способ отомстить.|荊棘：最容易的報仇方式|トゲ：復讐の最も簡単な方法。|가시: 가장 쉬운 복수 방법.||Des épines : Le moyen le plus facile de se venger.
desc_relic_helmOfChaos|Some say you find more Chaos Towers with this.||Alguns dizem que você encontra mais Torres do Caos com isso.|Некоторые говорят, что с этим можно найти еще больше Башен Хаоса.|有人說,有了它,你能找到更多混沌之塔|これでカオスタワーがもっと見つかると言う者もいる。|이걸 들고 있으면 카오스 타워를 더 자주 만날 수 있다는 소문이 있어요.||Certains disent qu'on trouve plus de Tours du chaos avec ça.
desc_relic_bracerOfLife|Embrace the life, as it is most valuable thing you will ever have.||Abrace a vida, pois ela é a coisa mais valiosa que você terá.|Примите жизнь, потому что это самое ценное, что у вас когда-либо будет.|擁抱生命,因為它是你擁有的最寶貴的東西|命を抱きしめろ、それが人生で最も大切なものだ。|삶을 포용하세요. 그것이 당신이 가질 수 있는 가장 소중한 것입니다.||Embrassez la vie, c'est la chose la plus précieuse que vous ayez jamais eue.
desc_relic_tokenOfLuck|Feeling lucky?||Está se sentindo com sorte?|Чувствуешь себя счастливым?|感覺幸運嗎?|運を感じるか？|행운을 시험해보시겠어요?||Vous vous sentez chanceux ?
desc_relic_theAllmightyFedora|The Ultimate knowledge of first 169 digits of Pi.||O conhecimento definitivo dos primeiros 169 dígitos de Pi.|Абсолютное знание первых 169 цифр числа Пи.|對π的前169位數字的終極知識|円周率の最初の169桁の究極の知識。|원주율 169자리까지의 궁극 지식.||La connaissance ultime des 169 premiers chiffres de Pi.
desc_relic_guardianAngel|Eternal protector.||Protetor eterno.|Вечный защитник.|永恆的守護者|永遠の守護者。|영원한 수호자.||Un protecteur éternel.
desc_relic_bookOfBelial|It’s funny if you think that he sits down and writes books.||É engraçado se você pensar que ele se senta e escreve livros.|Забавно, если вы думаете, что он садится и пишет книги.|如果你想像他坐下來寫書是有趣的話|彼が座って本を書いていると思うと面白い。|그가 책을 앉아서 쓴다고 생각하면 좀 웃기지 않나요?||C'est drôle si vous pensez qu'il s'assoit et écrit des livres.
desc_relic_doubleScythe|Double the blade, double the blood.||O dobro da lâmina, o dobro do sangue.|Удвойте лезвие, удвоьте количество крови.|刀刃加倍,鮮血加倍|刃を二倍にすれば血も二倍。|검이 두 개면, 피도 두 배.||Deux fois plus de lames, pour deux fois plus de sang.
desc_relic_fireIce|As opposites meet, potential is unmatched.||Quando os opostos se encontram, o potencial é inigualável.|Когда противоположности встречаются, потенциал не имеет себе равных.|當對立面相遇時,潛力是無與倫比的|対極が出会うと、可能性は無限大。|상반된 것들이 만나면, 그 잠재력은 무한합니다.||Lorsque les opposés se rencontrent, le potentiel est inégalé.
desc_relic_LightKatana|Search your feelings, you know it to be awesome.||Procure seus sentimentos, você sabe que é incrível.|Исследуйте свои чувства, вы знаете, что это потрясающе.|探索你的感受,你知道它很棒|感じろ、自分の気持ち、これが最高だと分かるはず。|당신의 감정을 들여다보세요. 멋지다는 걸 알 수 있을 겁니다.||Cherchez dans vos émotions, vous savez que c'est génial.
desc_relic_dirge|Sharp and agile weapon made to hurt.||Arma afiada e ágil feita para machucar.|Острое и проворное оружие, созданное для того, чтобы причинять боль.|鋒利敏捷的武器,專為傷害而生|鋭く敏捷な武器、痛めつけるために作られた。|날렵하고 예리한 무기.||Arme tranchante et agile faite pour blesser.
desc_relic_razorWire|Causes severe bleeding.||Causa sangramento grave.|Вызывает сильное кровотечение.|造成嚴重出血|激しい出血を引き起こす。|심각한 출혈을 유발합니다.||Provoque de graves hémorragies.
desc_relic_rainbowGate|Is this a piece of Bifröst?||Isto é um pedaço de Bifröst?|Это что, кусочек Бифреста?|這是彩虹橋的一部分嗎?|これはビフレストのかけらか？|혹시 이것, 비프로스트의 조각인가요?||Est-ce un morceau de Bifröst ?
desc_relic_theGlove|What was yours is mine now.||O que era seu é meu agora.|То, что было твоим, теперь мое.|曾經是你的東西現在是我的了|お前のものはもう俺のものだ。|네 것이 이제 내 것이 되었어.||Ce qui était à toi est à moi maintenant.
desc_relic_flySwatter|Ew, bugs.||Eca, insetos.|Фу, жуки.|嗯,蟲子們.|うわ、虫だ。|윽, 벌레들.||Beurk, des insectes.
desc_relic_hellscreamAxe|Unlimited rage.||Raiva ilimitada.|Безграничная ярость.|無盡的憤怒|無限の怒り。|무한한 분노.||Une rage sans limite.
desc_relic_frostMourne|The handle is frozen and so is your fingers.||A alça está congelada, assim como seus dedos.|Ручка замерзла, как и ваши пальцы.|柄被凍住了,你的手指也被凍住了|柄が凍っている、指も同じく。|손잡이도 얼어 있고, 당신의 손가락도 얼어붙습니다.||La poignée est gelée et maintenant tes doigts aussi.
desc_relic_commandersSword|With this sword I command and lead.||Com esta espada eu comando e lidero.|Этим мечом я командую и веду за собой.|有了這把劍,我將指揮並領導|この剣で命令し、導く。|이 검으로 나는 명령하고, 리드합니다.||Avec cette épée, je commande et je dirige.
desc_relic_butchersKnife|Mmmh fresh meat.||Mmmh carne fresca.|Ммм, свежее мясо.|嗯,新鮮的肉|うーん、新鮮な肉だ。|음~ 신선한 고기.||Mmmh de la viande fraîche.
desc_relic_warZeppelin|Air Support!||Suporte aéreo!|Поддержка с воздуха!|空中支援|空中支援！|공중 지원!||Soutien aérien !
desc_relic_deathsScythe|Grim Reaper kindly asked if you could return this.||O Ceifador gentilmente perguntou se você poderia devolver isso.|Мрачный Жнец любезно попросил вас вернуть это.|死神友善地問你是否可以歸還這個|死神が丁寧に返却を頼んでいる。|사신이 이걸 돌려달라고 부탁했어요.||La Faucheuse sinistre a gentiment demandé si vous pouviez rendre ceci.
desc_relic_angelStaffOfApocalypse|Feel the heavens wrath!||Sinta a ira dos céus!|Почувствуй гнев небес!|感受天堂的憤怒|天の怒りを感じろ！|천상의 분노를 느껴라!||Sentez la colère des cieux !
desc_relic_rocketBarrage|Mark the spot and let the hell rain.||Marque o local e deixe o inferno chover.|Отметьте это место и пусть льет как из ведра.|標記位置,讓地獄的雨下個不停|目印をつけて、地獄の雨を降らせろ。|표식을 지정하고 지옥의 비를 내려라||Indiquez l'endroit et faites pleuvoir l'enfer.
desc_relic_shiv|Excellent throwing weapon with sharp blades.||Excelente arma de arremesso com lâminas afiadas.|Отличное метательное оружие с острыми лезвиями.|具有鋒利刀片的優良投擲武器|鋭い刃を持つ優れた投擲武器。|날카로운 칼날이 달린 뛰어난 투척 무기.||Excellente arme de jet avec des lames tranchantes.
desc_relic_stickmanSteve|Hihihi my balls are itchy.||Hihihi minhas bolas estão com coçando.|Хихихи, у меня яйца чешутся.|嗨嗨我的蛋蛋很癢|ひひひ、玉がかゆい。|히히히, 내 엉덩이가 간지러워.||J'ai mes bonbons qui font des bons.
desc_relic_bomb|It’s Bomb. Not Bo-Omb.||É bomba. Não Bo-Omba.|Это бомба. Не Бомба.|這是炸彈|爆弾だ、ボーオームじゃない。|"이건 폭탄입니다. ""보-옴""이 아닙니다."||C'est Bomb. Pas Bob-Omb.
desc_relic_meatHook|Let’s get the meat hanging up there.||Vamos deixar a carne pendurada lá em cima.|Давайте повесим мясо вон там.|讓我們把肉掛在那裡|肉をあそこに吊るそう。|저기 고기를 매달아 봅시다.||Il faut que la viande soit bien accrochée là-haut.
desc_relic_candyCrusher|It almost feels like a saga.||Quase parece uma saga.|Это почти похоже на сагу.|感覺就像是個傳奇|まるでサーガのようだ。|마치 전설처럼 느껴지네요.||On dirait presque une saga.
desc_relic_cheeseBurger|Ah, the sweet taste of freedom.||Ah, o doce sabor da liberdade.|Ах, сладкий вкус свободы.|啊,自由的甜蜜滋味|ああ、自由の甘い味。|자유의 달콤한 맛.||Ah, le doux goût de la liberté.
desc_relic_triForce|Three forces forged together.||Três forças forjadas juntas.|Три силы объединились.|三種力量匯聚在一起|三つの力が一つに鍛えられた。|세 가지 힘이 하나로 합쳐졌습니다.||Trois forces forgées ensemble.
desc_relic_cactus|Ouch, spiky.||Ai, espinhoso.|Ай, колючий.|哎喲,尖刺|痛い、トゲトゲ。|아야, 가시.||Aïe, épineux.
desc_relic_razerBlade|Now this is really sharp, could cut beard with it.||Isso é realmente afiado, poderia cortar a barba com ele.|Вот это действительно остро, им можно подстричь бороду.|現在這真的很鋒利,可以用它來刮鬍子|これは本当に鋭い、髭も切れそうだ。|진짜 예리해서 수염도 잘릴 듯.||Ça, c'est vraiment tranchant, on pourrait tailler de la barbe avec.
desc_relic_assassinsShuriken|Like a true ninja.||Como um verdadeiro ninja.|Как настоящий ниндзя.|像個真正的忍者|本物の忍者のように。|진정한 닌자처럼.||Comme un vrai ninja.
desc_relic_theSun|Don’t look straight at it.||Não olhe diretamente para ele.|Не смотрите на это прямо.|不要直視它|直視するな。|직접 보지 마세요.||Ne le regardez pas en face.
desc_relic_razerHeadset|I’m all about that base.||Sou totalmente a favor dessa base.|Я всецело за эту базу.|我只關心那個低音|ベースは大事だ。|나는 베이스가 전부라고 생각해요.||J'adore ce morceau!
desc_relic_mayosOldSock|Use a gasmask if you choose to carry this around.||Use uma máscara de gás se você optar por carregá-la.|Используйте противогаз, если решите носить его с собой.|如果您選擇隨身攜帶,請使用防毒面具|持ち歩くならガスマスクを使え。|이걸 들고 다닐 거면 가스마스크를 착용하세요.||Utilisez un masque à gaz si vous décidez de la porter.
desc_relic_tequila|A drop doesn’t kill you, and you can’t drown in a bucket.||Uma gota não o mata, e você não pode se afogar em um balde.|Капля не убьет тебя, и ты не можешь утонуть в ведре.|一滴水不會殺死你,你也不會被水桶給淹死|一滴で死ぬことはなく、バケツで溺れもしない。|한 방울로는 안 죽어요. 양동이로도 익사 안 돼요.||Une goutte ne tue pas et on ne se noie pas dans verre d'eau.
desc_relic_theMightySushi|Sushi Motherload!||Sushi Motherload!|Куча суши, мать твою!|大量壽司!|寿司の母体！|스시 마더로드!||Par la mère de tous les sushis !
desc_relic_karpHead|It might be rotten, according to smell at least.||Talvez esteja podre, pelo menos de acordo com o cheiro.|Оно может быть гнилым, по крайней мере, судя по запаху.|至少從氣味來看可能已經腐爛了|臭いからして腐っているかも。|썩었을지도 몰라요, 냄새로는.||L'odeur le laisse présager que c'est probablement pourri.
desc_relic_lantern|It’s good to carry light with you when you dwelve in to the dark.||É bom levar uma luz com você quando estiver no escuro.|Хорошо нести с собой свет, когда ты пребываешь во тьме.|當你深入黑暗時,隨身攜帶光明是件好事|闇の中に入るなら、光を持ち歩くのが良い。|어둠 속으로 들어갈 땐 빛을 가지고 들어가세요.||Il est bon d'emporter de la lumière avec soi lorsqu'on s'enfonce dans l'obscurité.
desc_relic_razorLeaf|Nature offers it’s finest.||A natureza oferece o que há de melhor.|Природа предлагает самое лучшее.|大自然最好的餽贈|自然が最高のものを提供する。|자연이 내어준 최고의 선물.||La nature offre ce qu'elle a de plus beau.
desc_relic_ninjaHook|Swing from roof to roof.||Balance de telhado em telhado.|Перепрыгивайте с крыши на крышу.|從一個屋頂盪到另一個屋頂|屋根から屋根へ飛び移れ。|지붕에서 지붕으로 휘익.||Se balancer de toit en toit.
desc_relic_riceChopsticks|Even heroes need to eat.||Até mesmo os heróis precisam comer.|Даже героям нужно есть.|英雄也要吃飯|ヒーローだって食べなきゃ。|영웅도 밥은 먹어야죠.||Même les héros ont besoin de manger.
desc_relic_minisect|Smaller hivemind at your service.||Uma mente coletiva menor a seu serviço.|Меньший разум улья к вашим услугам.|更小的蜂巢思維為您服務|小さな集合意識があなたに仕える。|작지만 하나의 집단 의식.||Un petit esprit de ruche à votre service.
desc_relic_shadeOfDeath|Harness the power of death.||Aproveite o poder da morte.|Используй силу смерти.|駕馭死亡的力量|死の力を操れ。|죽음의 힘을 다루세요.||Maîtrisez le pouvoir de la Mort.
desc_relic_dislocatedEye|Who’s eye is this?!||De quem é esse olho?|Чей это глаз?!|這是誰的眼睛|これは誰の目だ？！|누구의 눈이죠, 이건?||C'est l'œil de qui ?
desc_relic_halfEatenMochi|It came from the rice fields.||Ele veio dos campos de arroz.|Он доносился с рисовых полей.|它來自稻田|田んぼから来た。|논에서 온 거예요.||Il vient des rizières.
desc_relic_bonsaiTree|Take good care of it.||Cuide bem dele.|Хорошенько позаботьтесь об этом.|好好照顧它|大切に扱え。|잘 간수하세요.||Prenez-en bien soin.
desc_relic_daPlayersDislocatedHead|It attracts flies.||Ele atrai moscas.|Это привлекает мух.|它會吸引蒼蠅|ハエを引き寄せる。|파리를 끌어들입니다.||Ca attire les mouches.
desc_relic_witchClaw|Once used for a ritual to curse someone.||Já foi usado em um ritual para amaldiçoar alguém.|Когда-то использовался для ритуала, чтобы проклясть кого-то.|曾經用於詛咒某人的儀式|かつて呪いの儀式に使われた。|누군가를 저주하기 위한 의식에 쓰였었죠.||Utilisé une fois pour un rituel de malédiction.
desc_relic_shatteredKatana|What use could a broken sword be?||Qual seria a utilidade de uma espada quebrada?|Какая польза может быть от сломанного меча?|斷劍有什麼用?|壊れた剣は何の役に立つ？|부러진 검이 무슨 소용이죠?||À quoi peut bien servir une épée cassée ?
desc_relic_orbOfFire|Magical Orb of Fire.||Orbe Mágico de Fogo.|Магический Огненный шар.|火焰魔法寶珠|魔法の火のオーブ。|불의 마법 오브.||Orbe magique de feu.
desc_relic_orbOfIce|Magical Orb of Ice.||Orbe Mágico de Gelo|Волшебный Ледяной шар.|冰霜魔法寶珠|魔法の氷のオーブ。|얼음의 마법 오브.||Orbe magique de glace.
desc_relic_orbOfPoison|Magical Orb of Poison.||Orbe Mágico de Veneno.|Волшебный Шар с Ядом.|毒素魔法寶珠|魔法の毒のオーブ。|독의 마법 오브.||Orbe magique de poison.
desc_relic_orbOfChaos|Magical Orb of Pure Chaos.||Orbe Mágico de Puro Caos.|Магический Шар Чистого Хаоса.|純粹混沌魔法寶珠|純粋な混沌の魔法のオーブ。|혼돈의 마법 오브.||Orbe magique de pur chaos.
desc_relic_largeBeer|Don’t show it to Viking, he’ll be asking for another one.||Não o mostre ao Viking, ele pedirá outro.|Не показывай это Викингу, он попросит еще одно.|不要給維京人看到,他會再來一杯|バイキングに見せるな、もう一つ欲しがるぞ。|바이킹에게 보여주지 마세요. 하나 더 달라 할 테니.||Ne la montrez pas au viking, il vous en demandera une autre.
desc_relic_bouncy|But for real, how does it bounce?!||Mas de verdade, como que isso quica?|Но на самом деле, как он отскакивает?!|但實際上,它是如何反彈的?!|本当にどうやって跳ね返るんだ？|진심으로, 어떻게 튀는 거죠?||Mais pour de vrai, comment ça rebondit ?
desc_relic_balalayka|Play some beautiful tunes.||Toque algumas músicas bonitas.|Сыграй несколько красивых мелодий.|彈奏一些優美的曲子|美しい曲を演奏しろ。|아름다운 선율을 연주하세요.||Joue des airs magnifiques.
desc_relic_darts|Very accurate, if you are skilled.||Muito preciso, se você for habilidoso.|Очень точно, если вы опытный специалист.|非常準確,如果你熟練的話|熟練すれば非常に正確。|숙련자라면 정말 정확합니다.||Très précis, si vous êtes habile.
desc_relic_smallSpikey|Bring some metal into the battlefield.||Traga um pouco de metal para o campo de batalha.|Принесите немного металла на поле боя.|將一些金屬帶入戰場|戦場に金属を持ち込め。|전장에 메탈을 가져와 보세요.||Apportez un peu de métal sur le champ de bataille.
desc_relic_satansHorn|How did you obtain this?||Como você conseguiu isso?|Как вы это получили?|你是怎麼得到它的?|どうやって手に入れた？|이걸 어떻게 얻었죠?||Comment avez-vous ceci ?
desc_relic_necromancersFinger|Can be used for some rituals.||Pode ser usado em alguns rituais.|Может использоваться для некоторых ритуалов.|可以用於一些儀式|儀式にも使える。|어떤 의식에 쓸 수 있을지도 몰라요.||Peut être utilisé pour certains rituels.
desc_relic_jarOfFlies|Whatever you do, don’t break the jar.||Não importa o que você faça, não quebre a jarra.|Что бы вы ни делали, не разбейте банку.|無論你做什麼,都不要打破罐子|何をしても壺を壊すな。|절대 항아리를 깨지 마세요.||Quoi que vous fassiez, ne la brisez pas.
desc_relic_satansTooth|Blergh, it smells like sulfur.||Blergh, tem cheiro de enxofre.|Блин, пахнет серой.|嘔,聞起來像硫磺|くさっ、硫黄の臭いだ。|우웩, 유황 냄새야.||Blergh, ça sent le soufre.
desc_relic_butterflyKnife|But can you do tricks with it?||Mas você pode fazer truques com ele?|Но можете ли вы показывать с ним фокусы?|但你能用它來做一些技巧嗎?|でもこれでトリックはできるのか？|근데 묘기도 부릴 수 있나요?||Mais pouvez-vous faire des tours avec ?
desc_relic_lightningBall|It was said these were a myth?||Dizia-se que isso era um mito?|Было сказано, что это миф?|據說這些都是神話?|これは伝説と言われていた？|전설이라던데, 진짜였나요?||On dit que c'est un mythe ?
desc_relic_steamSale|Paarma-Gaben :D||Paarma-Gaben :D|Paarma-Gaben :D|G胖的禮物:D|パールマ-ガベン :D|파르마-게이벤 :D||Loué soit Lord GabeN
desc_relic_esEnergy|On jumalten juoma.||É a bebida dos deuses.|On jumalten juoma.|是神的飲料|神々の飲み物。|신들의 음료입니다.||Dans jumalten juoma.
desc_relic_boomerang|Does it come back?||Ele volta?|Возвращается ли оно?|它回來了嗎?|戻ってくるか？|돌아오나요?||Est-ce qu'il revient ?
desc_relic_squishyTheSuicidalPig|Just let it die already.||Deixe isso morrer de uma vez.|Просто позволь ему уже умереть.|讓它死吧|もう死なせてやれ。|그냥 놔두고 죽게 하세요.||Laissez-le mourir.
desc_relic_satansEye|Collector of Satan’s bodyparts?||Colecionador de partes do corpo de Satanás?|Коллекционер частей тела сатаны?|撒旦身體部位的收集者?|サタンの体の部品を集める者？|사탄의 신체 부위를 수집 중인가요?||Collectionneur de morceaux de corps de Satan ?
