[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
local_play|Play local|Paikallinen peli|Jogo Local|Играть локально|單機遊戲|ローカルプレイ|로컬 플레이|Lokal spielen|Partie locale
chaos_tower_highscore|Chaos Tower|Kaaostorni|Torre do Caos|Chaos Tower|混沌之塔|自分だけの地獄を選択|카오스 타워|Chaosturm|Tour du Chaos
chaos_tower_debuff_title|Choose Your Personal Hell|Valitse henkilökohtainen helvettisi |Escolha seu inferno pessoal|Выберите свой личный ад|選擇你的個人地獄|サーバー初レベル 100|개인 헬 선택|Wähle deine persönliche Hölle|Choisissez votre enfer personnel
server_first_highscore|Server First Level 100|Palvelimen ensimmäinen tasolla 100|Servidor primeiro nível 100 |Сервер Первый уровень 100|伺服器第一個達到100級|サーバー初レベル 100|서버 첫 100레벨|Server Erster Level 100|Premier niveau 100 du serveur
server_first_button_text|Server First Level 100|Palvelimen ensimmäinen tasolla 100|Primeiro Nível 100 do Servidor|Сервер Первый уровень 100|伺服器第一個達到100級|ヒーロー選択 |서버 첫 100레벨|Server Erster Level 100|Premier niveau 100 du serveur
hero_selection|Hero Selection|Hahmovalikko|Seleção do Herói|Выбор героя |選擇英雄 |開発者|영웅 선택|Heldenauswahl |Sélection du héros 
developer|Developer|Kehittäjä|Desenvolvedor|Разработчик|開發者|mod製作者|개발자|Entwickler|Développeur
moderator|Moderator|Moderaattori|Moderador|Модератор|mod制作者|管理者|모더레이터|Moderator|Modérateur
admin|Admin|Ylläpitäjä|Admin|Админ|管理員|プレーヤー|관리자|Administrator|Administrateur
player|Player|Pelaaja|Jogador|Игрок|玩家|ヒーローレベル|플레이어|Spieler|Joueur
hero_level|Hero level|Sankaritaso|Nível Heroico|Уровень героя|英雄等級|ワームホール; ゾーン内 |영웅 레벨|Helden-Level|Niveau du héros
; wormhole|Wormhole ; in zones|Madonreikä ; in zones|Buraco de Minhoca ; em zonas|Червоточина; в зонах|蟲洞；在區域中 |拡張|웜홀 ; 구역 내 |Wurmloch; in Zonen |Trou de ver ; en zones 
expansion|Expansion|Lisäosa|Expansão|Расширение|擴展|準備完了|확장팩|Erweiterung|Extension
ready|Ready|Valmis|Pronto|Готовый|準備|リフレッシュ|준비|Bereit|Prêt
refresh|Refresh|Päivitä|Atualizar|Обновить|刷新|入力|새로 고침|Aktualisieren|Rafraîchir
enter|Enter|Mene|Entrar|Входить|進入|とても早い|입장|Betreten|Entrer
wep_very_fast|Very Fast|Hyvin nopea|Muito Rápido|Очень быстро|非常快|早い|매우 빠르게|Sehr Schnell|Très rapide
wep_fast|Fast|Nopea|Rápido|Быстрый|快速|普通|빠르게|Schnell|Rapide
wep_moderate|Moderate|Kohtalainen|Moderado|Умеренный|中等|遅い|적당히|Moderat|Modéré
wep_slow|Slow|Hidas|Devagar|Медленный|慢|とても遅い|천천히|Langsam|Lent
wep_very_slow|Very Slow|Hyvin hidas|Muito Devagar|Очень медленно|非常慢|記入|매우 천천히|Sehr Langsam|Très lent
write_message|Write|Kirjoita|Escrever|Писать|寫|インターネットの無効接続もしくはコード不可用です。|쓰기|Schreiben|Écrire
invalid_code|No internet connection or invalid code.|Ei internet yhteyttä tai virheellinen koodi.|Sem ligação à Internet ou código inválido.|Нет подключения к Интернету или неверный код.|沒有網絡連接或無效代碼|インターネットの無効接続もしくはサーバーダウンです。|인터넷에 연결되어 있지 않거나 유효하지 않은 코드입니다.|Keine Internetverbindung oder ungültiger Code.|Pas de connexion internet ou code invalide
server_down|No internet connection or server down.|Ei internet yhteyttä tai palvelin ei vastaa.|Sem ligação à Internet ou servidor fora do ar.|Нет подключения к Интернету или сервер отключен.|沒有網絡連接或伺服器當機|商人は忙しいです。|인터넷에 연결되어 있지 않거나 서버가 다운되었습니다.|Keine Internetverbindung oder Serverausfall.|Pas de connexion internet ou de serveur indisponible.
merchant_busy|Merchant is busy.|Kauppias on varattu.|O Mercador está ocupado.|Торговец занят.|商人忙碌中。|ゲームへの招待が送信されました。|상인이 바쁩니다.|Händler ist beschäftigt.|Le marchand est occupé.
game_invite_sent|Game invite sent.|Pelikutsu lähetetty.|Convite de jogo enviado.|Приглашение в игру отправлено.|已發送遊戲邀請。|ゲームへの招待を受けるにはゲームに参加している必要があります。|게임 초대가 전송되었습니다.|Spieleinladung gesendet.|Invitation de jeu envoyée.
game_invite_must_be_ingame|Must be in game for game invites.|Sinun täytyy olla pelissä lähettääksesi pelikutsu.|Deve estar em jogo para convites de jogo.|Для получения приглашений в игру необходимо быть в игре.|遊戲邀請必須在遊戲中進行。|Hero Siege Plus サブスクリプションをキャンセルしてもよろしいですか?|게임 초대를 받으려면 게임에 접속 중이어야 합니다.|Für Spieleinladungen muss man im Spiel sein.|Vous devez être en jeu pour recevoir des invitations de jeu.
hs_plus_cancel_confirm|Are you sure you want to cancel your Hero Siege Plus subscription?|Oletko varma että haluat peruuttaa Hero Siege Plus tilauksesi?|Tem certeza de que deseja cancelar sua assinatura do Hero Siege Plus?|Вы уверены, что хотите отменить подписку Hero Siege Plus?|您確定要取消《HeroSiege》Plus 訂閱嗎？|編集|Hero Siege Plus 구독을 취소하시겠습니까?|Möchten Sie Ihr Hero Siege Plus-Abonnement wirklich kündigen?|Êtes-vous sûr de vouloir annuler votre abonnement à Hero Siege Plus ?
edit|Edit|Muokkaa|Editar|Изменить|編輯|レポート|편집|Bearbeiten|Modifier
report|Report|Raportoi|Denunciar|Сообщить|回報|レポートが正常に送信されました|신고|Melden|Signaler
report_send_success|Report sent succesfully|Raportti lähetetty onnistuneesti |Denunciar enviado com sucesso|Сообщение отправлено успешно|報告已成功發送|ブロック解除|신고가 성공적으로 전송되었습니다.|Bericht erfolgreich gesendet|Signaler avec succès
unblock|Unblock|Poista esto|Desbloquear|Разблокировать|解鎖|プレイヤー メッセージを表示|차단 해제|Entsperren|Débloquer
show_player_messages|Show player messages|Näytä pelaajaviestit|Mostrar mensagens do jogador|Показать сообщения игрока|顯示玩家訊息|アイテム ドロップ メッセージを表示|플레이어 메시지 표시|Spielernachrichten anzeigen|Afficher les messages des joueurs
show_item_drop_messages|Show item drop messages|Näytä esineviestit|Mostrar mensagens de queda de itens|Показать сообщения о выпадении предметов|顯示物品掉落訊息|開始|아이템 드롭 메시지 표시|Nachrichten zum Ablegen von Gegenständen anzeigen|Afficher les messages de dépôt d'objets
start|Start|Aloita|Iniciar|Начать|開始|送信|시작|Starten|Démarrer
submit|Submit|Lähetä|Enviar|Отправить|提交|メンバー|제출|Senden|Envoyer
members|Members|Jäsenet|Membros|Участники|會員|招待|멤버|Mitglieder|Membres
invites|Invites|Kutsut|Convites|Приглашения|邀請|保留中の招待 |초대|Einladungen|Invitations
pending_invites|Pending invites|Lähetetyt kutsut|Convites pendentes |Ожидающие приглашения |待處理的邀請 ||보류 중인 초대|Ausstehende Einladungen |Invitations en attente 
proxy_prompt_small|Frequent timeouts detected. You can try PAS Proxy to see if it helps with the connection issues. ||||檢測到頻繁超時。您可以嘗試使用 PAS Proxy 來查看它是否有助於解決連線問題|頻繁なタイムアウトが検出されました。接続問題の改善にPASプロキシの使用をお試しください。|잦은 연결 끊김이 감지되었습니다. 연결 문제 해결을 위해 PAS 프록시를 사용해 보실 수 있습니다.|||Se detectaron tiempos de espera frecuentes. Puedes probar PAS Proxy para ver si ayuda con los problemas de conexión.
proxy_prompt_large|By enabling PAS Proxy your in-game networking traffic is tunneled through our own Proxy Server. This can help in cases where your network communicates poorly with our Cloud Based servers. Please note that the connection might be slower than normal and should not be used unless you encounter frequent issues with a direct connection.||||啟用 PAS 代理程式後，您的遊戲內網路流量將透過我們自己的代理伺服器進行傳輸。如果您的網路與我們的雲端伺服器通訊不良，此功能可以提供協助。請注意，連線速度可能比平常慢，除非您經常遇到直接連線問題，否則請勿使用此功能。|PASプロキシを有効にすると、ゲーム内のネットワーク通信が当社のプロキシサーバーを経由してトンネリングされます。これにより、お使いのネットワークがクラウドサーバーとの通信が不安定な場合に改善されることがあります。|PAS 프록시를 활성화하면 게임 내 네트워크 트래픽이 당사 프록시 서버를 통해 전달됩니다.이 방법은 사용자의 네트워크가 당사 클라우드 서버와 원활하게 통신하지 못할 때 도움이 될 수 있습니다.|||Al habilitar PAS Proxy, tu tráfico de red dentro del juego se tuneliza a través de nuestro propio Servidor Proxy. Esto puede ayudar en casos donde tu red se comunica mal con nuestros servidores basados en la Nube.
proxy_prompt_disable|Frequent timeouts detected. PAS Proxy is enabled. If the problem persists you can try disabling the proxy.|Usein havaittu aikakatkaisuja. PAS-välityspalvelin on käytössä. Jos ongelma jatkuu, voit kokeilla välityspalvelimen poistamista käytöstä.|Tempos limite frequentes detectados. O Proxy PAS está habilitado. Se o problema persistir, você pode tentar desabilitar o proxy.|Обнаружены частые тайм-ауты. PAS Proxy включен. Если проблема не устранена, попробуйте отключить прокси-сервер.|檢測到頻繁超時。 PAS 代理已啟用。如果問題仍然存在，您可以嘗試停用PAS代理。|||Häufige Timeouts erkannt. PAS Proxy ist aktiviert. Falls das Problem weiterhin besteht, können Sie versuchen, den Proxy zu deaktivieren.|Dépassements de connexion fréquents. Le proxy PAS est activé. Si le problème persiste, vous pouvez essayer de désactiver le proxy.|Se detectaron tiempos de espera frecuentes. El proxy PAS está activado. Si el problema persiste, puedes intentar desactivar el proxy.
proxy_ingame_info|PAS Proxy Enabled. This can be disabled in account settings.||Proxy PAS ativado. Esta opção pode ser desativada nas configurações da conta. |PAS-прокси включен. Его можно отключить в настройках учетной записи. |PAS代理已啟用。此功能可在帳戶設定中停用。 |PASプロキシが有効になっています。これはアカウント設定で無効にできます。 |PAS 프록시가 활성화되었습니다. 계정 설정에서 비활성화할 수 있습니다. |PAS-Proxy aktiviert. Dies kann in den Kontoeinstellungen deaktiviert werden.|Le proxy PAS est activé. Vous pouvez le désactiver dans les paramètres du compte. |Proxy PAS habilitado. Puede desactivarse en la configuración de la cuenta. |PAS Proxy włączony. Można to wyłączyć w ustawieniach konta.
report_user|Report User|Ilmoita käyttäjästä |Denunciar Usuário |Пожаловаться на пользователя|舉報玩家|ユーザーを報告|유저 신고|Benutzer melden|Signaler un utilisateur |Reportar usuario |Zgłoś użytkownika
no_blocked_players|No blocked players found!|Ei estettyjä käyttäjiä löydetty!|Nenhum jogador bloqueado encontrado! |Заблокированных игроков не обнаружено! |未找到被屏蔽的玩家！ |ブロックされたプレイヤーは見つかりませんでした！ |차단된 플레이어가 없습니다! |Keine gesperrten Spieler gefunden!|Aucun joueur bloqué trouvé ! |¡No se encontraron jugadores bloqueados! |Nie znaleziono zablokowanych graczy!
|||||||||||
[GUILDS]|||||||||||
guilds|Guilds|Killat|Guildas|Гильдии|公會|ギルド名|길드|Gilden|Guildes
guild_name|Guild name|Killan nimi|Nome da Guilda|Название гильдии|公會名稱|ギルドタグ|길드 명|Gildenname|Nom de guilde
guild_tag|Guild tag|Killan lyhenne|Tag da Guilda|Тег гильдии|公會標籤|ギルドの説明|길드 태그|Gilden-Tag|Tag de guilde
guild_desc|Guild Description|Killan selite|Descrição da Guilda|Описание гильдии|公會描述|アクセス不可|길드 소개문|Gildenbeschreibung|Description de la guilde
guild_permission_no_access|No access|Ei pääsyä|Sem acesso|Нет доступа|無訪問權限|表示のみ|접근 불가|Kein Zugriff|Pas d'accès
guild_permission_view_only|View only|Vain katselu|Apenas ver|Только просмотр|僅查看|アイテムの追加|보기 전용|Nur anzeigen|Affichage uniquement
guild_permission_add_items|Add items|Lisää esineitä|Adicionar Itens|Добавить элементы|新增物品|フルアクセス|아이템 추가|Elemente hinzufügen|Ajouter des éléments
guild_permission_full_access|Full access|Täydet oikeudet|Acesso completo|Полный доступ|完全訪問權限|表示|전체 접근|Vollzugriff|Accès complet
guild_tab_display|Display|Näyttö|Exibição|Отображать|顯示|特典|표시|Anzeigen|Affichage
guild_tab_perks|Perks|Edut|Vantagens|Перки|特權|設定|특전|Vergünstigungen|Avantages
guild_tab_settings|Settings|Asetukset|Configurações|Настройки|設置|役員の色|설정|Einstellungen|Paramètres
guild_officer_color|Officer color|Valvojan väri|Cor do Oficial|Цветофицера|幹部顏色|メンバーの色|임원 색상|Offizierfarbe|Couleur de l'officier
guild_member_color|Member color|Jäsenen väri|Cor do Membro|Цвет участника|成員顏色|役員名|멤버 색상|Mitgliedsfarbe|Couleur du membre
guild_officer_name|Officer name|Valvojan nimi|Nome do Oficial|Имя офицера|幹部名稱|メンバー名|임원 이름|Offiziername|Nom de l'officier
guild_member_name|Member name|Jäsenen nimi|Nome do Membro|Имя участника|成員名稱|説明の編集|멤버 이름|Mitgliedsname|Nom du membre
guild_edit_description|Edit Description|Muokkaa selitettä|Editar Descrição|Изменить описание|編輯描述|ギルドを脱退|설명 편집|Beschreibung bearbeiten|Modifier la description
guild_leave|Leave guild|Poistu killasta|Sair da guilda|Покинуть гильдию|離開公會|メンバーを招待|길드 탈퇴|Gilde verlassen|Quitter la guilde
guild_invite_member|Invite member|Kutsu jäsen|Convidar membro|Пригласить участника|邀請成員|適用|멤버 초대|Mitglied einladen|Inviter un membre
guild_apply|Apply|Käytä|Aplicar|Применять|申請|ギルド スタッシュはギルド レベル 20 でロック解除されます!|신청|Bewerben|Postuler
guild_stash_level_requirement_prompt|Guild Stash is unlocked at guild level 20!|Kiltapankki avautuu kiltatasolla 20!|O Armazém da Guilda é liberado no Nível 20 da Guilda!|Тайник гильдии открывается на 20 уровне гильдии!|公會儲物箱在公會達到20級時解鎖！|あなたはギルドに所属していないようです。あなたには何も用意できません!|길드 보관함은 길드 레벨 20에서 잠금 해제됩니다!|Gildenlager wird auf Gildenlevel 20 freigeschaltet!|Le coffre de guilde est déverrouillé au niveau de guilde 20 !
guild_stash_guildless_prompt|You seem guildless. I've got nothing for you!|Sinulla ei ole kiltaa. En voi auttaa sinua!|Você parece sem guilda. Tenho nada pra você!|Вы, кажется, лишены гильдии. У меня для тебя ничего нет!|你似乎還沒有加入公會。 我無法為你提供任何資訊！|現在、他のユーザーがギルド スタッシュにアクセスしています。|당신은 길드가 없는 듯합니다. 저는 당신에게 줄 게 없습니다!|Du scheinst gildenlos zu sein. Ich habe nichts für dich!|Vous semblez sans guilde. Je n'ai rien pour vous !
guild_stash_in_use|Someone else is currently accessing Guild Stash.|Joku muu käyttää kiltapankkia juuri nyt.|Outra pessoa está acessando o armazém da guilda no momento.|В настоящее время кто-то другой использует Guild Stash. |目前其他人正在使用公會倉庫。|タブを追加 |다른 사람이 현재 길드 보관함에 접근하고 있습니다.|Jemand anderes greift gerade auf das Gildenlager zu.|Quelqu'un d'autre accède actuellement au coffre de guilde.
guild_stash_add_tab|Add Tab|Lisää välilehti|Adicionar guia |Добавить вкладку |添加倉庫頁 ||탭 추가|Registerkarte „Hinzufügen“ |Ajouter un onglet 
guild_stash_add_tab_prompt|Are you sure you want to consume a guild stash tab token and add a tab to this guild?||||您確定要使用公會倉庫頁token並向該公會新增倉庫頁嗎？||길드 보관함 탭 토큰을 사용하여 이 길드에 탭을 추가하시겠습니까?||
blood_pact_stash_in_use|Someone else is currently using the Pact Stash.|Joku muu käyttää verivalapankkia juuri nyt.|Alguém mais está usando o Pact Stash no momento. |В настоящее время Pact Stash использует кто-то другой. |目前有人正在使用血契倉庫。 ||현재 다른 사람이 Pact Stash를 사용하고 있습니다. |Jemand anderes verwendet derzeit den Pact Stash. |Quelqu'un d'autre utilise actuellement le Pact Stash. 
red|Red|Punainen|Vermelho|Красный|紅色|緑|빨강|Rot|Rouge
green|Green|Vihreä|Verde|Зеленый|綠色|青|초록|Grün|Vert
blue|Blue|Sininen|Azul|Синий|藍色|あなたはまだギルドに入っておりません。 1つ作成してみたらどうですか？|파랑|Blau|Bleu
no_guild|You are not in a guild. Would you like to create one?|Et ole killassa. Haluaisitko luoda killan?|Você não está em uma guilda. Gostaria de criar uma?|Вы не состоите в гильдии. Хотите создать его?|你還未加入公會。 你想要創建一個嗎？|断念する|소속된 길드가 없습니다. 길드를 생성하시겠습니까?|Du bist nicht in einer Gilde. Möchten Sie eine erstellen?|Vous n'êtes pas dans une guilde. Voulez-vous en créer une ?
resign|Resign|Eroa|Demitir-se|Подать в отставку|放棄|作成する|지역|Rücktritt|Annuler
create|Create|Luo|Criar|Создавать|創建|はい|생성|Erstellen|Créer
yes|Yes|Kyllä|Sim|Да|是|いいえ|예|Ja|Oui
no|No|Ei|Não|Нет|否|確認|아니요|Nein|Non
confirm|Confirm|Hyväksy|Confirmar|Подтверждать|確認|キャンセル|확인|Bestätigen|Confirmer
cancel|Cancel|Peruuta|Cancelar|Отмена|取消|リトライ|취소|Abbrechen|Annuler
retry|Retry|Yritä uudelleen|Tentar novamente|Повторить попытку|重試|ギルドの設置に成功しました|다시 하기|Wiederholen|Réessayer
guild_created|Guild created successfully.|Kilta luotu onnistuneesti.|Guilda criada com sucesso.|Гильдия успешно создана.|公會創建成功。|参加|길드가 성공적으로 생성되었습니다.|Gilde erfolgreich erstellt.|La guilde a été créée avec succès.
join|Join|Liity|Participar|Присоединиться|加入|離れる |참가|Beitreten|Rejoindre
leave|Leave|Poistu|Sair|Оставлять|離開 |トレードリクエストを送信しました|떠난다|Verlassen |Quitter
request_trade|has sent a trade request|lähetti vaihtopyynnön|enviou um pedido de troca|отправил запрос на обмен|已發送交易請求|参加リクエストを送信しました|거래 요청을 보냈습니다.|hat eine Handelsanfrage gesendet|a envoyé une demande d'échange
request_guild|has sent a request to join guild|lähetti pyynnön liittyä kiltaan|enviou um pedido para entrar na guilda|отправил заявку на вступление в гильдию|已發送公會加入請求|保留中の取引リクエスト|길드 가입 요청을 보냈습니다.|hat eine Beitrittsanfrage gesendet|a envoyé une demande d'adhésion à la guilde
request_trade_sent|Pending trade request with|Odotetava vaihtopyyntöä pelaajalle|Pedido de troca pendente com|Ожидающий торговый запрос с|等待交易請求中|保留中のギルド招待 |거래 요청 대기 중|Ausstehende Handelsanfrage mit|Demande d'échange en attente avec
request_guild_sent|Pending guild invite with|Odotetava kiltaanliittymispyyntö pelaajalle|Convite para guinda pendente com|Ожидается приглашение в гильдию с|等待公會邀請中 |友達リスト|보류 중인 길드 초대|Ausstehende Gildeneinladung mit |Invitation de guilde en attente avec
friend_list|Friend List|Ystävälista|Lista de Amigos|Список друзей|好友列表|友達IDを入力してください：|친구 목록|Freundesliste|Liste d'amis
friend_enter_id|Enter friend id:|Syötä ystävän id:|Insira a id do amigo:|Введите идентификатор друга:|輸入好友ID：|友人を追加する|친구 ID 입력 :|Freund-ID eingeben:|Entrez l'identifiant de l'ami :
friend_add|Add Friend|Lisää ystävä|Adicionar amigo|Добавить в друзья|新增好友|友達を削除する|친구 추가|Freund hinzufügen|Ajouter un ami
friend_remove|Remove Friend|Poista ystävä|Remover amigo|Удалить друга|刪除好友|招待する |친구 제거|Freund entfernen|Supprimer un ami
invite|Invite|Kutsu|Convidar|Приглашать|邀請 |注意してください！これは Panic Art Studios とは関係のないサードパーティのリンクですが、ギルドマネージャーによってここに配置されています。続行してもよろしいですか？ |초대|Einladen |Inviter
guild_link_warning|Careful! This is a third party link that is NOT associated with Panic Art Studios, but put here by your guild manager. Are you sure you wish to proceed to |Varo! Tämä on kolmannen osapuolen linkki jonka kiltasi omistaja on laittanut tähän. Haluatko varmasti jatkaa osoitteeseen |Cuidado! Este é um link de terceiros que NÃO está associado com a Panic Art Studios, mas foi colocado aqui pelo gerente da guilda. Tem certeza que deseja prosseguir para| Осторожный! Это сторонняя ссылка, НЕ связанная с Panic Art Studios, а размещенная здесь менеджером вашей гильдии. Вы уверены, что хотите перейти к|請小心！這是一個與Panic Art Studios無關的第三方鏈接， 但由你的公會經理放置在這裡。 你確定要繼續前往嗎?||주의하세요! 이것은 Panic Art Studios와 관련이 없는 제3자 링크이지만, 귀하의 길드 관리자가 여기에 게시한 것입니다. 계속 진행하시겠습니까? |Achtung! Dies ist ein Drittanbieter-Link, der NICHT mit Panic Art Studios verbunden ist, sondern von Ihrem Gildenmanager hier platziert wurde. Möchten Sie wirklich fortfahren? |Attention ! Il s'agit d'un lien tiers qui n'est PAS associé à Panic Art Studios, mais placé ici par votre responsable de guilde. Êtes-vous sûr de vouloir continuer ? 
|||||||||||
[shop]|||||||||||
clothing|Clothing|Vaatteet|Roupas|Одежда|服装|ミニオン（部下）|복장|Bekleidung|Vêtements
mercenary|Mercenary|Palkkasoturi|Mercenário|Наемник|傭兵|有効|용병|Söldner|Mercenaire
active|Active|Aktiivinen|Ativo|Активный|主動|パッシブ|활성화|Aktiv|Actif
passive|Passive|Passiivinen|Passivo|Пассивный|被動|名前の色|패시브|Passiv|Passif
name_color|Name color|Nimen väri|Cor do nome|Цвет имени|名稱顏色|ショップから出る|이름 색깔|Namensfarbe|Couleur du nom
exit_shop|Exit shop|Poistu kaupasta|Sair da loja|Выход из магазина|退出商店|近接|상점에서 나가기|Shop verlassen|Quitter
melee|Melee|Lähitaistelu|Corpo a corpo|Ближний бой|近戰|遠隔|근접|Nahkampf|Combat rapproché
ranged|Ranged|Kaukotaistelu|Longo alcance|Дальний бой|遠程|シールド |원거리|Fernkampf|Combat à distance
shield|Shield|Kilpi|Escudo|Щит|盾牌 |名前|방패|Schild |Bouclier
name|Name|Nimi|Nome|Имя|名稱|使用|이름|Bennenen|Nom
use|use|käytä|Usar|использовать|使用|ポートレート|사용|nutzen|utiliser
portrait|Portrait|Valitse kuvake|Retrato|Портрет|頭像框|インターフェース|초상화|Porträt|Portrait
hud|Interface|Käyttöliittymä|Interface|Интерфейс|介面|ルビーが足りない|상호 작용|Interface|Interface
not_enough_rubies|not enough rubies|ei tarpeeksi rubiineja|Não há rubis o suficiente|недостаточно рубинов|紅寶石不足|クリスタルが足りない|루비가 부족합니다|zu wenig Rubine|pas assez de rubis
not_enough_crystals|not enough crystals|ei tarpeeksi kristalleja|Não há cristais o suficiente|недостаточно кристаллов|水晶不足|ゴールドが足りません。あと _ 必要です|크리스탈이 부족합니다|zu wenig Kristalle|pas assez de cristaux
not_enough_gold_need|Not enough gold. You need|Ei tarpeeksi kultaa. Tarvitset|Não há ouro o suficiente. Você precisa de|Недостаточно золота. Тебе нужно|你需要更多黃金|ゴールドが足りない |골드가 충분하지 않습니다. 더 필요한 골드:|Nicht genug Gold. Du brauchst|pas assez d'or. Vous avez besoin de
not_enough_gold|not enough gold|ei tarpeeksi kultaa|Não há ouro o suficiente.|недостаточно золота|黃金不足 |タレントをリセットするまで _ 枚のコイン|골드가 부족합니다|nicht genug Gold |Or insuffisant
coins_to_reset_talents|coins to reset talents.|kultaa palauttaaksesi taitosi.|moedas para resetar os talentos.|монеты для сброса талантов.|金幣來重置天賦。|名前を変更するコイン。|재능을 리셋하는데 필요한 코인:|Münzen, um die Talente zurückzusetzen.|pièces pour réinitialiser les talents.
coins_to_rename|coins to rename.|kultaa uudelleennimetäksesi.|moedas para renomear|монеты для переименования.|金幣來更換名稱。|変更を確認するコイン。 |이름을 바꿀 동전.|Münzen zum Umbenennen.|pièces à renommer.
coins_to_confirm|coins to confirm changes.|kultaa vahvistaaksesi muutokset.|moedas para confirmar mudanças|монеты для подтверждения изменений. |金幣來確認更改。 |ショップを保存しています...|변경 사항을 확인할 동전.|Münzen zum Bestätigen von Änderungen. |pièces pour confirmer les modifications. 
saving_shop|Saving shop...|Tallennetaan kauppaa...|Salvando a loja...|Сохранение магазина...|正在保存商店...|ロックが解除された|상점 저장 중...|Speichern...|Sauvegarde de la boutique...
unlocked|Unlocked|Avattu|Desbloqueado|Разблок.|已解鎖|ロック解除|잠금 해제|Entsperrt|Déverrouillé
unlock|Unlock|Avaa|Desbloquear|Разблок.|解鎖|ロック|잠금 해제|Freischalten|Déverrouiller
lock|Lock|Lukitse|Bloquear|Замок|鎖定|悪魔の鍵 |잠금|Schloss|Serrure
buy_key|Satanic Key|Saatanallinen avain|Chave Satânica|Сатанинский ключ|撒旦鑰匙 |ヒーローレベルが必要|사탄의 열쇠|Satanischer Schlüssel |Clé satanique 
requires_hero_level|Requires Hero Level|Vaatii sankaritason|Requer Nível Heroico|Требуется уровень героя|需要英雄等級|ハロウィーン|필요한 영웅 레벨|Benötigt Helden-Level|Nécessite un héros niveau
halloween|Halloween|Halloween|Halloween|Хэллоуин|萬聖節|クリスマス|할로윈|Halloween|Halloween
christmas|Christmas|Joulu|Natal|Рождество|聖誕節|報酬|크리스마스|Weihnachten|Noël
reward|Reward|palkinto|Recompensa|Награда|獎勵|進捗|보상|Belohnung|bonus
progress|Progress|Edistyminen|Progresso|Прогресс|進展|クエストの目的 |진행 상황|Fortschritt|Progrès
quest_objective|Quest objective|Tehtävä|Objetivo da Missão|Цель квеста |任務目標 |シーっ...これは秘密です。|퀘스트 목표|Questziel |Objectif de la quête 
easter_egg|Shh... It's a secret.|Shh... Se on salaisuus.|Shh... É um segredo.|Тсс... Это секрет.|噓... 這是一個秘密。|注目の|쉿... 이건 비밀이야.|Shh... Es ist ein Geheimnis.|Chut... C'est un secret.
featured|Featured|Esittelyssä|Em destaque|Рекомендуемые|精選|注目のコスメ |추천|Vorgestellt|En vedette
featured_cosmetics|Featured Cosmetics|Esitellyt kosmetiikat|Cosméticos em destaque |Рекомендуемая косметика |特色造型|アクセサリー|주요 화장품|Ausgewählte Kosmetika |Cosmétiques en vedette 
accessories|Accessories|Lisävarusteet|Acessórios|Аксессуары|飾品|アイテム|액세서리|Zubehör|Accessoires
items|Items|Esineet|Itens|Предметы|物品|宝石|아이템|Gegenstände|Objets
gems|Gems|Jalokivet|Gemas|Драгоценные камни|寶石|ロック済み|젬|Edelsteine|Pierres précieuses
locked|Locked|Lukittu|Trancado|Заблокировано|鎖定|無効化|잠김|Gesperrt|Verrouillé
deactivate|Deactivate|Deaktivoi|Desativar|Деактивировать|停用|購入|비활성화|Deaktivieren|Désactiver
purchase|Purchase|Osta|Comprar |Покупка|購買|帽子 |구매|Kaufen|Achat
hat|Hat|Hattu|Chapéu|Шляпа |帽子 |帽子|모자|Hut |Chapeau 
hats|Hats|Hatut|Chapéus|Головные уборы|帽子|ベーシック|모자|Hüte|Chapeaux
basic|Basic|Perus|Básico|Базовый|基本|アニバーサリー|기본|Basis|Basique
anniversary|Anniversary|Vuosipäivä|Aniversário|Годовщина|週年紀念日|スキン|기념일|Jahrestag|Anniversaire
skins|Skins|Ulkonäöt|Skins|Скины|外觀|ヒーロー|스킨|Skins|Apparences
hero|Hero|Sankari|Herói|Герой|英雄|仲間|영웅|Held|Héros
companions|Companions|Kumppanit|Companheiros|Компаньоны|同伴|このアイテムはキャラクターを選択した後に装備することができます|동반자|Gefährten|Compagnons
equip_ingame|This item can be equipped after choosing a character|Tämä esine voidaan pukea hahmon valitsemisen jälkeen|Este item pode ser equipado após escolher um personagem|Этот предмет можно экипировать после выбора персонажа.|此物品可在選擇角色後裝備|このアイテムは現在の機器と互換性がありません|이 아이템은 캐릭터 선택 후 착용 가능합니다.|Dieser Gegenstand kann nach Auswahl eines Charakters ausgerüstet werden|Cet article peut être équipé après avoir choisi un personnage
equip_not_compatible|This item isn't compatible with your current equipment|Tämä tuote ei ole yhteensopiva nykyisten varusteidesi kanssa|Este item não é compatível com seu equipamento atual|Этот товар несовместим с вашей текущей экипировкой|此物品與您當前的裝備不相容|シーズン サポーター|이 항목은 현재 장비와 호환되지 않습니다.|Dieser Artikel ist nicht mit Ihrer aktuellen Ausrüstung kompatibel|Cet article n'est pas compatible avec votre équipement actuel
season_supporter|Season Supporter|Kausitukija|Apoiador da Temporada|Поддержка сезона|賽季贊助者|現在のシーズン中のみ利用可能|시즌 서포터|Saisonunterstützer|Supporteur de saison
