[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
e_hell_beast_2|Goliath of Hell|Helvetin goljatti|Golias do Inferno|Голиаф из ада|地獄巨人|地獄のゴリアテ|지옥의 골리앗|Goliath aus der Hölle|Goliath de l'enfer|Goliat del Infierno|Goliat Piekieł
e_hell_beast_3|Sacrilegious Goliath|Rienaava goljatti|Golias Sacrílego|Святотатственный Голиаф|褻瀆巨人|冒涜のゴリアテ|신성모독 골리앗|Sakralerr Goliath|Goliath profane|Goliat Sacrílego|Świętokradczy Goliat
e_skull_crawler_1|Skull Crawler|Kalloryömijä|Caveira Rastejante|Краулер с черепом|顱骨爬蟲|スカルクローラ|해골 크롤러|Schädelkriecher|Lèche-crâne|Cráneo Reptante|Pełzacz Czaszek
e_skull_crawler_2|Bonecrab|Luurapu|Caranguejo de Ossos|Костяной Граб|骨蟹|ボーンクラブ|본크랩|Knochenkrabbe|Crabe osseux|Cangrejo de Huesos|Kościany Krab
e_skull_crawler_3|Bonecrab|Luurapu|Caranguejo de Ossos|Костяной Граб|骨蟹|ボーンクラブ|본크랩|Knochenkrabbe|Tourteau osseux|Cangrejo de Huesos|Kościany Krab
e_cave_slime_1|Cave Slime|Kaivoslima|Gosma da Caverna|Пещерная Слизь|洞穴史萊姆|ケーブスライム|동굴 점액|Höhlenschleim|Slime des cavernes|Baba de Caverna|Jaskiniowy Szlam
e_cave_slime_2|Toxic Mucus|Myrkkylima|Muco Tóxico|Токсичная Слизь|劇毒黏液|毒粘液|독성 점액|Toxischer Schleim|Mucus toxique|Mucosidad Tóxica|Toksyczny Śluz
e_cave_slime_3|Toxic Mucus|Myrkkylima|Muco Tóxico|Токсичная Слизь|劇毒黏液|毒粘液|독성 점액|Toxischer Schleim|Mucosité toxique|Mucosidad Tóxica|Toksyczny Śluz
e_cyclops_1|Cyclops|Kyklooppi|Ciclope|Циклоп|獨眼巨人|サイクロプス|키클롭스|Zyklop|Cyclope|Cíclope|Cyklop
e_cyclops_2|Cyclops Goliath|Kyklooppigoljatti|Ciclope Golias|Циклоп Голиаф|獨眼歌利亞|サイクロプス･ゴリアテ|키클롭스 골리앗|Zyklopgoliath|Cyclope goliath|Cíclope Goliat|Goliat Cyklop
e_cyclops_3|Cyclops Goliath|Kyklooppigoljatti|Ciclope Golias|Циклоп Голиаф|獨眼歌利亞|サイクロプス･ゴリアテ|키클롭스 골리앗|Zyklopgoliath|Cyclope colossal|Cíclope Goliat|Goliat Cyklop
e_rift_skeleton_1|Rift Skeleton|Repeämäluuranko|Esqueleto da Fenda|Рифтовый Скелет|裂隙骷髏|リフトスケルトン|리프트 스켈레톤|Riftskelett|Squelette de la faille|Esqueleto de la Grieta|Szkielet Riftu
e_rift_skeleton_2|Shadow Champion|Varjomestari|Campeão das Sombras|Теневой Чемпион|暗影頭目|シャドーチャンピオン|그림자 챔피언|Schattenchampion|Champion de l'ombre|Campeón de las Sombras|Cienisty Champion
e_rift_skeleton_3|Rift Legion|Repeämälegioonalainen|Legião da Fenda|Рифтовый Легион|裂隙軍團|リフトレギオン|리프트 군단|Riftlegion|Légionnaire de la faille|Legión de la Grieta|Legion Riftu
e_ooze_1|Nightmare Ooze|Tihkuva painajainen|Gosma do Pesadelo|Кошмарная Жижа|夢魘軟泥|悪夢の粘液|악몽의 분비물|Schlammiger Albtraum|Boue cauchemardesque|Lodo de Pesadilla|Koszmarny Śluz
e_ooze_2|Corrosive Nightmare|Syövyttävä painajainen|Pesadelo Corrosivo|Разъедающий Кошмар|腐蝕夢魘|腐食の悪夢|부패된 악몽|Ätzender Albtraum|Cauchemar corrosif|Pesadilla Corrosiva|Żrący Koszmar
e_ooze_3|Sleep Paralysis|Unihalvaus|Paralisia do Sono|Сонный паралич|睡眠麻痺|睡眠麻痺|수면 마비|Lähmender Schlaf|Paralysie du sommeil|Parálisis del Sueño|Paraliż Senny
e_graveSkeleton_1|Grave Skeleton|Haudan luuranko|Esqueleto da Tumba|Могильный скелет|墓穴骷髏|墓場のスケルトン|그레이브 스켈레톤|Grabskelett|Squelette funéraire|Esqueleto de Tumba|Szkielet z Grobu
e_graveZombie_1|Grave Zombie|Haudan zombi|Zumbi da Tumba|Могильный зомби|墓穴殭屍|墓場のゾンビ|그레이브 좀비|Grabzombie|Zombie funéraire|Zombie de Tumba|Zombie z Grobu
e_curcanLegion_1|Curacan Legion|Curacan legioona|Legião Curacana|Легион Куракан|庫拉坎軍團|クルアカン軍団|쿠라칸 레기온|Curacan-Legion|Légion de Curacan|Legión Curacana|Legion Curacan
e_curcanLegion_3|Curacan Warchief|Curacan sotapäällikkö|Chefe Guerreiro Curacano|Вождь Куракан|庫拉坎酋長|クルアカンの戦酋長|쿠라칸 워치프|Curacan-Kriegshäuptling|Chef de guerre de Curacan|Jefe de Guerra Curacano|Wódz Curacan
e_curacanMarksman_1|Curacan Marksman|Curacan tarkka-ampuja|Atirador Curacano|Стрелок Куракан|庫拉坎神射手|クルアカンの射手|쿠라칸 마크스맨|Curacan-Schütze|Tireur d'élite de Curacan|Tirador Curacano|Strzelec Curacan
e_curacanMarksman_3|Curacan Stinger|Curacan pistin |Aguilhão Curacano |Стингер Куракан |庫拉坎刺客|クルアカンのスティンガー|쿠라칸 스팅거|Curacan-Stachel|Dard de Curacan |Aguijón Curacano|Żądło Curacan
e_zombie_crawler_1|Zombie Crawler|Zombie matelija|Zumbi Rastejante|Зомби - Краулер|匍匐殭屍|地を職うゾンビ|좀비 크롤러|Zombie-Kriecher|Zombie rampant |Zombie Reptante|Pełzający Zombie
e_zombie_crawler_2|Diseased Gnawler|Tautinen näykkijä|Roedor Adoecido|Больной Грызун|帶病啃噬者|病気の噛むゾンビ|질병에 걸린 깨무는자|Verseuchter Nager|Charognard contaminé|Roedor Enfermo|Chory Gryzoń
e_zombie_crawler_3|Putrid Monstrosity|Mädäntynyt monsteri|Monstruosidade Pútrida|Гнилостное Чудовище|腐臭巨怪|腐敗した怪物|부패한 괴물|Faulige Monstrosität|Monstruosité putride|Monstruosidad Pútrida|Zgniła Potworność
e_undead_priest_1|Undead Priest|Epäkuollut pappi|Sacerdote Morto-vivo|Немертвый Священник|不死祭司|不死の祭司|언데드 신부|Untoter Priester|Prêtre mort-vivant|Sacerdote No-muerto|Nieumarły Kapłan
e_undead_priest_2|Fallen Bishop|Kaatunut piispa|Bispo Caído|Падший Епископ|墮落主教|堕ちた司祭|타락한 주교|Gefallener Bischof|Évêque déchu|Obispo Caído|Upadły Biskup
e_undead_priest_3|Satan Worshiper|Saatananpalvoja|Adorador de Satã|Поклоняющийся сатане|撒旦崇拜者|サタンの信仰者|사탄 숭배자|Satans-Verehrer|Adorateur de Satan|Adorador de Satán|Wyznawca Satana
e_shade_1|Shade|Varjo|Sombra|Тень|陰影|日陰|그림자|Schatten|Ombre|Sombra|Cień
e_shade_2|Dark Shade|Synkkä varjo|Sombra das Trevas|Темный Оттенок|黑暗陰影|暗黒の日陰|다크 섀도우|Dunkler Schatten|Ombre noire|Sombra Oscura|Mroczny Cień
e_shade_3|Shadow of Evil|Pahuuden varjo|Sombra do Mal|Тень зла|邪惡陰影|悪魔の影|악마의 그림자|Schatten des Bösen|Ombre du mal|Sombra del Mal|Cień Zła
e_shadow_anomaly_1|Shadow Anomaly|Varjokummajainen|Anomalia das Sombras|Теневая Аномалия|暗影異象|影の異常|그림자 이상|Schattenanomalie|Anomalie de l'ombre|Anomalía de las Sombras|Anomalia Cienia
e_shadow_anomaly_2|Dark Lurker|Synkkä vaanija|Espreitador das Trevas|Темный Скрывающийся|黑暗潛伏者|暗黒の潜伏者|어른거리는 어둠|Dunkler Beobachter|Rôdeur sombre|Acechador Oscuro|Mroczny Czający Się
e_shadow_anomaly_3|Ancient Zealot|Muinainen fanaatikko|Fanático Ancião|Древний Фанатик|遠古狂信者|古代の狂信者|고대 광신도|Uralter Berserker|Zélote antique|Fanático Ancestral|Pradawny Fanatyk
e_monk_1|Monk|Munkki|Monge|Монах|武僧|僧侶|수도승|Mönch|Moine|Monje|Mnich
e_monk_2|Shaolin Fighter|Shaolin taistelija|Lutador Shaolin|Шаолиньский Боец|少林武僧|少林拳士|소림 전투|Shaolinkämpfer|Combattant Shaolin|Luchador Shaolin|Wojownik Shaolin
e_monk_3|High Monk|Ylimunkki|Monge Superior|Верховный Монах|高級武僧|大僧正|취한 수도승|Hoher Mönch|Moine supérieur|Monje Superior|Wysoki Mnich
e_armored_knight_1|Armored Knight|Haarniskaritari|Cavaleiro Blindado|Рыцарь в доспехах|重裝騎士|甲冑騎士|갑옷 입은 기사|Ritter in Rüstung|Chevalier en armure|Caballero Blindado|Opancerzony Rycerz
e_armored_knight_2|Horned Trooper|Sarvipäinen soturi|Soldado Chifrudo|Рогатый солдат|角頭騎兵|角のある騎兵|뿔난 군인|Gehörnter Soldat|Soldat cornu|Soldado Cornudo|Rogatych Żołnierz
e_armored_knight_3|Legion Officer|Legioonan upseeri|Oficial da Legião|Офицер Легиона|軍團長官|軍団長|군단 장교|Legionsoffizier|Officier de la légion|Oficial de la Legión|Oficer Legionu
e_prison_guard_1|Prison Guard|Vanginvartija|Guarda da Prisão|Тюремный охранник|獄警|刑務官|교도관|Gefängniswärter|Gardien de prison|Guardia de Prisión|Strażnik Więzienia
e_prison_guard_2|Jail Officer|Vankilaupseeri|Oficial da Prisão|Тюремный надзиратель|監獄長官|牢番|감옥 지킴이|Gefängnisaufseher|Officier de la pénitence|Oficial de Cárcel|Oficer Więzienny
e_prison_guard_3|Dungeon Marauder|Tyrmämestari|Saqueador da Masmorra|Мародер Подземелий|地牢劫掠者|地下牢の襲撃者|던전 약탈자|Verliesplünderer|Pilleur de donjon|Saqueador de Mazmorra|Łupieżca Lochów
e_triangle_1|Triangle Charger|Kolmioryntääjä|Triângulo Carregador|Треугольное Зарядное Устройство|三角衝鋒者|トライアングルチャージャー|삼각 충전기|Dreieckangreifer|Triangle|Triángulo Cargador|Trójkątny Szarżownik
e_triangle_2|Champion Triangle|Kolmiomestari|Triângulo Campeão|Чемпионский Треугольник|頭目三角|チャンピオン･トライアングル|챔피언 삼각형|Champion-Dreieck|Triangle champion|Triángulo Campeón|Champion Trójkąta
e_triangle_3|Monstrous Triangle|Kolmiohirviö|Triângulo Monstruoso|Чудовищный Треугольник|巨怪三角|モンスタラス･トライアングル|괴물 같은 삼각형|Monströses Dreieck|Triangle monstrueux|Triángulo Monstruoso|Potworny Trójkąt
e_propeller_1|Propeller|Potkuri|Propulsor|Пропеллер|螺旋槳|プロペラ|프로펠러|Propeller|Hélice|Hélice|Śmigło
e_propeller_2|Flying Shape|Lentävä muoto|Forma Voadora|Летящая Форма|飛行體|フライングシェイプ|날으는 형태|Fliegende Form|Forme volante|Forma Voladora|Latający Kształt
e_propeller_3|Abnormal Geocube|Epätavallinen geokuutio|Geocubo Anormal|Аномальный Геокуб|異常幾何方塊|アブノーマル･ジオキューブ|비정상 지오 큐브|Abnormer Geowürfel|Géocube anormal|Geocubo Anormal|Nienormalny Geosześcian
e_cube_1|Cube Fighter|Taistelukuutio|Cubo Lutador|Кубический Боец|立方鬥士|キューブファイター|큐브 파이터|Würfelkämpfer|Combattant cubique|Cubo Luchador|Walczący Sześcian
e_cube_2|Warrior Box|Soturikuutio|Caixa Guerreira|Шкатулка Воина|戰士方盒|ウォリアーボックス|워리어 박스|Kriegerbox|Boîte guerrière|Caja Guerrera|Wojownik Pudło
e_cube_3|Betawave Crusher|Beta-aaltomurskaaja|Esmagador de Ondas Beta|Двухволновая Дробилка|β波毀滅者|ベータウェーブクラッシャー|베타웨이브 크러셔|Betawellen-Zerstörer|Destructeur d'ondes bêta|Triturador de Ondas Beta|Betawave Crusher
e_ball_1|Geoball|Geopallo|Geobola|Геоболл|幾何球體|ジオボール|지오볼|Geoball|Géoballe|Geobola|Geokula
e_ball_2|Fractured Orb|Murtunut pallo|Orbe Fraturado|Расколотый Шар|裂痕寶球|砕けたオーブ|파열된 구체|Gebrochene Kugel|Orbe fracturé|Orbe Fracturado|Pęknięta Kula
e_ball_3|Fractal Monstrosity|Fraktaalihirviö|Monstruosidade Fractal|Фрактальное Чудовище|碎形巨怪|フラクタル･モンストロシティ|프랙털 흉물|Fraktale Monströsität|Monstruosité fractale|Monstruosidad Fractal|Fraktalna Potworność
e_samurai_archer_1|Samurai Marksman|Samurai-ampuja|Atirador Samurai|Стрелок - Самурай|武士神射手|侍射手|사무라이 명사수|Samurai-Schütze|Tireur d'élite samouraï|Tirador Samurái|Samuraj Strzelec
e_samurai_archer_2|Legion Marksman|Legioonan ampuja|Atirador da Legião|Стрелок Легиона|軍團神射手|レギオン射手|군단 명사수|Legionsschütze|Tireur d'élite de la Légion|Tirador de la Legión|Strzelec Legionu
e_samurai_archer_3|Master of Arrows|Nuolien Mestari|Mestre das Flechas|Мастер Стрел|箭術大師|矢の達人|화살의 달인|Meister der Pfeile|Maître des flèches|Maestro de las Flechas|Mistrz Strzał
e_gnarler_1|Gnarler|Murisija|Deformado|Корявый|納爾勒|グナーラー|그날러|Knurrer|Noyeur|Gruñidor|Gryzoń
e_gnarler_2|Paralyzed Horror|Halvaantunut kauhu|Horror Paralisado|Парализованный Ужас|麻痺恐懼|麻痺した恐怖|마비된 공포|Paralysierter Horror|Horreur paralysante|Horror Paralizado|Sparaliżowany Horror
e_gnarler_3|Subconcious Demon|Alitajuinen demoni|Demônio Subconsciente|Подсознательный Демон|潛意識惡魔|潜在意識の悪魔|잠재적 악마|Unterbewusster Dämon|Démon de l'inconscient|Demonio Subconsciente|Podświadomy Demon
e_casket_horror_1|Casket Horror|Arkkukammotus|Horror do Caixão|Ужас в Гробу|棺木恐懼|キャスケットホラー|관 공포|Sarghorror|Horreur du cercueil|Horror del Ataúd|Horror Trumny
e_casket_horror_2|Casket Horror|Arkkukammotus|Horror do Caixão|Ужас в Гробу|棺木恐懼|キャスケットホラー|관 공포|Sarghorror|Terreur du cercueil|Horror del Ataúd|Horror Trumny
e_casket_horror_3|Meat Logger|Lihametsuri|Madeireiro de Carne|Мясорубка|鮮肉樵夫|ミートロガー|고기 로거|Fleischlogger|Bûcheron de viande|Leñador de Carne|Rzeźnik Mięsa
e_nightmare_priest_1|Nightmare Priest|Painajaispappi|Sacerdote do Pesadelo|Кошмарный Священник|夢魘祭司|ナイトメアプリースト|악몽의 사제|Alptraumpriester|Prêtre cauchemardesque|Sacerdote de Pesadilla|Kapłan Koszmarów
e_nightmare_priest_2|Nightmare Priest|Painajaispappi|Sacerdote do Pesadelo|Кошмарный Священник|夢魘祭司|ナイトメアプリースト|악몽의 사제|Alptraumpriester|Prêtre du cauchemar|Sacerdote de Pesadilla|Kapłan Koszmarów
e_nightmare_priest_3|Hallucinated Baptist|Hallusinoitu baptisti|Batista Alucinado|Баптист с Галлюцинациями|幻覺洗禮者|幻覚のバプテスト|환각의 침례교|Halluzinierter Baptist|Baptiseur halluciné|Bautista Alucinado|Urojeny Baptysta
e_tundra_hog_1|Tundra Hog|Tundrasika|Porco da Tundra|Тундровый Боров|苔原野豬|ツンドラホッグ|툰드라 호그|Tundraschwein|Porc de la toundra|Jabalí de la Tundra|Tundrowa Świnia
e_tundra_hog_2|Mountain Swine|Vuorisika|Porco da Montanha|Горная Свинья|山地野豬|マウンテンスワイン|마운틴 스와인|Bergschwein|Porc de montagne|Cerdo de Montaña|Górska Świnia
e_tundra_hog_3|Elder Swine|Vanhempi sika|Porco Ancião|Старшая Свинья|遠古野豬|エルダースワイン|엘더 스와인|Schweinältestes|Porc ancien|Cerdo Ancestral|Starsza Świnia
e_forest_troll_1|Forest Troll|Metsäpeikko|Troll da Floresta|Лесной Тролль|森林巨魔|フォレストトロール|포레스트 트롤|Waldtroll|Troll des forêts|Troll del Bosque|Leśny Troll
e_forest_troll_2|Swamp Roamer|Suon vaeltaja|Peregrino do Pântano|Бродяга по болотам|沼澤漫遊者|スワンプローマー|스웜프 로머|Sumpfwanderer|Rôdeur des marais|Vagabundo del Pantano|Błotny Wędrowiec
e_forest_troll_3|Mold Eater|Homeensyöjä|Comedor de Mofo|Пожиратель плесени|食黴巨魔|モールドイーター|몰드 이터|Schimmelfresser|Mangeur de moisissures|Devorador de Moho|Zjadacz Pleśni
e_mountain_troll_1|Mountain Troll|Vuoripeikko|Troll da Montanha|Горный Тролль|山地巨魔|マウンテントロール|마운틴 트롤|Bergtroll|Troll de montagne|Troll de Montaña|Górski Troll
e_mountain_troll_2|Cave Troll|Luolapeikko|Troll da Caverna|Пещерный Тролль|洞穴巨魔|ケーブトロール|케이브 트롤|Höhlentroll|Troll des cavernes|Troll de Caverna|Jaskiniowy Troll
e_mountain_troll_3|Troll Colossus|Peikkokolossi|Troll Colossal|Колосс - Тролль|巨魔巨像|トロールコロッサス |트롤 콜로서스|Trollkoloss|Troll colossal|Troll Colosal|Kolosalny Troll
e_corrupted_viking_1|Corrupted Viking|Turmeltunut viikinki|Viking Corrompido|Развращенный Викинг|墮落維京人|堕落したバイキング|커럽티드 바이킹|Verdorbener Wikinger|Viking corrompu|Vikingo Corrupto|Skażony Wiking
e_corrupted_viking_2|Lost Drengr|Kadonnut Drengr|Drengr Perdido|Потерянный Дренгр|迷失勇士|失われたドレングル|로스트 드렌그르|Verlorener Drengr|Draugr perdu|Drengr Perdido|Zagubiony Drengr
e_corrupted_viking_3|Fallen Berserker|Langennut Berserkeri|Berserker Caído|Павший Берсеркер|墮落狂戰士|堕ちたバーサーカー|폴른 버서커|Gefallener Berserker|Berserker déchu|Berserker Caído|Upadły Berserker
e_naga_warrior_1|Naga Warrior|Naga-soturi|Guerreiro Naga|Воин - Нага|娜迦戰士|ナーガの戦士|나가 워리어|Naga-Krieger|Guerrier serpent|Guerrero Naga|Wojownik Naga
e_naga_warrior_2|Reptilian Champion|Matelijamestari|Campeão Reptiliano|Чемпион среди Рептилий|蜥蜴人頭目|爬虫類のチャンピオン|레프틸리언 챔피언|Reptilien-Champion|Reptilien champion|Campeón Reptiliano|Gadzi Champion
e_naga_warrior_3|Slither Commander|Liukuva komentaja|Comandante Escorregadio|Скользящий Командир|游蛇指揮官|スリザーの指揮官|슬리더 커맨더|Schlängel-Kommandant|Commandant rampant|Comandante Serpenteante|Dowódca Slither
e_valhalla_bear_1|Raging Bear|Raivoava karhu|Urso Furioso|Разъяренный Медведь|狂暴巨熊|怒れる熊|레이징 베어|Wütender Bär|Ours enragé|Oso Enfurecido|Wściekły Niedźwiedź
e_valhalla_bear_2|Mauling Bear|Raahaava karhu|Urso Espancador|Растерзанный Медведь|撕裂巨熊|引き裂く熊|몰링 베어|Zermalmender Bär|Ours massacreur|Oso Mutilador|Rozszarpujący Niedźwiedź
e_valhalla_bear_3|Alpha Bear|Alfakarhu|Urso Alfa|Альфа - Медведь|首領巨熊|アルファベア|알파 베어|Alpha-Bär|Ours Alpha|Oso Alfa|Alfa Niedźwiedź
e_naga_archer_1|Naga Archer|Naga-jousimies|Arqueiro Naga|Нага Лучник|娜迦弓箭手|ナーガの射手|나가 아처|Naga-Bogenschütze|Archer serpent|Arquero Naga|Łucznik Naga
e_naga_archer_2|Reptilian Bowman|Matelijajousimies|Arqueiro Reptiliano|Лучник - Рептилия|蜥蜴人弓箭手|爬虫類の弓兵|레프틸리언 보우맨|Reptilien-Bogenschütze|Traqueur reptilien|Arquero Reptiliano|Gadzi Łucznik
e_naga_archer_3|Slither Marksman|Liukuva tarkka-ampuja|Arqueiro Escorregadio|Скользящий Стрелок|游蛇神射手|スリザーの狙撃手|슬리더 마크스맨|Schlängel-Schütze|Tireur d'élite rampant|Tirador Serpenteante|Strzelec Slither
e_colossalGolem_1|Ancient Golem|Muinainen golemi|Golem Ancião|Древний Голем|遠古魔像|古代のゴーレム|앤션트 골렘|Uralter Golem|Golem antique|Gólem Ancestral|Pradawny Golem
e_colossalSkeleton_1|Ancient Skeleton|Muinainen luuranko|Esqueleto Ancião|Древний Скелет|遠古骷髏|古代のスケルトン|앤션트 스켈레톤|Uraltes Skelett|Squelette antique|Esqueleto Ancestral|Pradawny Szkielet
e_colossalSpider_1|Ancient Spider|Muinainen hämähäkki|Aranha Anciã|Древний Паук|遠古蜘蛛|古代のクモ|앤션트 스파이더|Uralte Spinne|Araignée antique|Araña Ancestral|Pradawny Pająk
e_colossalZombie_1|Ancient Zombie|Muinainen zombi|Zumbi Ancião|Древний Зомби|遠古殭屍|古代のゾンビ|앤션트 좀비|Uralter Zombie|Zombie antique|Zombie Ancestral|Pradawny Zombie
e_orc_warrior_1|Orc Warrior|Örkkisoturi|Orc Guerreiro|Орк - Воин|獸人戰士|オークの戦士|오크 워리어|Ork-Krieger|Guerrier orque|Guerrero Orco|Wojownik Orków
e_orc_warrior_2|Grunt Champion|Murskamestari|Campeão do Grunhido|Пехотинец - Чемпион|步兵頭目|グラントチャンピオン|그런트 챔피언|Grunt-Champion|Grognard champion |Campeón Soldado|Champion Grunt
e_orc_warrior_3|Warchief|Sotapäällikkö|Chefe Guerreiro|Вождь|大酋長|ウォーチーフ|워치프|Kriegshäuptling|Chef de guerre|Jefe de Guerra|Wódz
e_orc_hunter_1|Orc Hunter|Örkkimetsästäjä|Orc Caçador|Охотник на Орков|獸人獵人|オークの狩人|오크 헌터|Ork-Jäger|Chasseur orc|Cazador Orco|Łowca Orków
e_orc_hunter_2|Boulderer|Lohkarekauppias|Pedregulho|Боулдерер|巨石投擲者|岩投げ兵|볼더러|Felsenkämpfer|Lanceur de roche|Lanzapiedras|Rzucający Głazami
e_orc_hunter_3|Stone Slinger|Kivilinko|Arremessador de Pedras|Метатель Камней|投石者|石のスリンガー|스톤 슬링거|Steinschleuder|Frondeur de pierre|Honda de Piedra|Miotać Kamienie
e_alien_melee_1|Alien Grunt|Alien-murskaaja|Grunhido Alien|Инопланетное Ворчание|外星步兵|エイリアングラント|에일리언 그런트|Alien-Grunt|Extraterrestre grognard|Soldado Alienígena|Obcy Grunt
e_alien_melee_2|Astral Commander|Astraalikomentaja|Comandante Astral|Астральный Командир|星界指揮官|星界の指揮官|아스트랄 커맨더|Astraler Kommandant|Commandant astral|Comandante Astral|Dowódca Astralny
e_alien_melee_3|Glitch Demon|Häiriödemoni|Falha Demoníaca|Демон - Глюк|異常惡魔|グリッチデーモン|글리치 데몬|Glitch-Dämon|Erreur démonique|Fallo Demoníaco|Demon Glitch
e_alien_ranged_1|Alien Trooper|Alien-soturi |Soldado Alienígena|Инопланетный Солдат|外星士兵|エイリアントルーパー|에일리언 트루퍼|Alien-Soldat|Soldat extraterrestre|Soldado Alienígena|Żołnierz Obcy
e_alien_ranged_2|Vector Marksman|Vektoritarkastaja|Atirador de Vetor|Векторный Стрелок|向量神射手|ベクター狙撃手|벡터 마크스맨|Vektor-Scharfschütze|Vecteur tireur d'élite|Tirador Vectorial|Strzelec Wektor
e_alien_ranged_3|Triggershot|Lasku|Gatilho|Спусковой крючок|扳機射手|トリガーショット|트리거샷|Abzugsschuss|Coup de gâchette|Disparo Gatillo|Triggershot
e_alien_devourer_1|Unknown Beast|Tuntematon peto|Besta Desconhecida|Неизвестный Зверь|未知異獸|未知の獣|언노운 비스트|Unbekanntes Biest|Bête inconnue|Bestia Desconocida|Nieznana Bestia
e_alien_devourer_2|Fatal Experiment|Kohtalokas koe|Experimento Fatal|Фатальный Эксперимент|致命實驗體|致命的な実験体|페이탈 익스페리먼트|Tödliches Experiment|Expérience funeste|Experimento Fatal|Fatalny Eksperyment
e_alien_devourer_3|Spectral Malfunction|Aavemainen toimintahäiriö|Defeito Espectral|Спектральная неисправность|幽靈異常體|スペクトラル異常体|스펙트럴 말펑션|Spektrale Fehlfunktion|Dysfonctionnement spectral|Falla Espectral|Widmowa Awaria
e_skeletal_trooper_1|Skeletal Trooper|Luurankosoturi|Soldado Esqueleto|Солдат - Скелет|骷髏士兵|骸骨兵|스켈레탈 트루퍼|Skelett-Soldat|Soldat squelettique|Soldado Esquelético|Szkieletowy Żołnierz
e_skeletal_trooper_2|Bone Commander|Luukonsamppaja|Comandante dos Ossos|Костяной Командир|骷髏指揮官|骨の指揮官|본 커맨더|Knochenkommandant|Commandant osseux|Comandante de Huesos|Dowódca Kości
e_skeletal_trooper_3|Skeletal Warlord|Luurankosotapäällikkö|Esqueleto Senhor da Guerra|Скелетообразный Военачальник|骷髏軍閥|骸骨の将軍|스켈레탈 워로드|Skelett-Kriegsherr|Maître de guerre squelettique|Señor de Guerra Esquelético|Szkieletowy Władca Wojny
e_skeletal_marksman_1|Skeletal Marksman|Luurankosotatarkastaja|Atirador Esqueleto|Стрелок - Скелет|骷髏神射手|骸骨狙撃手|스켈레탈 마크스맨|Skelett-Schütze|Tireur d'élite squelettique|Tirador Esquelético|Szkieletowy Strzelec
e_skeletal_marksman_2|Guerilla Ambusher|Sissiväijyttäjä|Emboscador de Guerrilha|Партизанская засада|游擊伏擊者|ゲリラ待ち伏せ兵|게릴라 앰부셔|Guerilla-Hinterhalt|Guérillero embusquée|Emboscador Guerrillero|Partyzancki Zasadzacz
e_skeletal_marksman_3|Bone Maker|Luuntekijä|Criador de Ossos|Производитель костей|白骨創造者|骨の創造者|본 메이커|Knochenmacher|Créateur d'os|Creador de Huesos|Twórca Kości
e_grave_ghoul_1|Grave Ghoul|Haudan kummitus|Ghoul da Cova|Могильный Упырь|墓穴食屍鬼|墓場のグール|그레이브 굴|Grabghul|Goule sépulcrale|Ghoul de Tumba|Ghoul z Grobu
e_grave_ghoul_2|Lurking Horror|Väijyvä kauhu|Horror Espreitador|Затаившийся Ужас|潛伏恐懼|潜む恐怖|러킹 호러|Lauernder Schrecken|Horreur tapie|Horror Acechante|Czający Się Horror
e_grave_ghoul_3|Frenzied Anomaly|Raivoisa poikkeama|Anomalia Frenética |Безумная Аномалия|狂暴異象|狂乱の異常体|프렌지드 어노말리|Rasende Anomalie|Anomalie frénétique|Anomalía Frenética|Oszałomiona Anomalia
e_essence_of_agony_1|Essence of Agony|Tuskan olemus|Essência da Agonia|Сущность Агонии|痛苦精華|苦痛のエッセンス|에센스 오브 애고니|Essenz der Qual|Essence de l'agonie|Esencia de Agonía|Esencja Agonii
e_essence_of_agony_2|Agonizing Anomaly|Tuskiva poikkeama|Anomalia Agonizante|Мучительная Аномалия|痛苦異象|苦しむ異常体|애고니징 어노말리|Quälende Anomalie|Anomalie agonisante|Anomalía Agonizante|Agonizująca Anomalia
e_essence_of_agony_3|Burdened Agony|Kuormitettu tuska|Agonia Sobrecarregada|Отягощенная Агония|沉重痛苦|重荷を背負う苦痛|버든드 애고니|Belastete Qual|Agonie accablante|Agonía Agobiante|Obciążona Agonia
e_disturbed_spirit_1|Disturbed Soul|Häiriintynyt sielu|Alma Perturbada|Потревоженная Душа|不安靈魂|乱れた魂|디스터브드 소울|Gestörte Seele|Âme perturbée|Alma Perturbada|Zakłócona Dusza
e_disturbed_spirit_2|Distorted Anima|Vääristynyt anima|Ânima Distorcido|Искаженная Анима|扭曲心能|歪んだアニマ|디스토르티드 아니마|Verzerrte Anima|Esprit déformé|Ánima Distorsionada|Zniekształcona Anima
e_disturbed_spirit_3|Fractured Ego|Murtunut ego|Ego Fraturado|Раздробленное Эго|破碎自我|砕けた自我|프랙쳐드 에고|Gebrochenes Ego|Ego fracturé|Ego Fracturado|Pęknięte Ego
e_chilling_marksman_1|Chilling Marksman|Jäädyttävä tarkka-ampuja|Atirador Gelado|Пугающий Стрелок|冰寒神射手|冷気の狙撃手|칠링 마크스맨|Frozender Schütze|Tireur d'élite glacé|Tirador Gélido|Chłodzący Strzelec
