[Video]|[en]|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
options_desc_cross_platform|Enable/disable the ability to see and join game sessions hosted by users outside of the PlayStation Network. When enabled, players on other platforms can participate in your game sessions as well.|Ota käyttöön tai poista käytöstä mahdollisuus nähdä PlayStation Networkin ulkopuolisten käyttäjien isännöimät peliistunnot ja liittyä niihin. Kun tämä on käytössä, myös muiden alustojen pelaajat voivat osallistua pelisessioihin.|Habilita/desabilita a capacidade de ver e participar de sessões de jogos hospedadas por usuários fora da PlayStation Network. Quando ativado, jogadores de outras plataformas também podem participar das suas sessões de jogo.| Включить/выключить возможность видеть и присоединяться к игровым сессиям, организованным пользователями за пределами PlayStation Network. Когда включено|啟用/停用檢視和加入 PlayStation Network 以外的使用者所主持的遊戲會話的功能。啟用後，其他平台的玩家也可以參與您的遊戲。|PlayStation Network 外部のユーザーがホストするゲームセッションを表示および参加する機能を有効/無効にします。有効にすると、他のプラットフォームのプレイヤーもゲーム セッションに参加できるようになります。|플레이스테이션 네트워크 외부 사용자가 호스팅한 게임 세션을 보기 및 참여 기능을 활성화/비활성화합니다. 활성화 시 다른 플랫폼의 플레이어가 세션에 참여할 수 있습니다.|Aktivieren/deaktivieren Sie die Möglichkeit, Spielsitzungen anzuzeigen und daran teilzunehmen, die von Benutzern außerhalb des PlayStation Network gehostet werden. Wenn diese Option aktiviert ist, können auch Spieler auf anderen Plattformen an Ihren Spielsitzungen teilnehmen.|Activer/désactiver la possibilité de voir et de rejoindre des sessions de jeu hébergées par des utilisateurs en dehors du PlayStation Network. Lorsque cette option est activée, les joueurs sur d'autres plateformes peuvent également participer à vos sessions de jeu.
options_desc_use_all_flasks|Enable/Disable using all available unique flasks at the same time by using any one of them. This does not apply for common flasks.|Ota käyttöön/poista käytöstä kaikkien saatavilla olevien yksilöllisten pullojen käyttö samanaikaisesti käyttämällä mitä tahansa niistä. Tämä ei koske tavallisia pulloja.|Habilitar/Desabilitar o uso de todos os frascos exclusivos disponíveis ao mesmo tempo usando qualquer um deles. Isto não se aplica a frascos comuns.| Включить/выключить использование всех доступных уникальных колб одновременно, используя любую из них. Это не относится к общим колбам.|透過使用其中任何一個，可以同時啟用/停用所有可用的獨特藥劑瓶。這不適用於普通藥劑瓶。|利用可能なすべてのユニークフラスコのいずれかを使用して、それらの使用を有効/無効にします。これは一般的なフラスコには適用されません。|하나의 유니크 플라스크로 모든 유니크 플라스크를 동시에 사용할 수 있는 기능을 활성화/비활성화합니다. 일반 플라스크에는 적용되지 않습니다.|Aktivieren/Deaktivieren Sie die gleichzeitige Verwendung aller verfügbaren einzigartigen Flaschen, indem Sie eine davon verwenden. Dies gilt nicht für herkömmliche Flaschen.|Activer/désactiver l'utilisation de tous les flacons uniques disponibles en même temps en utilisant l'un d'entre eux. Ceci ne s’applique pas aux flacons courants.
options_desc_show_item_info|Always show the stat ranges and other information on items when hovering them.|Näytä aina tilastoalueet ja muut tiedot kohteista, kun pidät niitä.|Sempre mostre os intervalos de estatísticas e outras informações sobre os itens ao passar o mouse sobre eles.| Всегда показывать диапазоны характеристик и другую информацию о предметах при наведении на них курсора.|將滑鼠懸停在物品上時始終顯示數值範圍和其他信息。|アイテムにマウスをホバーすると、そのアイテムのステータス範囲やその他の情報が常に表示されます。|아이템 위에 마우스를 올렸을 때 항상 능력치 범위 및 기타 정보를 표시합니다.|Zeigen Sie beim Bewegen der Maus über die Elemente immer die Statistikbereiche und andere Informationen an.|Affichez toujours les plages de statistiques et autres informations sur les objets lorsque vous les survolez.
options_desc_show_enemy_affix|Always show monster affixes.|Näytä aina hirviöliitteet. |Sempre mostre afixos de monstros. | Всегда показывать аффиксы монстров.|總是顯示怪物詞綴。 |モンスターの接尾辞を常に表示します。 |항상 몬스터 속성 표시.|Monster-Affixe immer anzeigen. |Affichez toujours les affixes des monstres. 
options_desc_minimap_show_monsters|Enable/Disable showing monsters in minimap (Disabling increases performance)||||啟用/停用在小地圖中顯示怪物（停用可提高效能）|DoT（ダメージオーバータイム）戦闘テキストの表示／非表示を切り替えます。|시간당 데미지(Dot) 전투 텍스트 표시/숨기기.|||
options_desc_show_dot_text|Show/Hide damage over time combat text.||||顯示/隱藏DOT傷害戰鬥文字。||||
|||||||||||
[Minimap]|||||||||||
minimap_object_icon_size|Minimap Object Size|Minimap-objektin koko|Tamanho de Objetos no Minimapa| Размер объектов на миникарте|小地圖目標尺寸|ミニマップオブジェクトのサイズ|미니맵 오브젝트 크기|Minimap-Objektgröße|Taille de l'objet de la mini-carte
minimap_enemy_icon_size|Minimap Player/Enemy Size|Minimap Player/Enemy Size|Tamanho de Jogador/Inimigo no Minimapa| Размер игрока/врага на миникарте|小地圖玩家/敵人尺寸|ミニマップのプレイヤー/敵のサイズ|미니맵 플레이어/적 크기|Minimap-Spieler-/Feindgröße|Taille du joueur/ennemi sur la minicarte
minimap_loot_icon_size|Minimap Loot Size|Minimap saaliskoko|Tamanho de Loot no Minimapa| Размер добычи на миникарте|小地圖戰利品尺寸|ミニマップの戦利品サイズ|미니맵 전리품 크기|Beutegröße auf der Minikarte|Taille du butin de la minicarte
options_desc_minimap_object_icon_size|The size of objects like portals, NPC, mining nodes etc. in the minimap.|Objektien, kuten portaalien, NPC:n, kaivossolmujen jne. koko minikartassa.|O tamanho de objetos como portais, NPC, minérios etc. No minimapa| Размер объектов, таких как порталы|小地圖中傳送門、NPC、挖掘節點等物件的尺寸。|ミニマップ内のポータル、NPC、採掘ノードなどのオブジェクトのサイズ。|미니맵에서 포탈, NPC, 광물노드, 그외 기타등등의 객체 크기|Die Größe von Objekten wie Portalen, NPCs, Bergbauknoten usw. in der Minikarte.|La taille des objets tels que les portails, les PNJ, les nœuds miniers, etc. dans la minicarte.
options_desc_minimap_enemy_icon_size|The size of Player and Enemies in the minimap.|Pelaajan ja vihollisten koko minikartassa.|O tamanho do Jogador e Inimigos no minimapa.| Размер игрока и врагов на мини-карте.|小地圖中玩家和敵人的尺寸。|ミニマップ内のプレイヤーと敵のサイズ。|미니맵에서 플레이어와 적의 크기|Die Größe von Spielern und Feinden auf der Minikarte.|La taille du joueur et des ennemis sur la minicarte.
options_desc_minimap_loot_icon_size|The size of Loot in the minimap.|Saaliin koko minikartassa.|O tamanho de Loot no minimapa.| Размер добычи на миникарте.|戰利品在小地圖的大小。|ミニマップ内の戦利品のサイズ。|미니맵에서 전리품 크기|Die Größe der Beute in der Minikarte.|La taille du butin dans la minicarte.
options_desc_minimap_color|The color blend for the minimap.|Värisekoitus minikartalle.|A combinação de cores do minimapa.| Цветовая гамма для мини-карты.|小地圖的顏色混合。|ミニマップのカラーブレンド。|미니맵의 색상 조합|Die Farbmischung für die Minikarte.|Le mélange de couleurs pour la minicarte.
options_desc_minimap_scale|The scale of your minimap.|Minikarttasi mittakaava.|A escala do seu minimapa.| Масштаб вашей миникарты.|小地圖的比例。|ミニマップのスケール。|미니맵 크기|Der Maßstab Ihrer Minikarte.|L'échelle de votre minicarte.
options_desc_minimap_opacity|The opacity of your minimap.|Minikarttasi läpinäkyvyys. |A opacidade do seu minimapa.| Непрозрачность вашей миникарты.|小地圖的透明性。 |ミニマップの不透明度。 |미니맵 투명도|Die Deckkraft Ihrer Minikarte. |L'opacité de votre minicarte. 
|||||||||||
[Online Chat]|||||||||||
options_desc_general_chat|Enable/disable the General chat in the chat lobby as well as ingame.|Ota käyttöön/poista käytöstä yleinen chat chat-aulassa sekä pelaaminen.|Ativa/Desativa o chat Geral tanto no lobby quanto em jogo.| Включить/отключить общий чат в лобби чата, а также в игре.|啟用/停用聊天大廳以及遊戲中的常規聊天。|チャット ロビーおよびゲーム内での一般チャットを有効/無効にします。|채팅 로비와 게임 내에서 일반 채팅을 활성화/비활성화합니다.|Aktivieren/deaktivieren Sie den allgemeinen Chat in der Chat-Lobby sowie im Spiel.|Activer/désactiver le chat général dans le lobby et dans le jeu.
options_desc_ingame_chat_notifications|Enable/disable notifications in the Ingame chat.|Ota ilmoitukset käyttöön tai poista ne käytöstä pelin sisäisessä chatissa.|Ativa/Desativa notificações no chat de jogo.| Включить/отключить уведомления в игровом чате.|啟用/停用遊戲中聊天的通知。|ゲーム内チャットでの通知を有効/無効にします。|게임 내 채팅에서 알림을 활성화/비활성화합니다.|Benachrichtigungen im Ingame-Chat aktivieren/deaktivieren.|Activer/désactiver les notifications dans le chat en jeu.
options_desc_general_chat_notifications|Enable/disable notifications in the General chat.|Ota ilmoitukset käyttöön tai poista ne käytöstä yleisessä chatissa.|Ativa/Desativa notificações no chat geral.| Включить/отключить уведомления в общем чате.|啟用/停用一般聊天的通知。|一般チャットでの通知を有効/無効にします。|일반 채팅에서 알림을 활성화/비활성화합니다.|Aktivieren/deaktivieren Sie Benachrichtigungen im allgemeinen Chat.|Activer/désactiver les notifications dans le chat général.
options_desc_trade_chat_notifications|Enable/disable notifications in the Trade chat.|Ota ilmoitukset käyttöön/poista käytöstä Trade-chatissa.|Ativa/Desativa notificações no chat de trocas.| Включить/отключить уведомления в торговом чате.|啟用/停用交易聊天中的通知。|トレードチャットでの通知を有効/無効にします。|거래 채팅에서 알림을 활성화/비활성화합니다.|Aktivieren/Deaktivieren Sie Benachrichtigungen im Handelschat.|Activer/désactiver les notifications dans le chat commerce.
options_desc_guild_chat_notifications|Enable/disable notifications in the Guild chat.|Ota ilmoitukset käyttöön/poista käytöstä Guild-chatissa.|Ativa/Desativa notificações no chat da Guilda.| Включить/отключить уведомления в чате гильдии.|啟用/停用公會聊天中的通知。|ギルド チャットでの通知を有効/無効にします。|길드 채팅에서 알림을 활성화/비활성화합니다.|Benachrichtigungen im Gildenchat aktivieren/deaktivieren.|Activer/désactiver les notifications dans le chat de guilde.
options_desc_ingame_chat_fading|Enable/disable Ingame chat fading. This causes the chat window to fade away after a period of time. if disabled the chat will always show.|Ota pelin sisäisen chatin häipyminen käyttöön tai poista se käytöstä. Tämä saa chat-ikkunan häipymään tietyn ajan kuluttua. jos se on poistettu käytöstä, chat näkyy aina.|Ativa/Desativa desaparecimento do chat em jogo. Isso faz com que a aba do chat desapareça após um período de tempo. Se desativado, o chat sempre vai ficar à mostra.| Включить/выключить затухание игрового чата. Это заставит окно чата исчезнуть через некоторое время. Если отключить, чат будет отображаться всегда.|啟用/停用遊戲中聊天淡入淡出。這會導致聊天視窗在一段時間後逐漸消失。如果停用，聊天將始終顯示。|ゲーム内チャットのフェードを有効/無効にします。これにより、一定時間が経過するとチャット ウィンドウが消えます。無効にすると、チャットは常に表示されます。|게임 내 채팅 흐려짐 효과를 활성화/비활성화합니다. 활성화 시 일정 시간 후 채팅 창이 사라지고, 비활성화 시 채팅 창이 항상 표시됩니다.|Aktivieren/Deaktivieren des Ingame-Chat-Ausblendens. Dies führt dazu, dass das Chatfenster nach einer gewissen Zeit ausgeblendet wird. Wenn deaktiviert, wird der Chat immer angezeigt.|Activer/désactiver le fondu du chat en jeu. La fenêtre de chat disparaît au bout d'un certain temps. Si cette option est désactivée, la discussion reste toujours affichée.
options_desc_ingame_chat_fading_speed|How many seconds it takes before the chat starts to fade.|Kuinka monta sekuntia kestää, ennen kuin chat alkaa hiipua.|Quantos segundos leva até que o chat comece a desaparecer.| Сколько секунд проходит, прежде чем чат начинает исчезать.|聊天開始消退需要多少秒。|チャットが消え始めるまでにかかる秒数。|채팅이 흐려지기 시작하는 데 걸리는 시간(초)|Wie viele Sekunden es dauert, bis der Chat zu verblassen beginnt.|Nombre de secondes avant que la fenêtre de chat ne commence à s'effacer.
options_desc_ingame_chat_background_opacity|How visible the Ingame chats background box is.|Kuinka näkyvä Ingame-keskustelujen taustaruutu on. |O quão visível é o fundo da caixa de chat.| Насколько заметно фоновое поле внутриигровых чатов.|遊戲中聊天背景框的可見性|ゲーム内チャットの背景ボックスの表示レベル。 |게임 내 채팅 배경 박스의 투명도|Wie sichtbar das Hintergrundfeld des Ingame-Chats ist. |L'opacité de l'arrière-plan de la fenêtre de chat en jeu.
|||||||||||
[Misc]|||||||||||
options_desc_screen_shake|Enable/disable screen shaking from any source like abilities or cinematic events will be enabled/disabled.|Ota käyttöön/poista käytöstä näytön tärinä mistä tahansa lähteestä, kuten kyvyistä tai elokuvallisista tapahtumista, otetaan käyttöön/poistetaan käytöstä.|Ativa/Desativa o tremor na tela de qualquer fonte como habilidades ou eventos cinemáticos.| Будет включено/выключено включение/выключение тряски экрана из любого источника, например, способностей или кинематографических событий.|啟用/停用任何來源的螢幕抖動，如功能或事件將被啟用/停用。|アビリティやシネマティック イベントなどのあらゆるソースからの画面の揺れを有効/無効にします。|능력이나 영화적 이벤트 등 모든 원인으로 인한 화면 흔들림을 활성화/비활성화합니다.|Aktivieren/Deaktivieren des Bildschirmzitterns aus beliebigen Quellen, z. B. durch Fähigkeiten oder filmische Ereignisse.|Activer/désactiver les tremblements d'écran provenant de n'importe quelle source, comme les compétences ou les événements cinématiques seront activés ou non.
options_desc_vibration|Enable/disable vibration when taking damage for an example.|Ota peliohjaimen värinä käyttöön tai poista se käytöstä esimerkiksi vahingoittaessasi.|Ativa/Desativa a vibração do gamepad quando por exemplo toma dano.|Включить/отключить вибрацию геймпада, например, при получении урона.|啟用/停用受到傷害時振動。|たとえばダメージを受けたときにゲームパッドの振動を有効/無効にします。|예를 들어 피해를 입을 때 게임패드 진동을 활성화/비활성화합니다.|Aktivieren/Deaktivieren der Gamepad-Vibration, wenn Sie beispielsweise Schaden nehmen.|Activer/désactiver la vibration de la manette lorsque, par exemple, vous subissez des dégâts.
options_desc_object_outline_color|The color of outline for enemies and other objects behind structures.|Vihollisten ja muiden rakenteiden takana olevien esineiden ääriviivojen väri. |A cor do contorno de inimigos e outros objetos atrás de estruturas.| Цвет контура врагов и других объектов за строениями.|建築物後面敵人和其他物體的輪廓顏色。|構造物の背後にある敵やその他のオブジェクトの輪郭の色。 |구조물 뒤에 있는 적이나 다른 객체들의 윤곽선 색상.|Die Umrissfarbe von Feinden und anderen Objekten hinter Strukturen. |La couleur du contour des ennemis et autres objets derrière les structures.
options_desc_highlight_color|Choose the color for your filter highlighted items on ground and map.||||選擇過濾器在地面和地圖上突出顯示的物品的顏色|投票リセット|투표 리셋|||
options_name_lootFilter|Loot Filter||||戰利品過濾器|スキルロードアウト 1|스킬 로드아웃 1|||
options_name_voteReset|Vote Reset||||投票重置|スキルロードアウト 2|스킬 로드아웃 2|||
options_name_loadout01|Skill Loadout 1||||技能配置 1|スキルロードアウト 3|스킬 로드아웃 3|||
options_name_loadout02|Skill Loadout 2||||技能配置 2|スキルロードアウト 4|스킬 로드아웃 4|||
options_name_loadout03|Skill Loadout 3||||技能配置 3||||
options_name_loadout04|Skill Loadout 4||||技能配置 4||||
options_name_loadout05|Skill Loadout 5|||Набор навыков 5|技能配置 5||스킬 로드아웃 5|||Configuración de habilidades 5|
options_name_loadout06|Skill Loadout 6|||Набор навыков 6|技能配置 6||스킬 로드아웃 6|||Configuración de habilidades 6|
options_name_loadout07|Skill Loadout 7|||Набор навыков 7|技能配置 7||스킬 로드아웃 7|||Configuración de habilidades 7|
options_name_loadout08|Skill Loadout 8|||Набор навыков 8|技能配置 8||스킬 로드아웃 8|||Configuración de habilidades 8|
options_name_context_menu|Context Menu||Menu de Contexto |Контекстное меню |內容選單|コンテキストメニュー |상황에 맞는 메뉴 |Kontextmenü|Menu contextuel |Menú contextual |Menu kontekstowe 
|||||||||||
[Controls]|||||||||||
options_removed_bind|Removed Key binds for buttons:||Atalhos de teclado removidos para botões:|Удалены привязки клавиш для кнопок:|已移除按鈕的快速鍵綁定：|ボタンのキーバインドを削除しました：|버튼에 대한 키 바인딩을 제거했습니다.|Tastenbelegungen für Schaltflächen entfernt:|Suppression des raccourcis clavier pour les boutons :|Se eliminaron las asignaciones de teclas para los botones:|Usunięto przypisania klawiszy do przycisków: 
options_duplicate_bind|Input conflicts with the following bindings:||Conflitos de entrada com os seguintes atalhos: |Ввод конфликтует со следующими привязками: |輸入與以下綁定衝突： |入力が以下のバインドと競合するためです： |입력이 다음 바인딩과 충돌합니다. |Eingabekonflikte mit folgenden Belegungen:|Incidents de saisie avec les raccourcis suivants : |Conflictos de entrada con las siguientes asignaciones: |Występują konflikty danych wejściowych z następującymi powiązaniami: 
|||||||||||
[Keyboard]|||||||||||
options_kb_use_potion_1|Key bind for using a potion in slot 1|Näppäinsidonta juoman käyttöä varten paikassa 1|Keybind para usar uma poção no slot 1| Назначение клавиши для использования зелья в слоте 1|插槽1中藥劑使用的按鈕|スロット1のポーションを使用するためのキーバインド|슬롯 1에서 포션을 사용하는 키 설정|Tastenbelegung für die Verwendung eines Tranks in Slot 1|Raccourci clavier pour boire la potion stockée dans le 1er emplacement.
options_kb_use_potion_2|Key bind for using a potion in slot 2|Näppäinsidonta juoman käyttöä varten paikassa 2|Keybind para usar uma poção no slot 2| Назначение клавиши для использования зелья в слоте 2|插槽2中藥劑使用的按鈕|スロット2のポーションを使用するためのキーバインド|슬롯 2에서 포션을 사용하는 키 설정|Tastenbelegung für die Verwendung eines Tranks in Slot 2|Raccourci clavier pour boire la potion stockée dans le 2ème emplacement.
options_kb_use_potion_3|Key bind for using a potion in slot 3|Näppäinsidonta juoman käyttöä varten paikassa 3|Keybind para usar uma poção no slot 3| Назначение клавиши для использования зелья в слоте 3|插槽3中藥劑使用的按鈕|スロット3のポーションを使用するためのキーバインド|슬롯 3에서 포션을 사용하는 키 설정|Tastenbelegung für die Verwendung eines Tranks in Slot 3|Raccourci clavier pour boire la potion stockée dans le 3ème emplacement.
options_kb_use_potion_4|Key bind for using a potion in slot 4|Näppäinsidonta juoman käyttöä varten paikassa 4|Keybind para usar uma poção no slot 4| Назначение клавиши для использования зелья в слоте 4|插槽4中藥劑使用的按鈕|スロット4のポーションを使用するためのキーバインド|슬롯 4에서 포션을 사용하는 키 설정|Tastenbelegung für die Verwendung eines Tranks in Slot 4|Raccourci clavier pour boire la potion stockée dans le 4ème emplacement.
options_kb_use_skill_1|Key bind for using skill 1 if assigned.|Avainsidonta taidon 1 käyttöön, jos se on määritetty.|Keybind para usar a skill 1 se atribuído.| Назначение клавиши для использования навыка 1, если назначена.|用於使用技能1的按鈕（如果已指派）。|割り当てられている場合、スキル 1 を使用するためのキー バインド。|스킬 1을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 1, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 1ère compétence si elle est attribuée.
options_kb_use_skill_2|Key bind for using skill 2 if assigned.|Avainsidonta taidon 2 käyttöön, jos se on määritetty.|Keybind para usar a skill 2 se atribuído.| Назначение клавиши для использования навыка 2, если назначена.|用於使用技能2的按鈕（如果已指派）。|割り当てられている場合、スキル 2 を使用するためのキー バインド。|스킬 2을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 2, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 2ème compétence si elle est attribuée.
options_kb_use_skill_3|Key bind for using skill 3 if assigned.|Avainsidonta taidon 3 käyttöön, jos se on määritetty.|Keybind para usar a skill 3 se atribuído.| Назначение клавиши для использования навыка 3, если назначено.|用於使用技能3的按鈕（如果已指派）。|割り当てられている場合、スキル 3 を使用するためのキー バインド。|스킬 3을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 3, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 3ème compétence si elle est attribuée.
options_kb_use_skill_4|Key bind for using skill 4 if assigned.|Avainsidonta taidon 4 käyttöön, jos se on määritetty.|Keybind para usar a skill 4 se atribuído.| Назначение клавиши для использования навыка 4, если назначено.|用於使用技能4的按鈕（如果已指派）。|割り当てられている場合、スキル 4 を使用するためのキー バインド。|스킬 4을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 4, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 4ème compétence si elle est attribuée.
options_kb_use_skill_5|Key bind for using skill 5 if assigned.|Avainsidonta taidon 5 käyttöön, jos se on määritetty.|Keybind para usar a skill 5 se atribuído.| Назначение клавиши для использования навыка 5, если назначено.|用於使用技能5的按鈕（如果已指派）。|割り当てられている場合、スキル 5 を使用するためのキー バインド。|스킬 5을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 5, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 5ème compétence si elle est attribuée.
options_kb_use_skill_6|Key bind for using skill 6 if assigned.|Avainsidonta taidon 6 käyttöön, jos se on määritetty.|Keybind para usar a skill 6 se atribuído.| Назначение клавиши для использования навыка 6, если назначено.|用於使用技能6的按鈕（如果已指派）。|割り当てられている場合、スキル 6 を使用するためのキー バインド。|스킬 6을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 6, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 6ème compétence si elle est attribuée.
options_kb_use_skill_7|Key bind for using skill 7 if assigned.|Avainsidonta taidon 7 käyttöön, jos se on määritetty.|Keybind para usar a skill 7 se atribuído.| Назначение клавиши для использования навыка 7, если назначена.|用於使用技能7的按鈕（如果已指派）。|割り当てられている場合、スキル 7 を使用するためのキー バインド。|스킬 7을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 7, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 7ème compétence si elle est attribuée.
options_kb_use_skill_8|Key bind for using skill 8 if assigned.|Avainsidos taidon 8 käyttöön, jos se on määritetty.|Keybind para usar a skill 8 se atribuído.| Назначение клавиши для использования навыка 8, если назначено.|用於使用技能8的按鈕（如果已指派）。|割り当てられている場合、スキル 8 を使用するためのキー バインド。|스킬 8을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 8, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 8ème compétence si elle est attribuée.
options_kb_use_skill_9|Key bind for using skill 9 if assigned.|Avainsidonta taidon 9 käyttöön, jos se on määritetty.|Keybind para usar a skill 9 se atribuído.| Назначение клавиши для использования навыка 9, если назначено.|用於使用技能9的按鈕（如果已指派）。|割り当てられている場合、スキル 9 を使用するためのキー バインド。|스킬 9을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 9, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 9ème compétence si elle est attribuée.
options_kb_use_skill_10|Key bind for using skill 10 if assigned.|Avainsidos taidon 10 käyttöön, jos se on määritetty.|Keybind para usar a skill 10 se atribuído.| Назначение клавиши для использования навыка 10, если назначена.|用於使用技能10的按鈕（如果已指派）。|割り当てられている場合、スキル 10 を使用するためのキー バインド。|스킬 10을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 10, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 10ème compétence si elle est attribuée.
options_kb_use_skill_11|Key bind for using skill 11 if assigned.|Avainsidos taidon 11 käyttöön, jos se on määritetty.|Keybind para usar a skill 11 se atribuído.| Назначение клавиши для использования навыка 11, если назначено.|用於使用技能11的按鈕（如果已指派）。|割り当てられている場合、スキル 11 を使用するためのキー バインド。|스킬 11을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 11, falls zugewiesen.|Raccourci clavier pour l'utilisation de la 11ème compétence si elle est attribuée.
options_kb_use_skill_12|Key bind for using skill 12 if assigned.|Avainsidos taidon 12 käyttöön, jos se on määritetty. |Keybind para usar a skill 12 se atribuído.| Назначение клавиши для использования навыка 12, если назначена.|用於使用技能12的按鈕（如果已指派）。 |割り当てられている場合、スキル 12 を使用するためのキー バインド。 |스킬 12을 사용하기 위한 키 설정|Tastenbelegung zur Verwendung von Fertigkeit 12, falls zugewiesen. |Raccourci clavier pour l'utilisation de la 12ème compétence si elle est attribuée.
options_kb_move_up|Key bind for moving up.|Näppäinsidonta ylöspäin siirtymistä varten.|Keybind para mover para cima.| Назначение клавиш для перемещения вверх.|向上移動的鍵綁定。|上に移動するためのキーバインド。|위로 이동하는 키 설정|Tastenbelegung zum Hochgehen.|Raccourci clavier pour monter.
options_kb_move_left|Key bind for moving left.|Näppäinkiinnitys vasemmalle liikkumiseen.|Keybind para mover para esquerda.| Назначение клавиши для движения влево.|向左移動的鍵綁定。|左に移動するためのキーバインド。|왼쪽으로 이동하는 키 설정|Tastenbelegung zum Bewegen nach links.|Raccourci clavier pour se déplacer vers la gauche.
options_kb_move_right|Key bind for moving right.|Avaimen sidos oikealle liikkumiseen.|Keybind para mover para direita.| Назначение клавиш для движения вправо.|向右移動的鍵綁定。|右に移動するためのキーバインド。|오른쪽으로 이동하는 키 설정|Tastenbelegung zum Bewegen nach rechts.|Raccourci clavier pour se déplacer vers la droite.
options_kb_move_down|Key bind for moving down.|Avaimen kiinnitys alas liikkumista varten.|Keybind para mover para baixo.| Назначение клавиш для перемещения вниз.|向下移動的鍵綁定。|下に移動するためのキーバインド。|아래로  이동하는 키 설정|Tastenbelegung zum Herunterbewegen.|Raccourci clavier pour se déplacer vers le bas.
options_kb_toggle_minimap|Key bind for toggling Minimap.|Näppäinsidonta Minimapin vaihtamiseen.|Keybind para habilitar o minimapa.| Назначение клавиш для переключения миникарты.|用於切換小地圖的綁定鍵。|ミニマップを切り替えるためのキーバインド。|미니맵을 토글하는 키 설정|Tastenbelegung zum Umschalten der Minikarte.|Raccourci clavier pour activer la mini-carte.
options_kb_show_map|Key bind for showing the minimap in the middle of your screen.|Näppäinsidonta minikartan näyttämiseen näytön keskellä.|Keybind para mostrar o minimapa no meio da sua tela.| Назначение клавиш для отображения мини-карты по центру экрана.|用於在螢幕中間顯示小地圖的綁定鍵。|画面の中央にミニマップを表示するためのキーバインド。|화면 중앙에 매니맵을 보이게 하는 키 설정|Tastenkombination zum Anzeigen der Minikarte in der Mitte Ihres Bildschirms.|Raccourci clavier pour afficher la minicarte au milieu de votre écran.
options_kb_playerlist|Key bind for opening the playerlist.|Avainsidonta pelaajaluettelon avaamiseen.|Keybind para mostrar a lista de jogadores.| Назначение клавиш для открытия списка игроков.|打開玩家清單的綁定鍵。|プレイヤーリストを開くためのキーバインド。|플레이어 목록을 보여주는 키 설정|Tastenkombination zum Öffnen der Spielerliste.|Raccourci clavier pour ouvrir la liste des joueurs.
options_kb_show_loot_names|Key bind for showing loot names on ground.|Näppäinsidonta ryöstöjen nimien näyttämiseen maassa.|Keybind para mostrar o nome de loot no chão.| Назначение клавиш для отображения названий добычи на земле.|用於在地面上顯示戰利品名稱的綁定鍵。|地上の戦利品の名前を表示するためのキーバインド。|땅에 있는 전리품 이름을 보여주는 키 설정|Tastenbelegung zum Anzeigen der Beutenamen auf dem Boden.|Raccourci clavier pour afficher les noms des butins au sol.
options_kb_weapon_swap|Key bind for swapping weapon / shield slot.|Avaimen side aseen/kilven paikan vaihtamiseen.|Keybind para trocar o slot de arma/escudo| Назначение клавиш для смены слота оружия/щита.|用於交換武器/盾牌的綁定鍵。|武器/シールド スロットを交換するためのキー バインド。|무기/방패 슬롯을 스왑하는 키 설정|Tastenbelegung zum Tauschen des Waffen-/Schildplatzes.|Raccourci clavier pour échanger l'emplacement d'arme/bouclier.
options_kb_emote_menu|Key bind for Emote menu.|Emote-valikon näppäinsidonta.|Keybind para o menu de Emotes| Назначение клавиш для меню эмоций.|表情選單的綁定鍵。|エモート メニューのキー バインド。|감정표현 메뉴를 여는 키 설정|Tastenbelegung für das Emote-Menü.|Raccourci clavier pour le menu Emote.
options_kb_cast_town_portal|Key bind for casting Town Portal.|Näppäinsidonta kaupunkiportaalin tekemiseen.|Keybind para conjurar o portal da cidade.| Назначение клавиш для использования Городского портала.|釋放城鎮傳送門的綁定鍵。|タウンポータルをキャストするためのキーバインド。|마을 포탈을 여는 키 설정|Tastenbelegung zum Wirken des Stadtportals.|Touche de raccourci pour lancer le portail de la ville.
