[quest]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
[TUTORIAL]|||||||||||
quest_name_1|Skills and Stats||Habilidades e Atributos| Навыки и статистика|技能和屬性|スキルとステータス|스킬과 능력치||
quest_objective_201_1|Christmas stockings retrieved|Joulusukat haettu.|Meias de Natal recuperadas| Рождественские чулки извлечены|已收集的聖誕襪。|クリスマス・ストッキングが取り戻されました。|되찾은 크리스마스 양말|Weihnachtsstruempfe gefunden.|Chaussettes de Noël récupérés
quest_name_202|Building a Snowman|Lumiukkoa rakentamassa|Construindo um boneco de neve| Слепить снеговика|造雪人|雪だるまを作る|눈사람 만들기|Schneemann bauen|Fabriquer un bonhomme de neige
quest_description_202|Collect snowballs by killing enemies in Act II.|Kerää lumipalloja surmaamalla vihollisia tasossa II.|Colete bolas de neve matando inimigos no ATO II.| Собирайте снежки, убивая врагов во втором акте.|透過殺死章節II的敵人收​​集雪球。|幕 II で敵を殺すことによってスノーボールを集めてください。|Act II에서 적을 죽여 눈덩이를 모으십시오.|Sammle Schneebaelle durch Toeten von Gegnern in Akt II.|Récupérez des boules de neige en tuant des ennemis dans l'Acte II.
quest_objective_202_1|Snowballs collected|Lumipalloa kerätty.|Bolas de neve coletadas| Снежки собраны|已收集雪球。|スノーボールが集められました。|모은 눈덩이|Schneebaelle gesammelt.|Boules de neige collectées
quest_name_203|Find my head!|Etsi pääni!|Encontre minha cabeça!| Найди мою голову!|找到我的頭！|私の頭を見つけ！|내 머리를 찾아줘!|Finde meinen Kopf!|Trouvez ma tête !
quest_description_203|Retrieve Snowman's head from Grim Reaper in Act II.|Hae lumiukon pää Viikatemieheltä tasossa II.|Recupere a cabeça de Boneco de Neve do Ceifador no ATO II.| Заберите голову Снеговика у Мрачного Жнеца во втором акте.|從章節II的死神收集雪人的頭。|幕 II のグリム・リーパーから雪だるまの頭を取り戻してください。|Act II에서 사신에게 빼앗긴 눈사람 머리를 되찾아오십시오.|Hole im zweiten Akt den Kopf des Schneemanns vom Sensenmann.|Récupérez la tête du Bonhomme de neige auprès du Faucheur sinistre dans l'Acte II.
quest_objective_203_1|Snowman's head retrieved|Lumiukon pää haettu.|Cabeça do boneco de neve recuperada| Голова снеговика найдена.|已收集雪人的頭。|雪だるまの頭が取り戻されました。|되찾은 눈사람 머리|Schneemanns Kopf gefunden.|Tête du bonhomme de neige récupérée
quest_name_204|Snowball fight!|Lumisota!|Luta na neve!| Игра в снежки!|打雪仗！|雪合戦！|눈 싸움!|Schneeballschlacht!|Combat de boules de neige !
quest_description_204|Use the Snowball relic to cover enemies in snow!|Käytä lumipalloaarretta peittääksesi harvinaisia vihollisia lumeen!|Utilizar a relíquia da bola de neve para cobrir os inimigos com neve!| Используйте реликвию «Снежный ком», чтобы покрыть врагов снегом!|用雪球遺物將敵人埋起來！|スノーボールの遺物を使って珍しい敵を雪の中に埋めましょう！|눈덩이 유물을 사용하여 희귀 몬스터를 눈으로 덮어버리십시오!|Verwende Schneebaelle, um seltene Gegner im Schnee zu entdecken!|Utilisez la relique Boule de neige pour recouvrir les ennemis de neige !
quest_objective_204_1|Enemies hit|Vihollista osuttu.|Inimigos atingidos| Враги поражены|已擊中敵人。|レアな敵がヒットされました。|눈덩이에 맞은 희귀 몬스터|Seltenen Gegner gefunden.|Ennemis touchés
quest_name_205|It's so dark|On niin pimeää|Está tão escuro| Так темно|太暗了|とても暗い|너무 어두워|Es ist so dunkel|Il fait si sombre
quest_description_205|Collect Christmas lights in Act III.|Kerää jouluvaloja tasossa III.|Colete luzes de Natal no ATO III.| Соберите рождественские огни в третьем акте.|在章節III收集聖誕燈。|幕 III でクリスマス・ライトを集めましょう。|Act III에서 크리스마스 전구를 모으십시오.|Sammle Weihnachtsbeleuchtung in Akt III.|Collectez les guirlandes de Noël dans l'acte III.
quest_objective_205_1|Christmas lights collected|Jouluvaloja kerätty.|Luzes de Natal recolhidas| Рождественские огни собраны|已收集聖誕燈。|クリスマス・ライトが集められました。|모은 크리스마스 전구|Weihnachtsbeleuchtung gesammelt.|Guirlandes de Noël collectées
quest_name_206|This town is missing something...|Tästä kylästä puuttuu jotain...|Esta cidade está faltando alguma coisa...| Этому городу чего-то не хватает...|這個小鎮缺了什麼東西…|この町は何かが欠けている…|뭔가가 빠졌는데...|Dieser Stadt fehlt etwas ...|Il manque quelque chose à cette ville...
quest_description_206|Retrieve the Christmas Tree from Anubis in Act III.|Hae joulukuusi Anubikselta tasossa III.|Recupere a árvore de Natal de Anúbis no ATO III.| Заберите рождественскую елку у Анубиса в третьем акте.|從章節III的阿努比斯收集聖誕樹。|幕 III のアヌビスからクリスマス・ツリーを取り戻してください。|Act III에서 아누비스에게 빼앗긴 크리스마스 트리를 되찾아오십시오.|Holt den Weihnachtsbaum von Anubis in Akt III.|Récupérez l'arbre de Noël d'Anubis à l'acte III.
quest_objective_206_1|Christmas tree retrieved|Joulukuusi haettu.|Árvore de Natal recuperada| Рождественская елка извлечена|已收集聖誕樹。|クリスマス・ツリーが取り戻されました。|되찾은 크리스마스 트리|Weihnachtsbaum abgeholt.|Arbre de Noël récupéré
quest_name_207|Robin Hood is my idol|Robin Hood on idolini|Robin Hood é meu ídolo| Робин Гуд мой кумир|羅賓漢是我的偶像|ロビンフッドは私のアイドル|로빈 훗은 내 우상|Robin Hood ist mein Idol|Robin des bois est mon idole
quest_description_207|Use Thief's glove to steal Christmas decorations from enemies.|Käytä varkaan käsinettä varastaaksesi joulukoristeita vihollisilta.|Utilizar a luva de ladrão para roubar decorações de Natal dos inimigos.| Используйте перчатку вора, чтобы украсть рождественские украшения у врагов.|使用盜賊手套從敵人那裡偷取聖誕裝飾。|泥棒の手袋を使って敵からクリスマスの装飾品を盗んでください。|도둑의 장갑을 사용해서 적들로부터 크리스마스 장식을 훔치십시오.|Benutze die Diebeshandschuhe, um Weihnachtsschmuck vonGegnern zu stehlen.|Utilisez le gant de voleur pour voler les décorations de Noël de vos ennemis.
quest_objective_207_1|Christmas decoration stolen|Joulukoristeita varastettu.|Decoração de Natal roubada|Украдено рождественское украшение|已偷到聖誕裝飾。|クリスマス装飾が盗まれました。|훔친 크리스마스 장식|Weihnachtsdekoration gestohlen.|Décoration de Noël volée
quest_name_208|Let's bring the Christmas spirit!|Tulkoon joulun henki!|Vamos trazer o espírito de Natal!| Давайте принесем с собой рождественское настроение!|讓我們帶來聖誕之魂吧！|クリスマス・スピリットを持っていこう！|제대로 크리스마스 분위기를 내보자!|Lasst uns den Weihnachtsgeist holen!|Faisons briller l'esprit de Noël !
quest_description_208|Retrieve the Christmas star from Damien in Act IV.|Hae joulutähti Damienilta tasossa IV.|Recupere a estrela de Natal de Damien no ATO IV.| Заберите рождественскую звезду у Дэмиена в четвертом акте.|從章節IV的達米安處取得聖誕星星。|幕 IV のダミアンからクリスマス・スターを取り戻してください。|Act IV에서 데미언에게 빼앗긴 크리스마스 별을 되찾아오십시오.|Holt den Weihnachtsstern von Damien in Akt IV.|Récupérez l'étoile de Noël auprès de Damien à l'acte IV.
quest_objective_208_1|Christmas star retrieved|Joulutähti haettu.|Estrela de Natal recuperada| Рождественская звезда извлечена|已收集聖誕星星。|クリスマス・スターが取り戻されました。|되찾은 크리스마스 별|Weihnachtsstern abgeholt.|Étoile de Noël récupérée
quest_name_209|Santa needs help!||Papai Noel precisa de ajuda!| Санте нужна помощь!|聖誕老人需要幫助|サンタが助けを必要としている！|산타가 도움이 필요해요!||Le Père Noël a besoin d'aide !
quest_description_209|Enter North Pole from Danethorpe and help Santa.||Ajude o Papai Noel no ATO 2 Zona 1| Отправляйтесь на Северный полюс из Дэнторпа и помогите Санте.|從丹尼索普進入北極，幫助聖誕老人|ダネソプから北極に入り、サンタを助けよう。|데인소프에서 북극으로 들어가 산타를 도와주세요.||Aidez le Père Noël dans l'Acte 2 Zone 1
quest_objective_209_1|North Pole reached||Polo Norte alcançado| Северный полюс достигнут|到達北極|北極に到達|북극 도착||Pôle Nord atteint
quest_objective_209_2|Santa saved||Papai Noel salvo| Санта спасён|聖誕老公公得救了|サンタを救出した|산타 구출||Père Noël sauvé
||||||||||||
[ANNIVERSARY EVENT]||||||||||||
quest_name_300|Insert Coin|Aseta kolikko|Insira moeda| Вставьте монету|投幣|コインを入れる|동전을 넣으세요|Muenze einwerfen|Insérer une pièce
quest_description_300|Retrieve an Ancient Coin from Gurag in Act I.|Hae muinainen kolikko Guragilta tasossa I.|Recupere uma moeda antiga de Gurag no ATO I.| Заберите древнюю монету у Гурага в Акте I.|在第一章中從古拉格取回古錢幣。|幕 Iでグラグから古代のコインを回収します。|Act I에서 구라그에게 고대 주화를 회수하십시오.|Holt in Akt I eine uralte Muenze von Gurag.|Récupérer une pièce ancienne à Gurag dans l'acte I.
quest_objective_300_1|Coin retrieved|Kolikko haettu.|Moeda recuperada| Монета извлечена|找回硬幣。|コインを回収。|동전 횟수|Muenze gesammelt.|Pièce récupérée
||||||||||||
[GATES_OF_VALHALLA]||||||||||||
quest_name_399|Memory of Mevius||Memória de Mevius| Память о Мевиусе|關於梅維烏斯的記憶|メビウスの記憶|뫼비우스의 기억||
quest_description_399|Enter the portal to the Memory of Mevius in south east of Inoya||Entre no portal para a Memória de Mevius no sudeste de Inoya| Войдите в портал Памяти Мевиуса на юго-востоке Инои.|進入伊諾亞東南部的梅維烏斯記憶傳送門|イノヤの南東にあるメビウスの記憶のポータルに入る|이노야 남동쪽에 있는 포탈을 통해 뫼비우스의 기억으로 들어가세요.||
quest_objective_399_1|Memory of mevius entered||Memória de Mevius entrou| Память о Мевиусе вошла|進入梅維烏斯的記憶|メビウスの記憶に入った|뫼비우스의 기억에 진입||
quest_name_400|Welcome to Valhalla|Tervetuloa Valhallaan|Bem vindo a Valhalla| Добро пожаловать в Вальхаллу|歡迎來到瓦爾哈拉|ヴァルハラへようこそ|발할라에 오신 것을 환영합니다|Welcome to Valhalla|Bienvenue au Valhalla
quest_description_400|Reach Plain of Ida in Act 8 Zone 2.|Etsi pääsy Idan tasangolle taso 8 alueella 2.|Chegue na Planície de Ida no ATO 8 Zona 2.| Достигните Равнины Иды в Акте 8, Зоне 2.|達8-2的伊達平原.|第8幕 ゾーン2のイダの平原に到達する|Act 8 막 2 구역에서 이다 평원을 도달하세요.|Reach Plain of Ida in Act 8 Zone 2.|Atteignez la Plaine d'Ida dans l'Acte 8 Zone 2.
quest_objective_400_1|Plain of Ida reached|Idan tasanko löydetty.|Planície de Ida alcançada| Достигнута равнина Ида|抵達伊達平原|イダの平原に到達した|이다 평원에 도착|Plain of Ida reached|Plaine d'Ida atteint
quest_name_401|Valkyrie Hunting|Valkyrien metsästys|Caça às Valquírias| Охота на валькирию|狩獵女武神|ヴァルキリー狩り|발키리 헌팅|Valkyrie Hunting|Chasse à la Valkyrie
quest_description_401|Get the key to Valhalla from the Valkyrie.|Get the key to Valhalla from the Valkyrie.|Pegue a chave para Valhalla da Valquíria| Получите ключ от Вальхаллы от Валькирии.|從女武神那裡拿到瓦爾哈拉殿堂的鑰匙.|ヴァルキリーからヴァルハラの鍵を手に入れる|발할라의 열쇠를 발키리에게 받으세요.|Get the key to Valhalla from the Valkyrie.|Obtenez la clé pour Valhalla auprès de la Valkyrie.
quest_objective_401_1|Valkyrie found|Valkyrie löydetty|Valquíria encontrada| Валькирия найдена|發現女武神|ヴァルキリーを発見|발키리 발견|Valkyrie found|Valkyrie trouvée
quest_objective_401_2|Key obtained|Avain saatu|Chave obtida| Ключ получен|獲得密鑰|鍵を入手した|열쇠 획득|Key obtained|Clé obtenue
quest_name_402|Gates of Valhalla|Valhallan portit|Portões de Valhalla| Врата Валгаллы|瓦爾哈拉殿堂之門|ヴァルハラの門|발할라 게이트|Gates of Valhalla|Les portes du Valhalla
quest_description_402|Return to Act 8 Zone 2 and enter Valhalla. |Mene Valhallaan.|Retorne ao ATO 8 Zona 2 e entre em Valhalla.| Вернитесь в Акт 8, Зону 2 и войдите в Вальгаллу.|返回8-2，進入瓦爾哈拉. |第8幕 ゾーン2に戻り、ヴァルハラに入る|발할라에 입장하세요.|Enter Valhalla. |Retournez dans la zone 2 de l'acte 8 et entrez dans le Valhalla. 
quest_objective_402_1|Valhalla entered|Valhalla entered|Entrou em Valhalla| В Вальхаллу вошел|進入瓦爾哈拉|ヴァルハラに入った|발할라 입장|Valhalla entered|Entrer dans le Valhalla
quest_name_403|Access Denied|Pääsy evätty|Acesso Negado| Доступ запрещен|禁止進入|進入禁止|접근 거부|Access Denied|Accès refusé
quest_description_403|Find a way forward through the caves.|Find a way forward through the caves.|Encontre um caminho através das cavernas.| Найдите путь вперед через пещеры.|找到一條穿過洞穴的路.|洞窟を進む方法を見つける|동굴을 통해 진행할 방법을 찾으세요.|Find a way forward through the caves.|Trouvez un moyen d'avancer dans les grottes.
quest_objective_403_1|Cave explored|Luola tutkittu|Caverna explorada.| Пещера исследована|探索洞穴.|洞窟を探索した|동굴 탐험 완료|Cave explored.|Grotte explorée
quest_name_404|Eternal Peace|Ikuinen rauha|Paz Eterna| Вечный Мир|永恆的和平|永遠の平和|영원한 평화|Eternal Peace|Paix éternelle
quest_description_404|Help Astrid find her childs Toy Bear in Act 8 Zone 4.|Help the souls in the camp.|Ajude Astrid a encontrar o Urso de Brinquedo de seu filho no ATO 8 Zona 4.| Помогите Астрид найти игрушечного медведя ее ребенка в акте 8, зоне 4.|在8-4幫助阿斯特麗德找到她孩子的玩具熊.|アストリッドの子供のおもちゃのクマを第8幕 ゾーン4で見つけるのを手伝う|아스트리드가 아이의 곰인형을 찾을 수 있도록 Act 8 지역 4에서 도와주세요.|Help the souls in the camp.|Aidez Astrid à retrouver l'ours en peluche de son enfant dans l'Acte 8 Zone 4.
quest_objective_404_1|Toy found|Lelu löydetty|Brinquedo encontrado| Игрушка найдена|找到玩具.|おもちゃを見つけた|장난감 발견|Toy found.|Jouet trouvé
quest_name_405|Purge|Puhdistus|Expurgo| Удалять|淨化|淨化|정화|Purge|Purge
quest_description_405|Slay the Corrupted Refugees in Act 8 Zone 4.|Slay the corrupted souls.|Mate os Refugiados Corrompidos no ATO 8 Zona 4.|Убейте зараженных беженцев в Акте 8, Зоне 4.|在8-4殺死腐化的難民.|第8幕 ゾーン4で堕落した難民を討伐する|Act 8 지역 4에서 타락한 영혼들을 처치하세요.|Slay the corrupted souls.|Tuez les réfugiés corrompus dans la zone 4 de l'acte 8.
quest_objective_405_1|Corrupted souls slain|Sielut surmattu|Almas Corrompidas eliminadas| Убитые испорченные души|擊殺腐爛靈魂.|堕落した魂を討伐した|영혼 처치|Souls slain.|Âmes corrompues tuées
quest_name_406|River Rapids|River Rapids|Corredeiras| Речные пороги|激流河|急流|급류|River Rapids|Ce matin c'est rafting !
quest_description_406|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|Viaje para Helheim pelo rio Gjöll| Отправляйтесь в Хельхейм через реку Гьёлль.|經由傑爾河前往赫爾海姆.|ヨル川を通ってヘルヘイムへ向かう|욜 강을 따라 헬헤임으로 이동하세요.|Travel to Helheim through River Gjöll.|Voyage à Helheim par la rivière Gjöll.
quest_objective_406_1|Gate of Helheim reached.|Helheim saavutettu|Heilheim alcançado| Достигнуты врата Хельхейма.|到達赫爾海姆.|ヘルヘイムの門に到達した|헬헤임 게이트 도착|Helheim reached.|Helheim atteint
quest_name_407|Destiny|Kohtalo|Destino| Судьба|命運|命運|운명이 |Destiny|Destinée
quest_description_407|Slay Corrupted Odin.|Surmaa korruptoitunut Odin.|Eliminte Odin Corrompido| Убейте Оскверненного Одина.|殺死墮落的奧丁.|堕落したオーディンを討伐する|타락한 오딘을 처치하세요.|Slay Corrupted Odin.|Tuer Odin corrompu.
quest_objective_407_1|Odin slain|Odin surmattu|Odin morto| Один убит|擊殺奧丁.|オーディンを討伐した|오딘 처치|Odin slain.|Odin tué
quest_name_408|The Awesome Ring - part 1||O Anel Fantástico – parte 1| Удивительное кольцо - часть 1|令人驚嘆的戒指-第1部分|素晴らしき指輪 - パート1|굉장한 반지 – 1부||L'anneau grandiose - partie 1
quest_description_408|Collect lots of braggite.||Colete bastante braggite| Соберите много браггита.|收集許多布拉格礦|大量のブラギットを集める|브래그라이트를 많이 모으세요||Collectez beaucoup de braggite.
quest_objective_408_1|Braggite collected||Braggite coletada| Браггит собран|布拉格礦收集|ブラギットを集めた|브래그라이트 수집||Braggite collectée
quest_name_409|Mystery Key||Chave Misteriosa| Таинственный ключ|神秘鑰匙|謎の鍵|수수께끼 열쇠||Clé mystère
quest_description_409|Find out where the key goes to.||Descubra para onde a chave vai.| Узнайте, куда идет ключ.|找出鑰匙的位置|鍵がどこに使われるかを調べる|이 열쇠가 어디에 쓰이는지 알아내세요.||Découvrez où va la clé.
quest_objective_409_1|Find the owner of the key.||Encontre o dono da chave| Найдите владельца ключа.|尋找密鑰的擁有者|鍵の持ち主を見つける|열쇠의 주인을 찾으세요.||Trouvez le propriétaire de la clé.
quest_name_410|The Awesome Ring - part 2||O Anel Fantástico – parte 2| Удивительное кольцо - часть 2|令人驚嘆的戒指-第2部分|素晴らしき指輪 - パート2|굉장한 반지 – 2부||L'anneau grandiose - partie 2
quest_description_410|Collect Essence of the Gods from bosses.||Colete Essência dos Deuses de chefões.| Собирайте Эссенцию Богов с боссов.|從BOSS收集神性|ボスから神々のエッセンスを集める|보스로부터 신들의 에센스를 모으세요.||Récupérez de l'essence des dieux sur les boss.
quest_objective_410_1|Essence of the Gods collected||Essência dos Deuses coletada| Собранная сущность богов|收集的神性|神々のエッセンスを集めた|신들의 에센스 수집||Essence des dieux collectée
quest_name_411|The Awesome Ring - part 3||O Anel Fantástico – parte 3| Удивительное кольцо - часть 3|令人驚嘆的戒指-第3部分|素晴らしき指輪 - パート3|굉장한 반지 – 3부||L'anneau grandiose - partie 3
quest_description_411|Find your desired Awesome Gem.||Encontre sua Gema Fantástica desejada.| Найдите желаемый вами потрясающий драгоценный камень.|找到你想要的BOSS靈魂|望みの素晴らしいジェムを見つける|원하는 굉장한 보석을 찾으세요.||Trouvez la gemme grandiose de votre choix.
quest_objective_411_1|Gem collected||Gema coletada| Собранный драгоценный камень|收集的寶石|ジェムを集めた|보석 수집||Gemme collectée
quest_name_420|Chains of Gold||Correntes de Ouro| Цепи из золота|黃金鏈|黄金の鎖|황금의 사슬||Chaînes d'or
quest_description_420|Mine and transport 20 kg of gold from the fallen chains to safety.||Minere e transporte 20 kg de ouro das correntes caídas para a segurança.| Добудьте и перенесите 20 кг золота из упавших цепей в безопасное место.|從墜落的鍊子上開採並運送20公斤黃金到安全地帶|倒れた鎖から20kgの金を採掘し安全な場所へ運ぶ|무너진 사슬에서 금을 채굴해 20kg을 안전하게 운반하세요.||Extraire et transporter 20 kg d'or des chaînes tombées au sol pour les mettre en sécurité.
quest_objective_420_1|kg gold transported||kg de ouro transportado| кг золота перевезено|運輸的黃金公斤數|運んだ金のkg数|금 운반||kg d'or transporté
quest_objective_420_2|Troll patrol slain||Patrulha de trolls morta| Патруль троллей убит|擊殺巨魔巡邏隊|トロールの巡回隊を討伐した|트롤 순찰대 처치||Patrouille de trolls tuée
quest_name_430|Hungry Haldor||Haldor Faminto| Голодный Хальдор|飢餓的哈爾多|腹ペコのハルドル|배고픈 할도르||Haldor affamé
quest_description_430|Get the meat of a delicious hog.||Consiga a carne de um porco delicioso.| Получите мясо вкуснейшей свинины.|去弄點豬肉吃|美味しい猪の肉を手に入れる|맛있는 돼지고기를 구하세요.||Récupérez la viande d'un délicieux porc.
quest_objective_430_1|Meat collected||Carne coletada| Мясо собрано|收集的肉|肉を集めた|고기 수집||Viande collectée
quest_objective_430_2|Meat cooked||Carne cozinhada| Мясо приготовленное|熟肉|肉を料理した|고기 요리||Viande cuite
quest_name_431|Hurrdurr’s Rollercoaster||Montanha Russa de Hurrdurr| Американские горки Хэррдурра|赫爾杜爾的雲霄飛車|ハードゥルのローラーコースター|후르더르의 롤러코스터||Les montagnes russes de Hurrdurr
quest_description_431|Find cart wheels in Forgotten Caves and attach them to Hurrdurr’s cart.||Encontre e encaixe rodas no carrinho de Hurrdurr.| Найдите колеса для телеги в Забытых пещерах и прикрепите их к телеге Хёррдурра.|在被遺忘的洞穴中找到推車輪子，並將它們連接到赫爾杜爾的推車上|忘れられた洞窟で車輪を見つけ、ハードゥルの荷車に取り付ける|잊혀진 동굴에서 카트 바퀴를 찾아 후르더르의 카트에 부착하세요.||Trouvez et fixez les roues sur le chariot de Hurrdurr.
quest_objective_431_1|Wheels found||Rodas encontradas| Колеса найдены|找到輪子|車輪を見つけた|바퀴 발견||Roues trouvées
quest_objective_431_2|Wheels attached||Rodas encaixadas| Колеса прикреплены|車輪配件|車輪を取り付けた|바퀴 부착||Roues attachées
quest_name_432|Balldur Muspelheim||Balldur Muspelheim|Балдур Муспельхейм|穆斯貝爾海姆|バルドル・ムスペルヘイム|발드르 무스펠하임||Baldur Muspelheim
quest_description_432|Do the thing||Faz a coisa| Сделай дело|做那件事|事を行う|일을 완료 하세요||Faire la chose
quest_objective_432_1|Thing done||Coisa feita| Дело сделано|完成的事情|事を行った|일 완료||Chose faite
quest_name_433|Frøya’s Scale Armor||Armadura de Escamas de Frøya| Чешуйчатая броня Фрёйи|弗萊亞鱗片甲|フレイヤの鱗鎧|프레이야의 비늘 갑옷||L'armure d'écailles de Freya
quest_description_433|Collect Naga scales and return them to Frøya in Act 8 Zone 2.||Colete escamas de Naga e retorne elas a Frøya no ATO 8 Zona 2.| Соберите чешую Наги и верните ее Фрёйе в Зоне 2 Акта 8.|收集納加鱗片並將其歸還給在8-2的神父|ナーガの鱗を集め、第8幕 ゾーン2のフレイヤに届ける|나가의 비늘을 모아 Act 8 지역 2에서 프레이야에게 돌아가세요.||Récupérez les écailles de naga et rendez-les à Freya dans l'Acte 8 Zone 2.
quest_objective_433_1|Scales collected||Escamas coletadas| Весы собраны|收集的鳞片|鱗を集めた|비늘 수집||Écailles collectées
quest_name_434|Tired Viking||Viking Cansado| Уставший викинг|疲憊的維京人|疲れたヴァイキング|피곤한 바이킹||Viking fatigué
quest_description_434|Find potion reagents and conjure it in Act 8 Zone 5.||Encontre reagentes de poção e conjure-a no ATO 8 Zona 5.| Найдите реагенты для зелья и создайте его в Зоне 5 Акта 8.|在8-5找到藥劑|第8幕 ゾーン5で薬の材料を集めて調合する|Act 8 지역 5에서 물약 재료를 찾아 제조하세요.||Trouvez des réactifs de potion et concoctez-les dans la zone 5 de l'acte 8.
quest_objective_434_1|Doom weed||Erva da desgraça| дурная трава|厄運雜草|破滅の草|둠 위드||Herbe du destin
quest_objective_434_2|Water from Gjöll||Água de Gjöll| Вода из Гьёлля|傑爾的水|ヨルの水|욜 강의 물||Eau de Gjöll
quest_objective_434_3|Corrupted dirt||Terra corrompida| Испорченная грязь|腐蝕的污垢|堕落した土|부패한 흙||Terre corrompue
quest_objective_434_4|Potion conjured||Poção conjurada| Зелье, сотворенное|魔藥變魔|薬を調合した|물약 제조||Potion concoctée
quest_name_435|Beacons of Gjöll||| Маяки Гьёлля|傑爾燈塔|ヨルの灯台|욜이 봉화||
quest_description_435|Ignite the four beacons to open the gate to the tunnel.||| Зажгите четыре маяка, чтобы открыть ворота в туннель.|點燃四個燈塔，打開隧道大門。|4つの灯台に火を灯してトンネルの門を開ける|터널로 가는 문을 열기 위해 네 개의 봉화를 점화하세요.||
quest_objective_435_1|Ignite Northwest beacon||| Зажгите северо-западный маяк|點燃位於西北方的燈塔|北西の灯台に火を灯す|북서쪽 봉화 점화||
quest_objective_435_2|Ignite Northeast beacon||| Зажгите северо-восточный маяк|點燃位於東北的燈塔|北東の灯台に火を灯す|북동쪽 봉화 점화||
quest_objective_435_3|Ignite Southwest beacon||| Зажгите юго-западный маяк|點燃位於西南的燈塔|南西の灯台に火を灯す|남서쪽 봉화 점화||
quest_objective_435_4|Ignite Southeast beacon||| Зажгите юго-восточный маяк|點燃位於東南的燈塔|南東の灯台に火を灯す|남동쪽 봉화 점화||
quest_objective_435_5|Travel through the tunnel||| Путешествие через туннель|回到船上穿過隧道|トンネルを通る|터널 통과||
quest_objective_435_6|Explore Island||| Исследуйте остров|探索島嶼|島を探索する|섬 탐험||
quest_objective_435_7|Slay Jormungandr||| Убей Ёрмунганда|擊殺耶夢加得|ヨルムンガンドを討伐する|요르문간드 처치||
|||||||||||
[Valhalla dailies]|||||||||||
quest_name_440|River Raider||Invasor de Rios| Речной рейдер|河流掠奪者|リバー・レイダー|강습자||Ce soir c'est encore rafting !
quest_description_440|Complete River Gjöll.||Complete o minigame do Rio Gjöll.| Полная река Гьёлль.|完成吉爾河迷你小遊戲|ヨル川をクリアする|욜 강을 완수||Terminer le mini-jeu de la rivière Gjöll.
quest_objective_440_1|Jörmungar slain||Jörmungar morto| Ёрмунгар убит|擊殺耶爾蒙|ヨルムンガル討伐済み|요르문간드 처치||Jörmungar tué
quest_dialog_440|Gjallarknut here! Remember me? We had an epic adventure on river Gjöll and gave that big snake a good whoop! But alas, it's back eating my customers! I'll reward you if you're up for another whooping.||Aqui é Gjallarknut! Lembra de mim? Tivemos uma aventura épica no rio Gjöll e demos uma boa surra naquela cobra gigante! Mas, infelizmente, ela voltou a comer meus clientes! Eu o recompensarei se você estiver disposto a dar outra surra.| Гьялларкнут слушает! Помните меня? У нас было эпическое приключение на реке Гьёлль, и мы устроили этой большой змее хорошую трепку! Но, увы.|在這裡Gjallarknut！[nl]還記得我嗎？[nl]我們在吉爾河上進行了一次史詩般的冒險，並對那條大蛇發出了響亮的叫聲！[nl]但唉，它又在吃我的乘客了！[nl]如果你再來一次歡呼，我會獎勵你的|「ギャルナルクヌート、ここにいるよ！覚えてる？ヨル川で壮大な冒険をして、あの大きな蛇をやっつけたんだ！でもまた戻ってきて客を食べてるんだよ！もしまたやる気があるなら、報酬をあげるよ。」|욜에서의 모험 기억나? 그 큰 뱀을 혼쭐내줬잖아! 그런데 또 나타나서 내 손님들을 잡아먹고 있어! 또 한 번 혼내주면 보상을 줄게!||Salut c'est [c_lime]Gjallarknut[c_reset] ! Vous vous souvenez de moi ? Nous avons vécu une aventure épique sur la [c_aqua]Rivière Gjöll[c_reset] et nous avons donné une bonne raclée à ce gros serpent ! Mais hélas, il est revenu pour manger mes clients ! Je te récompenserai si tu es prêt à lui donner une autre raclée.
quest_name_441|The Golden Heist ||O Golpe do Ouro| Золотое ограбление|黃金竊盜案|黄金の強奪|황금 도둑질||Le braquage doré
quest_description_441|Find and use a glowing rock to find and collect the Golden Warrior statue from Gladsheim.||Recupere a Estátua do Guerreiro Dourado em Gladsheim.| Найдите и используйте светящийся камень, чтобы найти и забрать статую Золотого Воина из Гладсхейма.|從亡靈之森≤8-1≥的地下城格拉茲海姆二樓，地圖左右兩側的碎片撿起後取回面向副本出口的右邊的牆壁取回黃金戰士雕像|グラズハイムから黄金の戦士像を見つけて回収するために、光る石を使う|글라드스헤임에서 빛나는 돌을 사용해 황금 워리어 조각상을 찾아보세요.||Récupérez la statue dorée de la guerrière en or à Gladsheim.
quest_objective_441_1|Statue collected||Estátua coletada| Статуя собрана|回收雕像|像を回収した|조각상 수집||Statue récupérée
