[npc]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
kleiton_greet|If I socket this here, I can... Oh, hello!||Se eu conectar isso aqui, eu posso... Ah, olá! | Если я вставлю это сюда|如果我把它插在這裡，我就可以......哦，你好！|ここにソケットをはめると…あっ、こんにちは！|여기에 소켓을 넣으면... 아, 안녕!|Wenn ich das hier einstecke, kann ich... Oh, hallo!|Si je branche ça ici, je peux... Oh, bonjour ! |Si engarzo esto aquí, podré... ¡Oh, hola!|Jeśli podłączę to tutaj, będę mógł... O, cześć! 
|||||||||||
tristan_npc|Tristan Lee-Johnson||Tristan Lee-Johnson| Тристан Ли-Джонсон|Tristan Lee-Johnson|トリスタン・リー＝ジョンソン|트리스탄 리-존슨|Tristan Lee-Johnson|Tristan Lee-Johnson|Tristan Lee-Johnson|Tristan Lee-Johnson
tristan_quip_0|Greetings Sir!||Saudações, Senhor!| Приветствую вас, сэр!|您好，先生！|ごきげんよう、旦那様！|안녕하세요, 선생님!|Guten Tag, Sir!|Salutations mon brave !|¡Saludos, señor!|Pozdrowienia, sir!
tristan_quip_1|A splendid day isn't it?||Um dia esplêndido, não é?| Чудесный день, не правда ли?|今天天氣真好，不是嗎？|素晴らしい一日ですね！|멋진 날이네요, 그렇지 않나요?|Ein herrlicher Tag, nicht wahr?|Une journée magnifique, n'est-ce pas ?|Un día espléndido, ¿no es así?|Wspaniały dzień, prawda?
tristan_quip_2|I'd kill for a cup of Tee right now!||Eu mataria por uma xícara de chá agora!| Я бы сейчас отдал всё на свете за чашечку чая!|我現在就想喝杯茶！|今すぐティーを一杯飲みたい気分です！|지금 당장 차 한 잔이 정말 먹고 싶군요!|Ich würde jetzt alles für eine Tasse Tee geben!|Je tuerais pour une tasse de thé à cet instant !|¡Mataría por una taza de té ahora mismo!|Zabiłbym za filiżankę herbaty w tej chwili!
tristan_quip_3|What are you looking for Sir?||O que está procurando, senhor?|Что вы ищете, сэр?|先生，你在找什麼？|何をお探しですか、旦那様？|무엇을 찾고 계신가요, 선생님?|Wonach suchen Sie, Sir?|Recherchez-vous quelque chose ?|¿Qué está buscando, señor?|Czego pan szuka, sir?
tristan_quip_4|Damn I really need to polish my monocle..||Droga, eu realmente preciso polir meu monóculo.| Черт, мне действительно нужно отполировать свой монокль..|該死，我真的需要擦亮我的單眼鏡片……|ああ、モノクルを磨かなきゃなぁ。。。|젠장, 내 모노클을 좀 닦아야겠다...|Verdammt, ich muss mein Monokel echt mal polieren...|Sacrebleu, il faudrait vraiment que je polisse mon monocle...|Maldición, de verdad necesito pulir mi monóculo...|Cholera, naprawdę muszę wypolerować swój monokl..
tristan_quip_5|Oof...||Oof...| Уф...|哦…… |うっ。。。|우웁…|Uff...|Plaît-il ?|Uf...|Oof...
|||||||||||
portal_eternal_battlefield|Are you sure you want to enter Eternal Battlefield for||Tem certeza de que deseja entrar no Campo de Batalha Eterno por| Вы уверены, что хотите войти в Eternal Battlefield?|你確定要進入永恆戰場嗎?|永遠の戦場に入場してもよろしいですか？|영원한 전투터에 들어가겠습니까?|Bist du sicher, dass du Eternal Battlefield betreten möchtest?|Êtes-vous sûr de vouloir entrer dans le Champ de bataille éternel pour|¿Seguro que quieres entrar al Campo de Batalla Eterno por|Czy na pewno chcesz wejść do Eternal Battlefield za
ruby_entrance|As the guardian of Ruby Gardens, I grant passage to those who have proven their worth by finding a rare [c_red]Ruby Key[c_reset] usually held by treasure gobblers. Do you wish to enter?|Haluaisitko astua rubiinipuutarhaan?|Como guardião dos Jardins de Rubi, concedo passagem àqueles que provaram seu valor ao encontrar uma rara [c_red]Ruby Key[c_reset] , geralmente guardada por caçadores de tesouro. Você deseja entrar?| Как хранитель Рубиновых садов|你想進入[c_aqua]紅寶石花園[c_reset]嗎?|ルビーガーデンに入りますか？|루비 정원의 수호자로서, 나는 보물 고블린들이 주로 소지하는 희귀 [c_red]루비 열쇠[c_reset]를 찾아낸 자들에게 입장을 허락합니다. 들어가시겠습니까?|Würdest du gern die Rubingärten betreten?|En tant que gardien des [c_aqua]Jardins de rubis[c_reset], j'accorde le passage à ceux qui ont prouvé leur chance en trouvant une rare [c_yellow]Clé de rubis[c_reset] habituellement détenue par des gobelins au trésor. Voulez-vous entrer ?|Como guardián de los Jardines Rubí, concedo el paso a aquellos que han demostrado su valía al encontrar una rara [c_red]Llave Rubí[c_reset], generalmente en posesión de los devoradores de tesoros. ¿Deseas entrar?|Jako strażnik Ruby Gardens przyznaję przejście tym, którzy udowodnili swoją wartość, znajdując rzadki [c_red]Rubinowy Klucz[c_reset], zwykle trzymany przez pożeraczy skarbów. Czy chcesz wejść?
open_ruby|Open Ruby Gardens|Avaa rubiinipuutarha|Abrir Jardins de Rubi| Открытые сады Руби|開啟紅寶石花園|ルビーガーデンズを開ける|루비 정원 열기|Öffne Rubingärten|Ouvrir les Jardins de rubis|Abrir Jardines Rubí|Otwórz Ruby Gardens
asheen|We need to use the Dimensional Shards to open this gate and kill the demon inside...|Meidän täytyy käyttää ulottuvuussirpaleita avataksemme tämän portin ja kukistaa siellä lymyilevä demoni...|Precisamos usar os Fragmentos Dimensionais para abrir esse portão e matar o demônio que está dentro...| Нам нужно использовать Пространственные Осколки, чтобы открыть эти врата и убить демона внутри...|我們需要用次元碎片打開這扇門,殺死裡面的惡魔...|次元の破片を使ってこのゲートを開き、 中の悪魔を倒す必要が。。。|이 문을 열고 내부의 악마를 처치하기 위해서는 차원 파편을 사용해야 합니다...|Wir müssen die Dimensionalen Splitter nutzen, um dieses Tor zu öffnen und den Dämon dahinter zu töten...|Nous devons utiliser les [c_yellow]Eclats dimensionnels[c_reset] pour ouvrir ce portail et tuer le démon à l'intérieur...|Necesitamos usar las Esquirilas Dimensionales para abrir este portal y aniquilar al demonio que aguarda dentro...|Musimy użyć Dimensional Shards, aby otworzyć tę bramę i zabić demona w środku...
open_shadow|Open the Portal for (40) |Avaa portaali (40) sirpaleella|Abra o Portal por (40) Fragmentos| Откройте Портал за (40) Осколков|使用(40)個次元碎片打開傳送門|破片 (40) でポータルを開く|(40)개의 파편으로 포털을 엽니다|Öffne das Portal für (40) Splitter.|Ouvrir le portail pour (40) Eclats|Abrir el portal por (40)|Otwórz Portal za (40) 
veras|Whaddaya buyin'?|Mitä olet ostamassa?|Cê vai comprar o que?| Что ты покупаешь?|你要買什麼？|何を買っていますか？|뭐 살래?|Was kaufst du?|Qu'est-ce que vous achetez ?|¿Qué vas a comprar?|Co kupujesz?
traveling_merchant_dialog|Take a look at my wares!|Vilkaisehan tuotteitani!|Dê uma olhada em meus produtos!| Взгляните на мои товары!|看看我的商品！|私の品物をご覧あれ！|내 물건들을 살펴봐!|Schauen Sie sich meine Waren an!|Jetez un coup d'oeil à mes marchandises !|¡Echa un vistazo a mis mercancías!|Spójrz na moje towary!
kukkonen_grimbone|I've heard tales of your exploits in Valhalla. Legend says, there is a mighty beast in the deepest depths of Niflhel, with scythes as hands as large as a man. They would make a mighty fine trophy... I'll offer a round of my best moonshine for everyone in town if I could get my hands on those scythes!||Ouvi história de suas façanhas em Valhalla. A lenda diz que há uma fera poderosa nas profundezas de Niflhel, com foices e mãos do tamanho de um homem. Elas dariam um belo troféu... Eu ofereceria uma rodada do meu melhor moonshine para todos da cidade se conseguisse colocar as mãos naquelas foices!| Я слышал рассказы о твоих подвигах в Вальхалле. Легенда гласит:|我聽說過你在瓦爾哈拉的事蹟。[nl]傳說，在[c_aqua]尼夫海姆[c_reset]的最深處有一隻強大的野獸，牠的鐮刀和人一樣大。 牠會成為一個非常精美的獎盃……如果我能拿到那些[c_yellow]鐮刀[c_reset]的話， 我會為鎮上的每個人提供一輪我最好的私酒！ |ヴァルハラでのあなたの活躍の話は聞いています。伝説によれば、ニヴルヘイムの最深部には、手が人のように大きな鎌を持つ強大な獣がいるそうです。その鎌は素晴らしいトロフィーになるでしょう…もしその鎌を手に入れられたら、町のみんなに最高のムーンシャインを一杯ごちそうしますよ！|당신의 발할라에서의 업적에 대해 이야기를 들었습니다. 전설에 따르면, 니플헬의 깊은 곳에 사람만큼 큰 손을 가진 낫을 들고 있는 거대한 괴물이 있다고 하네요. 그 낫들은 훌륭한 전리품이 될 것입니다... 그 낫들을 손에 넣을 수 있다면, 마을 사람들에게 내 최고의 문샤인을 한 라운드 제공하겠습니다!|Ich habe von euren Heldentaten in Walhalla gehört. Der Legende nach haust tief in Niflhel ein mächtiges Ungeheuer mit Sensenhänden, so groß wie ein Mann. Das wäre eine prächtige Trophäe … Ich spendiere allen im Ort meinen besten Schwarzgebrannten, wenn ich diese Sensen nur in die Finger bekäme!|J'ai entendu parler de vos exploits au Valhalla. La légende dit qu'il y a une bête puissante dans les profondeurs de [c_aqua]Niflhel[c_reset], avec des faux et des mains aussi grandes qu'un homme. Elles feraient un très beau trophée... Si je pouvais mettre la main sur ces [c_yellow]faux[c_reset], j'offrirais une tournée de ma meilleure gnôle à tous les habitants de la ville !|He oído relatos de tus hazañas en el Valhalla. Cuenta la leyenda que, en las profundidades de Niflhel, habita una bestia poderosa con guadañas por manos, grandes como un hombre. Serían un trofeo magnífico... ¡Ofreceré una ronda de mi mejor aguardiente a todo el pueblo si consigo echarle el guante a esas guadañas!|Słyszałem opowieści o twoich wyczynach w Valhalli. Legenda głosi, że w najgłębszych głębinach Niflhelu żyje potężna bestia ze szponami wielkości człowieka. Byłyby z nich wspaniałe trofea... Zaoferuję rundę mojego najlepszego bimbru dla wszystkich w mieście, jeśli dostanę te szpony!
kukkonen_grimbone_buff|Wow, would you look at those scythes! Here's your moonshine, as promised!||Uau, olhem só para essas foices! Aqui está seu moonshine, como prometido!|Ух ты, посмотрите на эти косы! Вот вам самогон, как и обещали! |哇，你能看看那些鐮刀嗎！這是你的私釀，正如承諾的那樣！ |わあ、その鎌を見てください！約束通り、ムーンシャインをどうぞ！|와, 저 낫들을 보세요! 약속대로 문샤인입니다!|Wow, seht euch diese Sensen an! Hier ist euer selbstgebrannter Schnaps, wie versprochen!|Wow, regardez-moi ces faux ! Voici votre gnôle, comme promis !|¡Vaya, vaya! ¡Mira esas guadañas! Aquí tienes tu aguardiente, ¡tal y como prometí!|Wow, spójrz tylko na te szpony! Oto twój bimber, jak obiecałem!
|||||||||||
chaos_tower_master_1|Welcome Adventurer, the tower awaits those who are bold enough to enter.|Tervetuloa Seikkailija, torni odottaa niitä jotka ovat tarpeeksi rohkeita astumaan sisään.|Bem-vindo Aventureiro, a torre aguarda aqueles que tiverem coragem de entrar.| Добро пожаловать, искатель приключений!|歡迎冒險家，這座塔等待著有勇氣的人進入. |ようこそ冒険家、塔は入るのに十分大胆な人々を待っています。|모험가 님을 환영합니다. 탑은 들어갈만큼 대담한 사람들을 기다리고 있습니다.|Willkommen Abenteurer, der Turm erwartet diejenigen, die mutig genug sind, um einzutreten.|Bienvenue Aventurier, la tour attend ceux qui ont l'audace d'y entrer.|Bienvenido, aventurero. La torre aguarda a aquellos lo bastante audaces como para entrar.|Witaj, poszukiwaczu przygód! Wieża czeka na tych, którzy są wystarczająco odważni, aby wejść.
chaos_tower_master_2|The tower is a graveyard for some, but a treasure trove for others.|Torni on viimeinen leposija joillekkin, mutta aarreaitta toisille.|A torre é um cemitério para alguns, mas um tesouro para outros.| Для кого-то башня — кладбище.|這座塔對某些人來說是墳墓，但對其他人來說則是寶庫. |塔は一部の人にとっては墓地ですが、他の人にとっては宝の山です。|탑은 일부에게는 묘지이지만 다른 사람들에게는 보물 창고입니다.|Der Turm ist für einige ein Friedhof, für andere eine Schatzkammer.|La tour est un cimetière pour certains, mais un trésor pour d'autres.|Para algunos, la torre es un cementerio; pero para otros, un tesoro por descubrir.|Dla niektórych wieża jest cmentarzem, dla innych skarbnicą.
chaos_tower_master_3|I'll stay back and guard the entrance, you go ahead...|Minä jään tänne vartioimaan sisäänkäyntiä, mene sinä vain...|Vou ficar para trás e vigiar a entrada, vá em frente...| Я останусь и буду охранять вход.|我會留下來守衛入口，你先進去...|私は戻って入り口を守ります、あなたは先に進みます...|나는 여기서 입구를 지킬게요, 당신은 먼저 가세요...|Ich werde zurückbleiben und den Eingang bewachen, du machst weiter...|Je reste à l'arrière pour garder l'entrée, allez-y...|Yo me quedaré a proteger la entrada. Tú, adéntrate...|Zostanę z tyłu i będę pilnował wejścia, idź przodem...
chaos_tower_open|Let me in!|Päästä minut sisään!|Me deixe entrar!| Впустите меня!|讓我進去！|入れてくれ！|나를 들여 보내줘!|Lass mich rein!|Laissez-moi entrer !|¡Déjame entrar!|Wpuść mnie!
chaos_towers_completed|Chaos Towers completed:|Kaaos Tornit suoritettu:|Torres do Caos concluídas:| Башни Хаоса завершены:|混沌塔完成：|カオスタワーが完成しました：|카오스 타워 완료 :|Chaostürme fertiggestellt:|Tours du chaos terminées :|Torres del Caos completadas:|Ukończone Chaos Towers:
chaos_tower_reward|Claim reward.|Lunasta palkkio.|Reivindicar recompensa.| Получите вознаграждение.|索取獎勵。|報酬を請求します。|보상을 받으세요.|Belohnung beanspruchen.|Réclamez votre récompense.|Reclamar recompensa.|Odbierz nagrodę.
chaos_tower_prompt|Would you like to claim your reward and reset your progress?|Haluatko lunastaa palkkiosi ja nollata etenemisen?|Você gostaria de reivindicar sua recompensa e reiniciar seu progresso?| Хотите получить награду и сбросить свой прогресс?|您想領取獎勵並重置進度嗎？|報酬を受け取り、進捗状況をリセットしますか？|보상을 받고 진행 상황을 초기화하시겠습니까?|Möchten Sie Ihre Belohnung einfordern und Ihren Fortschritt zurücksetzen?|Voulez-vous réclamer votre récompense et réinitialiser votre progression ?|¿Deseas reclamar tu recompensa y restablecer tu progreso?|Czy chcesz odebrać nagrodę i zresetować swój postęp?
chaos_tower_no_reward|Here you g- Wait, you haven't cleared enough towers. Get out of here!||Aqui est- Espere, você não limpou torres suficientes. Saia daqui!| Вот ты... Подожди.|你……等等，你還沒有完成足夠的塔. 快離開這裡！|はい、どうぞーあれ、まだ塔を十分に攻略していませんね。さっさと出て行ってください！|여기 보상... 잠깐, 탑을 충분히 클리어하지 않았잖아요. 나가세요!|Hier – Moment, du hast noch nicht genug Türme eingenommen. Verschwinde von hier!|Ici, vous… Attendez, vous n'avez pas nettoyé assez de tours. Partez d'ici !|Aquí tien... ¡Espera, no has superado suficientes torres! ¡Fuera de aquí!|Oto ty- Czekaj, nie wyczyściłeś wystarczająco wielu wież. Wynoś się stąd!
chaos_tower_opened_1|Take the stairs straight ahead.|Mene ylös portaista suoraan edessäsi.|Suba as escadas logo à frente.| Идите прямо по лестнице.|沿著樓梯一直往前走。 |まっすぐ先の階段を上ってください。|앞으로 계단을 올라가세요.|Nimm die Treppe geradeaus.|Prenez l'escalier tout droit. |Sube por las escaleras, todo recto.|Wejdź po schodach prosto przed siebie.
chaos_tower_opened_2|The way is open.|Tie on avoin.|O caminho está aberto.| Путь открыт.|此路開放。|道は開いています。|길이 열려 있습니다.|Der Weg ist offen.|La voie est libre.|El camino está despejado.|Droga jest otwarta.
chaos_tower_opened_3|Are you stupid?|Oletko idiootti?|Você é burro?| Ты дурак?|你很笨嗎|バカじゃないの？|너 바보니?|Bist du dumm?|Vous êtes stupide ?|¿Acaso eres estúpido?|Jesteś głupi?
|||||||||||
dialog_hellShadowRealm|WANTED: Shadow Reaper. Collect dimensional shards and enter the gate within the shadow realm.||PROCURA-SE: Ceifador das Sombras. Colete fragmentos dimensionais e entre no portal do reino das sombras.|ТРЕБУЕТСЯ: Жнец Теней. Соберите пространственные осколки и войдите в врата в царство теней. |通緝：死亡陰影。收集次元碎片，進入影之領域的大門。|指名手配：シャドウ・リーパー。次元の破片を集め、影の領域にある門へ入りなさい。|현상 수배: 섀도 리퍼. 차원 파편을 모아 섀도 영역 내부의 문으로 들어가세요.|GESUCHT: Schattenschnitter. Sammle Dimensionssplitter und betritt das Tor im Schattenreich.|RECHERCHÉ : Faucheur d'Ombre. Récupérez des éclats dimensionnels et franchissez la porte du royaume des ombres.|SE BUSCA: Segador de las Sombras. Reúne esquirlas dimensionales y entra al portal del reino sombrío.|POSZUKIWANY: Shadow Reaper. Zbieraj dimensional shards i wejdź do bramy w królestwie cieni.
dialog_hellShadowRealm_end|Great job hero! Here is your reward for your endevours!||Ótimo trabalho, herói! Aqui está sua recompensa pelos seus esforços!|Отличная работа, герой! Вот твоя награда за твои старания! |英雄，幹得好！這是對你努力的獎勵！|よくやった、英雄！努力の報酬だ！|잘했어요, 영웅! 노력에 대한 보상입니다!|Gut gemacht, Held! Hier ist deine Belohnung für deine Mühen!|Bravo, héros ! Voici votre récompense !|¡Gran trabajo, héroe! ¡Aquí tienes la recompensa por tus esfuerzos!|Dobra robota, bohaterze! Oto twoja nagroda za twoje wysiłki!
dialog_hellBattleField|WANTED: Sung Lee. Collect battle fragments and enter the eternal battle field.||PROCURA-SE: Sung Lee. Colete fragmentos de batalha e entre no campo de batalha eterno.|РАЗЫСКИВАЕТСЯ: Сон Ли. Соберите боевые фрагменты и войдите на вечное поле битвы. |通緝：李宋。收集戰鬥碎片，進入永恆戰場。|指名手配：ソン・リー。戦いの破片を集め、永遠の戦場へ入りなさい。|현상 수배: 성 리. 전투 조각을 모아 영원한 전장으로 나아가세요.|GESUCHT: Sung Lee. Sammle Kampffragmente und betrete das ewige Schlachtfeld.|RECHERCHÉ : Sung Lee. Récupérez des fragments de bataille et entrez sur le champ de bataille éternel.|SE BUSCA: Sung Lee. Reúne fragmentos de batalla y entra en el campo de batalla eterno.|POSZUKIWANY: Sung Lee. Zbieraj battle fragments i wejdź do eternal battle field.
dialog_hellBattleField_end|Bless you hero! Take your reward!||Deus te abençoe, herói! Pegue sua recompensa!|Благослови тебя Бог, герой! Прими свою награду! |祝福你，英雄！領取你的獎勵吧！|英雄よ、祝福あれ！報酬を受け取れ！|영웅님, 축복합니다! 보상을 받으세요!|Gott segne dich, Held! Nimm deine Belohnung!|Que Dieu vous bénisse, héros ! Prenez votre récompense !|¡Que los dioses te bendigan, héroe! ¡Toma tu recompensa!|Błogosławię cię, bohaterze! Weź swoją nagrodę!
dialog_hellChaosTower|WANTED: Chaos Tower. Enter a chaos tower and purge it from the undead.||PROCURA-SE: Torre do Caos. Entre em uma torre do caos e limpe-a dos mortos-vivos.|РАЗЫСКИВАЕТСЯ: Башня Хаоса. Войдите в башню Хаоса и очистите её от нежити. |通緝：混沌之塔。進入混沌之塔，清除其中的亡靈。|指名手配：カオスタワー。カオスタワーに入り、アンデッドを一掃せよ。|현상 수배: 카오스 타워. 카오스 타워에 들어가 언데드를 몰아내세요.|GESUCHT: Chaosturm. Betrete einen Chaosturm und befreie ihn von den Untoten.|RECHERCHÉ : Tour du Chaos. Entrez dans une tour du chaos et purgez-la des morts-vivants.|SE BUSCA: Torre del Caos. Entra en una torre del caos y púrgala de los no muertos.|POSZUKIWANY: Chaos Tower. Wejdź do chaos tower i oczyść ją z nieumarłych.
dialog_hellChaosTower_end|Well done hero, the lands are now a little safer! Take your reward!||Muito bem, herói, as terras agora estão um pouco mais seguras! Pegue sua recompensa!|Молодец, герой! Теперь земли стали немного безопаснее! Принимай награду! |英雄，幹得好！這片土地現在安全多了！領取你的獎勵吧！|よくやった、英雄よ。これで土地は少し安全になった！報酬を受け取れ！|잘했어요, 영웅님. 이제 이 땅이 조금 더 안전해졌어요! 보상을 받으세요!|Gut gemacht, Held, das Land ist jetzt etwas sicherer! Nimm deine Belohnung!|Bravo, héros, les terres sont désormais un peu plus sûres ! Prenez votre récompense !|¡Bien hecho, héroe, estas tierras son ahora un poco más seguras! ¡Toma tu recompensa!|Dobra robota, bohaterze, ziemie są teraz trochę bezpieczniejsze! Weź swoją nagrodę!
dialog_hellFallenInoya|WANTED: Damien. Collect parts from Act I-VI bosses, craft a key of terror and enter fallen inoya||PROCURA-SE: Damien. Colete peças dos chefes dos Atos I-VI, crie uma chave do terror e entre em Inoya, a Decaída.|ТРЕБУЕТСЯ: Дэмиен. Соберите части меча с боссов I-VI актов, создайте ключ ужаса и войдите в павшую Инойю. |通緝：達米安。收集第一章至第六章Boss的部位，打造一把恐怖鑰匙，進入陷落的伊諾亞。|求む：ダミアン。Act I～VIのボスからパーツを集め、恐怖の鍵を作り、堕落したイノヤへ入りましょう。|현상 수배: 데미안. 1막부터 6막까지 보스에게서 부품을 모아 공포의 열쇠를 제작하고 몰락한 이노야로 들어가세요.|GESUCHT: Damien. Sammle Teile von den Bossen aus Akt I–VI, baue einen Schlüssel des Schreckens und betrete das gefallene Inoya.|RECHERCHÉ : Damien. Récupérez les pièces des boss des actes I à VI, fabriquez une clé de terreur et entrez dans Inoya déchu.|SE BUSCA: Damien. Reúne partes de los jefes de los Actos I a VI, fabrica una llave del terror y entra en la Inoya caída.|POSZUKIWANY: Damien. Zbierz części od bossów Aktu I-VI, wykuj klucz terroru i wejdź do fallen inoya
dialog_hellFallenInoya_end|That one was a nightmare wasnt it? Here is your reward noble hero!||Aquele foi um pesadelo, não foi? Aqui está sua recompensa, nobre herói! |Это был настоящий кошмар, не правда ли? Вот твоя награда, благородный герой! |那真是一場惡夢，不是嗎？這是你的獎勵，尊貴的英雄！ |あれは悪夢でしたね？ 報酬を差し上げます、高貴なる英雄よ！ |그건 악몽이었지? 자, 자네의 보상은 고귀한 영웅이여! |Das war ein Albtraum, nicht wahr? Hier ist deine Belohnung, edler Held!|C'était un cauchemar, n'est-ce pas ? Voici votre récompense, noble héros ! |Eso ha sido una pesadilla, ¿a que sí? ¡Aquí tienes tu recompensa, noble héroe!|To był koszmar, prawda? Oto twoja nagroda, szlachetny bohaterze!
dialog_hellCodex|Find a codex of eternity, use it and clear its undead infested zone!||Encontre um códice da eternidade, use-o e limpe sua zona infestada de mortos-vivos! |Найдите кодекс вечности, используйте его и очистите кишащую нежитью зону! |找到永恆法典，使用它並清除其亡靈出沒的區域！ |永遠のコーデックスを見つけて使用し、アンデッドが蔓延するゾーンを一掃しましょう! |영원의 코덱스를 찾아서 사용하고 언데드가 들끓는 구역을 청소하세요! |Finden Sie einen Kodex der Ewigkeit, verwenden Sie ihn und säubern Sie die von Untoten befallene Zone!|Trouvez un codex d'éternité, utilisez-le et nettoyez sa zone infestée de morts-vivants ! |¡Encuentra un códice de la eternidad, úsalo y despeja la zona infestada de no muertos!|Znajdź kodeks wieczności, użyj go i oczyść strefę zarażoną nieumarłymi!
dialog_hellCodex_end|Fine purging hero! Here is your well earned reward!||Ótimo herói da limpeza! Aqui está sua merecida recompensa! |Отличный герой-чистильщик! Вот ваша заслуженная награда! |好樣的淨化英雄！這是你應得的獎勵！ |見事に浄化した英雄よ！よくやった、報酬を受け取れ！ |훌륭한 정화 영웅님! 자, 이제 당신이 받을 만한 보상입니다! |Gute Reinigung, Held! Hier ist deine wohlverdiente Belohnung!|Bravo, héros purificateur ! Voici votre récompense bien méritée ! ||Dobra robota, bohaterze! Oto twoja dobrze zasłużona nagroda!
|||||||||||
ct_penguin_1|Oh, you found me! Wait, I can TALK!?|Löysit minut! Hetkinen, osaan PUHUA!?|Oh, você me encontrou! Espere, eu posso FALAR !?|О, ты меня нашла! Подожди, я умею говорить?! |哦，你找到我了！等等，我能說嗎！|ああ、あなたは私を見つけました！待って、話せる！？|오, 나를 찾았군요! 잠깐, 말할 수 있어요!?|Oh, du hast mich gefunden! Warten Sie, ich kann sprechen!?|Oh, tu m'as trouvé ! Attendez, je peux PARLER ! ?|¡Oh, me has encontrado! Espera, ¿¡puedo HABLAR!?|Och, znalazłeś mnie! Czekaj, ja MOGĘ MÓWIĆ!?
ct_penguin_2|I must collect pebbles, I have no time for chit-chat!|Minun pitää kerätä pikkukiviä, ei ole aikaa juoruilla!|Preciso coletar pedrinhas, não tenho tempo para conversa fiada!|Мне нужно собрать камешки, у меня нет времени на болтовню! |我必須收集鵝卵石，我沒有時間閒聊！|私は小石を集めなければなりません、私はおしゃべりする時間がありません！|나는 자갈을 모아야한다, 나는 잡담을 할 시간이 없다!|Ich muss Kiesel sammeln, ich habe keine Zeit zum Plaudern!|Je dois ramasser des cailloux, je n'ai pas le temps de bavarder !|¡Debo recoger guijarros, no tengo tiempo para cháchara!|Muszę zbierać kamyki, nie mam czasu na pogaduszki!
ct_penguin_3|Kraah||Kraah| Краах|Kraah|Kraah|Kraah|Kraah|Kraah|Kraah|Kraah
ct_penguin_4|Rrrrreeeeee||Rrrrreeeeee| Ррррреееее|Rrrrreeeeee|Rrrrreeeeee|Rrrrreeeeee|Rrrrreeeeee|Rrrrreeeeee|Rrrrreeeeee|Rrrrreeeeee
ct_penguin_5|RRRreee Kraaaah||RRRreee Kraaaah| РРРриии Краааа|RRRreee Kraaaah|RRRreee Kraaaah|RRRreee Kraaaah|RRRreee Kraaaah|RRRreee Kraaaah|RRRreee Kraaaah|RRRreee Kraaaah
ct_penguin_6|Cacaaaaaaa||Cacaaaaaaa| Какаааааааа|Cacaaaaaaa|Cacaaaaaaa|Cacaaaaaaa|Cacaaaaaaa|Cacaaaaaaa|Cacaaaaaaa|Cacaaaaaaa
|||||||||||
ct_um_dying_1|This... Place... Is unholy... Cursed... Find Kuk... konen...|Tämä... Paikka... On epäpyhä... Kirottu... Etsi Kuk... konen...|Este... lugar... é profano... amaldiçoado... encontre Kuk... konen...| Это... Место... Нечестиво... Проклято... Найди Кук... конен...|這個...地方...是邪惡的...被詛咒...找到Kuk... konen...|これ...場所...不潔...呪われている...クッコネンを探す...|이... 장소... 거룩하지 않다... 저주를 받음... 쿡... 코넨 찾기...|Dieser... Ort... ist unheilig... verflucht... Finde Kukkonen...|Ce... endroit... est impie... Maudit... Trouvez [c_lime]Kuk[c_reset]... [c_lime]konen[c_reset]...|Este... lugar... es impío... Maldito... Encuentra a Kuk... konen...|To... Miejsce... Jest nieświęte... Przeklęte... Znajdź Kuk... konena...
ct_um_dying_2|This is not the future... I foresaw... Find Kukkonen...|Tämä ei ole tulevaisuus... Näin sen... Etsi Kukkonen...|Este não é o futuro... Que eu previ... Encontre Kukkonen...|Это не будущее... Я предвидел... Найди Кукконена...|這不是未來...我預見...找到Kukkonen...|これは未来ではありません...私は予見しました...クッコネンを見つけてください...|이건 미래가 아니야... 내가 예견 했어... 쿡코넨 찾기...|Dies ist nicht die Zukunft... Ich habe vorausgesehen... Finde Kukkonen...|Ce n'est pas le futur... que j'avais prévu... Trouvez [c_lime]Kukkonen[c_reset]...|Este no es el futuro... que yo preví... Encuentra a Kukkonen...|To nie jest przyszłość... Którą przewidziałem... Znajdź Kukkonena...
ct_um_dying_3|Our timeline is finished... You must find the way back to Kukkonen...|Aikajanamme on loppu... Sinun täytyy löytää takaisin Kukkosen luo...|Nossa linha do tempo terminou... Você deve encontrar o caminho de volta para Kukkonen...| Наша временная линия завершена... Вам нужно найти дорогу обратно в Кукконен...|我們的時間線已經結束了...你必須找到返回Kukkonen身邊的路...|タイムラインが終了しました...クッコネンに戻る方法を見つける必要があります...|타임 라인이 끝났습니다... 쿡코넨에게 돌아가는 길을 찾아야합니다...|Unsere Zeitleiste ist fertig... Sie müssen den Weg zurück nach Kukkonen finden...|Notre ligne temporelle est terminée... Tu dois retrouver le chemin jusqu'a [c_lime]Kukkonen[c_reset]...|Nuestra línea temporal ha terminado... Debes encontrar el camino de regreso a Kukkonen...|Nasza linia czasu jest skończona... Musisz znaleźć drogę powrotną do Kukkonena...
