|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
etherOwSmall05|Chance for Overworld monsters to spawn with the Divine affix.||Chance de monstros do Mundo Superior surgirem com o afixo Divino.|Шанс появления монстров Верхнего мира с модификатором «Божественный».|機率主世界怪物生成≤神聖≥詞綴|オーバーワールドのモンスターが「神」のアフィックスを持って出現する確率が上昇します。|오버월드 몬스터가 신 속성을 가지고 나타날 확률 증가|Chance, dass Oberweltmonster mit dem Affix „Göttlich“ erscheinen.|Augmente les chances que les monstres du Monde Extérieur apparaissent avec l'affixe Divin.|Probabilidad de que los monstruos del Overworld aparezcan con el afijo Divino|Szansa na spawn potworów Overworld z afiksem Divine
etherOwSmall06|Chance to double the amount of Colossal Chest monsters.||Chance de dobrar a quantidade de monstros do Baú Colossal.|Есть шанс удвоить количество монстров из Колоссальных сундуков.|有機率使巨型寶箱的怪物數量翻倍。|「巨大な宝箱」のモンスターの数を2倍にする確率。|거대 보물상자 몬스터 수가 2배가 될 확률.|Chance, die Anzahl der Monster aus der Kolossalen Truhe zu verdoppeln.|Chance de doubler le nombre de monstres du Coffre colossal.|Probabilidad de duplicar la cantidad de monstruos del Cofre Colosal.|Szansa na podwojenie liczby potworów z Kolosalnej Skrzyni.
etherOwSmall07|Chance to open the Colossal Chest an additional time.||Chance de abrir o Baú Colossal uma vez adicional.|Возможность открыть Огромный сундук ещё раз.|有機率額外開啟一次巨型寶箱。|「巨大な宝箱」をもう一度開ける確率。|거대 보물상자를 추가로 한 번 더 열 수 있는 확률.|Chance, die Kolossale Truhe ein weiteres Mal zu öffnen.|Chance d'ouvrir le Coffre colossal une fois de plus.|Probabilidad de abrir el Cofre Colosal una vez adicional.|Szansa na dodatkowe otwarcie Kolosalnej Skrzyni.
etherOwSmall08|to Colossal Chest monster Magic Find||Bônus de Magic Find contra monstros do Baú Colossal.|к монстру «Колоссальный сундук» Магический поиск|巨型寶箱怪物的物品稀有度|「巨大な宝箱」のモンスターに対する「Magic Find（魔法のアイテム発見率）」。|거대 보물상자 몬스터의 매직 아이템 발견 확률|Magic Find für Monster aus der Kolossalen Truhe|Bonus de découverte magique pour les monstres du Coffre colossal.|al Hallazgo Mágico de los monstruos del Cofre Colosal|Bonus do Magic Find dla potworów z Kolosalnej Skrzyni.
etherOwSmall09|Chance to spawn an additional monster pack with each Colossal Chest monster.||Chance de surgir um grupo de monstros adicional com cada monstro do Baú Colossal.|Есть шанс получить дополнительную группу монстров с каждым монстром из Колоссального сундука.|每隻巨型寶箱怪物都有機率額外生成一群怪物。|「巨大な宝箱」のモンスターが出現する際、追加でモンスターの集団を出現させる確率。|각 거대 보물상자 몬스터와 함께 추가 몬스터 무리가 생성될 확률.|Chance, bei jedem Monster aus der Kolossalen Truhe eine zusätzliche Monstergruppe erscheinen zu lassen.|Chance de faire apparaître un groupe de monstres supplémentaire avec chaque monstre du Coffre colossal.|Probabilidad de generar un grupo de monstruos adicional con cada monstruo del Cofre Colosal.|Szansa na pojawienie się dodatkowej grupy potworów wraz z każdym potworem z Kolosalnej Skrzyni.
etherOwSmall10|Increased Colossal Chest discovery range||Alcance de descoberta do Baú Colossal aumentado. |Увеличен диапазон обнаружения Колоссального сундука.|增加巨型寶箱的發現範圍|「巨大な宝箱」の発見範囲の拡大。 |거대 보물상자 발견 범위 증가|Erhöhte Entdeckungsreichweite für Kolossale Truhen |Portée de découverte du Coffre colossal accrue. |Mayor alcance de descubrimiento del Cofre Colosal|Zwiększony zasięg wykrywania Kolosalnej Skrzyni.
etherOwBig01|Ancient monsters in Overworld zones have a chance to drop a Chest when killed.||Monstros ancestrais em zonas do Mundo Superior têm uma chance de deixar cair um Baú ao serem derrotados.|Древние монстры в зонах Верхнего мира имеют шанс выпадения сундука после убийства.|機率主世界區域的遠古怪物被擊殺時掉落寶箱|オーバーワールドゾーンの古代モンスターを倒した際に宝箱をドロップする確率が上昇します。|오버월드 지역의 고대 몬스터를 처치했을 때 일정 확률로 상자를 드롭|Uralte Monster in Oberweltzonen haben eine Chance, beim Tod eine Truhe fallen zu lassen.|Les monstres Anciens des zones du Monde Extérieur ont une chance de laisser tomber un Coffre lorsqu'ils sont tués.|Los monstruos ancestrales del Overworld pueden soltar un cofre al morir|Starożytne potwory w strefach Overworld mają szansę na drop Skrzyni po zabiciu
etherOwBig02|Ancient monsters in Overworld zones have a chance to respawn as a random Goblin when killed.||Monstros ancestrais em zonas do Mundo Superior têm uma chance de ressurgir como um Goblin aleatório ao serem derrotados.|Древние монстры в зонах Верхнего мира имеют шанс возродиться в виде случайного гоблина после убийства.|機率主世界區域的遠古怪物會隨機重生為哥布林|オーバーワールドゾーンの古代モンスターを倒した際にランダムなゴブリンとして再出現する確率が上昇します。|오버월드 지역의 고대 몬스터를 처치했을 때 일정 확률로 무작위 고블린으로 부활|Uralte Monster in Oberweltzonen haben eine Chance, beim Tod als zufälliger Goblin wiederzuerscheinen.|Les monstres Anciens des zones du Monde Extérieur ont une chance de réapparaître sous la forme d'un Gobelin aléatoire lorsqu'ils sont tués.|Los monstruos ancestrales del Overworld pueden reaparecer como un goblin aleatorio|Starożytne potwory w strefach Overworld mają szansę na odrodzenie się jako losowy Goblin po zabiciu
etherOwBig03|Chance for Overworld monsters to spawn with the Guardian of Hell affix.||Chance de monstros do Mundo Superior surgirem com o afixo Guardião do Inferno.|Шанс появления монстров Верхнего мира с модификатором «Хранитель ада».|機率主世界怪物生成≤地獄守護者≥詞綴|オーバーワールドのモンスターが「地獄の守護者」のアフィックスを持って出現する確率が上昇します。|오버월드 몬스터가 지옥의 수호자 속성을 가지고 나타날 확률 증가|Chance, dass Oberweltmonster mit dem Affix „Wächter der Hölle“ erscheinen.|Chance de voir apparaître des monstres du monde normal avec l'affixe Gardien de l'Enfer. |Probabilidad de que los monstruos del Overworld aparezcan con el afijo Guardián del infierno|Szansa na spawn potworów Overworld z afiksem Guardian of Hell
etherOwBig04|Increased Total Magic Find in Overworld maps but you no longer spawn any mechanics in your maps.||Aumento na quantidade total de itens mágicos encontrados nos mapas do Mundo Superior, mas você não gera mais nenhuma mecânica nos seus mapas.|Увеличен общий показатель поиска магии на картах открытого мира, но при этом на картах больше не появляются никакие механики.|主世界地圖總物品稀有度，但地圖中不再生成任何機制|オーバーワールドマップでの魔法発見総量が増加しますが、マップ上にギミックは出現しなくなります。|오버월드 맵에서 마법 아이템 발견 확률이 총 증가하지만, 더 이상 맵에 메커니즘이 생성되지 않습니다.|Erhöhte Gesamtmenge an Magiefunden in Oberweltkarten, aber es werden keine Mechaniken mehr in euren Karten erzeugt.|Augmentation du nombre total d'objets magiques trouvés sur les cartes du monde normal, mais vous ne ferez plus apparaître aucun mécanisme sur vos cartes. |Mayor Hallazgo Mágico total en el Overworld, pero ya no aparecen otras mecánicas|Zwiększona Całkowita Szansa na Magiczne Przedmioty na mapach Overworld, ale nie spawnują się żadne mechaniki na twoich mapach
etherOwBig05|Chance for Colossal Chest Monsters to spawn with Bloating affix.||Chance de monstros do Baú Colossal surgirem com o afixo Inchaço.|Есть вероятность появления гигантских сундуковых монстров с эффектом «вздутие».|巨型寶箱怪物有機率攜帶≤經驗≥詞條。|巨大宝箱モンスターに膨張アフィックスが付与される確率。|거대 보물상자 몬스터가 부풀어 오른 접사를 가지고 생성될 확률.|Chance, dass Monster in Kolossalen Truhen mit dem Affix „Aufgedunsen“ erscheinen.|Augmentation des chances d'apparition des monstres des coffres colossaux avec l'affixe Gonflement.|Probabilidad de que los monstruos del Cofre Colosal aparezcan con el afijo Hinchado.|Szansa na pojawienie się potworów z kolosalną skrzynią z dodatkiem Wzdęcie.
etherOwBig06|to Colossal Chest loot amount||Aumenta a quantidade de itens saqueados do Baú Colossal.|к огромному количеству добычи из сундука|巨型寶箱掉落物數量|巨大宝箱の戦利品量増加|거대 보물상자의 전리품 수량 증가|Erhöhte Beutemenge in Kolossalen Truhen|Augmentation du butin des coffres colossaux.|a la cantidad de botín del Cofre Colosal.|do ilości łupów z kolosalnej skrzyni
etherOwBig06_02|Increased Total Magic Find to the Colossal Chest||Aumenta a quantidade total de Encontrar Magia no Baú Colossal.|Увеличен общий шанс найти магию в Колоссальном сундуке.|增加巨型寶箱的總物品稀有度|巨大宝箱のマジックファインド合計増加|거대 보물상자의 총 매직 아이템 발견 확률 증가.|Erhöhte Gesamt-Magiefundrate für Kolossale Truhen|Augmentation du bonus total de découverte magique pour les coffres colossaux.|Mayor Hallazgo Mágico Total del Cofre Colosal.|Zwiększona całkowita ilość znalezionych magicznych przedmiotów w kolosalnej skrzyni
etherOwBig07|Colossal Chest monsters are now spawned as Fallen rarity||Os monstros do Baú Colossal agora surgem com a raridade Decaído.|Монстры из Колоссальных Сундуков теперь появляются в качестве существ редкости Падших.|巨型寶箱怪物現在會以「墮落」稀有度生成|巨大宝箱モンスターがフォールンレアリティで出現するようになりました|거대 보물상자 몬스터가 이제 타락한 등급으로 생성|Monster in Kolossalen Truhen erscheinen nun als Gefallene|Les monstres des coffres colossaux apparaissent désormais avec la rareté Déchu.|Los monstruos del Cofre Colosal ahora aparecen con el afijo Caído.|Potwory z kolosalną skrzynią pojawiają się teraz jako rzadkość Upadłych
etherOwBig08|Chance for Colossal Chest mosters to spawn with the Divine affix||Chance de monstros do Baú Colossal surgirem com o afixo Divino.|Есть вероятность появления гигантских монстров из сундуков с божественным свойством.|巨型寶箱怪物有機率攜帶≤神聖≥詞條|巨大宝箱モンスターに神聖アフィックスが付与される確率|거대 보물상자 몬스터가 신성 접사를 가지고 생성될 확률|Chance, dass Monster in Kolossalen Truhen mit dem Affix „Göttlich“ erscheinen|Augmentation des chances d'apparition des monstres des coffres colossaux avec l'affixe Divin.|Probabilidad de que los monstruos del Cofre Colosal aparezcan con el afijo Divino.|Szansa na pojawienie się potworów z kolosalną skrzynią z dodatkiem Boskość
etherOwBig09|Chance for additional monsters to become Fallen. Additional monsters are always at least Legions.||Chance de monstros adicionais se tornarem Decaídos. Monstros adicionais são sempre pelo menos da Legião.|Есть вероятность, что дополнительные монстры превратятся в Падших. Дополнительные монстры всегда представляют собой как минимум Легионы.|有機率使額外怪物轉化為墮落階級。額外怪物至少為軍團階級。|追加のモンスターがフォールンになる確率。追加のモンスターは常にレギオン以上です。|추가 몬스터가 타락한 등급으로 변할 확률. 추가 몬스터는 항상 최소 군단 등급.|Chance, dass zusätzliche Monster zu Gefallenen werden. Zusätzliche Monster sind immer mindestens Legionen.|Augmentation des chances que des monstres supplémentaires deviennent Déchus. Ces monstres supplémentaires sont toujours au moins de niveau Légion.|Probabilidad de que los monstruos adicionales se conviertan en Caídos. Los monstruos adicionales siempre son, como mínimo, Legiones.|Szansa na to, że dodatkowe potwory staną się Upadłymi. Dodatkowe potwory to zawsze co najmniej Legiony.
etherOwBig10|Chance for Ancient monsters in a zone with Colossal Chest to be spawned as an Abomination.||Chance de monstros Ancestrais em uma zona com Baú Colossal surgirem como uma Abominação.|В зоне с Колоссальным сундуком существует вероятность появления Древних монстров в виде Чудовища.|在擁有巨型寶箱的區域中，遠古怪物有機率生成為憎惡體。|巨大宝箱のあるゾーンの古代モンスターがアボミネーションとして出現する確率。|거대 보물상자가 있는 지역의 고대 몬스터가 어보미네이션으로 생성될 확률.|Chance, dass Uralte Monster in einem Gebiet mit Kolossalen Truhen als Abscheulichkeit erscheinen.|Augmentation des chances d'apparition des monstres Anciens dans une zone contenant des coffres colossaux sous forme d'Abomination.|Probabilidad de que los monstruos Ancestrales de una zona con un Cofre Colosal aparezcan como una Abominación.|Szansa na pojawienie się starożytnych potworów w strefie z kolosalną skrzynią jako Abominacja.
etherOwBig11|to Additional Colossal Chest rolls for Blacksmith’s Mallet||Aumenta o número de rolagens adicionais do Baú Colossal para o Malho do Ferreiro.|Дополнительные огромные сундуки для молотка кузнеца|鐵匠之槌在巨型寶箱額外抽取次數|鍛冶屋の槌の追加ロールに巨大宝箱が追加|대장장이의 망치에 대한 추가 거대 보물상자 굴림 횟수 증가|Zusätzliche Würfe für den Schmiedehammer in Kolossalen Truhen|Augmentation des résultats supplémentaires pour le Maillet du forgeron dans les coffres colossaux.|a las tiradas adicionales del Cofre Colosal para Mazos del Herrero.|do dodatkowych rzutów na kolosalną skrzynię dla młota kowalskiego
etherOwBig12|Increased Colossal Chest discovery range||Aumenta o alcance de descoberta do Baú Colossal. |Увеличен диапазон обнаружения Колоссального сундука.|增加巨型寶箱的發現範圍|巨大宝箱の発見範囲増加 |거대 보물상자 발견 범위 증가|Erhöhte Entdeckungsreichweite für Kolossale Truhen |Augmentation de la zone de découverte des coffres colossaux. |Mayor alcance de descubrimiento del Cofre Colosal.|Zwiększony zasięg odkrywania kolosalnej skrzyni
owIndicator_name|Overworld||Mundo Superior |Обычный мир |主世界|オーバーワールド |오버월드 |Oberwelt|Monde extérieur |Overworld|Overworld
|||||||||||
[Unstable Rift]|||||||||||
etherUrSmall01_name|Unstable Presence||Presença Instável|Нестабильное присутствие|不穩定存在|不安定な存在|불안정한 존재|Instabile Präsenz|Présence instable|Presencia inestable|Niestabilna Obecność
etherUrSmall02_name|Material Unstability||Instabilidade Material|Материальная нестабильность|不穩定材料|物質的不安定性|물질적 불안정성|Materielle Instabilität|Instabilité matérielle|Inestabilidad material|Niestabilność Materiału
etherUrSmall03_name|Essence Vaults||Cofres de Essência|Хранилища сущности|精華寶庫|エッセンス・ヴォールト|정수 금고|Essenzgewölbe|Coffres d'essence|Bóvedas de esencia|Skarbce Esencji
etherUrSmall04_name|Orbital Stability||Estabilidade Orbital|Орбитальная стабильность|軌道穩定|軌道安定性|궤도 안정성|Orbitale Stabilität|Stabilité orbitale|Estabilidad orbital|Stabilność Orbitalna
etherUrSmall05_name|Not Unstable Enough||Não Instável o Suficiente|Недостаточно нестабильно|還不夠不穩定|不安定さが足りない|불안정하지 않음|Nicht instabil genug|Insuffisamment instable|¿No es suficiente inestabilidad?|Nie Wystarczająco Niestabilne
etherUrSmall06_name|Rift’s Presence||A Presença da Fenda |Присутствие Рифта|裂隙氣場|亀裂の気配 |균열의 존재|Die Präsenz des Risses |La présence de la Faille |Presencia de la Grieta.|Obecność Szczeliny
etherUrBig01_name|Glitched Timeline||Linha Temporal Glitchada|Искаженная временная линия|故障時間軸|グリッチしたタイムライン|오류가 발생한 시간선|Verzerrte Zeitlinie|Chronologie altérée|Línea temporal bugeada|Zglitchowana Linia Czasu
etherUrBig02_name|Chaotic Fortune||Fortuna Caótica|Хаотическая удача|混亂幸運|混沌の幸運|혼돈의 운명|Chaotisches Glück|Fortune chaotique|Fortuna caótica|Chaotyczne Szczęście
etherUrBig03_name|Unstable Conquest||Conquista Instável|Нестабильное завоевание|不穩定征服|不安定な征服|불안정한 정복|Instabile Eroberung|Conquête instable|Conquista inestable|Niestabilne Podbicie
etherUrBig04_name|Mirror of Unstability||Espelho da Instabilidade|Зеркало нестабильности|不穩定鏡像|不安定の鏡|불안정의 거울|Spiegel der Instabilität|Miroir d'instabilité|Espejo de la inestabilidad|Lustro Niestabilności
etherUrBig05_name|Warped Fortune||Fortuna Distorcida|Искаженная удача|扭曲幸運|歪んだ幸運|왜곡된 운명|Verzerrtes Glück|Fortune déformée|Fortuna distorsionada|Zniekształcone Szczęście
etherUrBig06_name|Call of the Rift||Chamado da Fenda|Зов Разлома|裂隙的號召|裂け目の呼び声|균열의 부름|Ruf des Risses|Appel de la Faille|Llamado de la Grieta.|Zew Szczeliny
etherUrBig07_name|Warp to Sheeponia||Teletransporte para Sheeponia|Переместиться в Шипонию|躍遷至綿羊洲|シープオニアへ転送|쉬포니아로 워프|Teleport nach Sheeponia|Téléportation vers Sheeponia|Teletransporte a Sheeponia.|Teleportacja do Sheeponii
etherUrBig08_name|Warp to Hell||Teletransporte para o Inferno|Искажение в ад|躍遷至地獄|地獄へ転送|지옥으로 워프|Teleport in die Hölle|Téléportation vers l'Enfer|Teletransporte al Infierno.|Teleportacja do Piekła
etherUrBig09_name|Warp to Heaven||Teletransporte para o Paraíso|Переместитесь на небеса|躍遷至天堂|天国へ転送|천국으로 워프|Teleport in den Himmel|Téléportation vers le Paradis|Teletransporte al Cielo.|Teleportacja do Nieba
etherUrBig10_name|Unstable Destiny||Destino Instável|Нестабильная судьба|反覆無常的命運|不安定な運命|불안정한 운명|Instabiles Schicksal|Destin instable|Destino Inestable|Niestabilne Przeznaczenie
etherUrBig11_name|Summoner of Rifts||Invocador de Fendas |Призыватель Разломов|裂隙召喚者|裂け目の召喚師 |균열의 소환사|Beschwörer der Risse |Invocateur de failles |Invocador de Grietas|Przywoływacz Szczelin
etherUrSmall01|Increased chance to spawn an Unstable Rift on your maps.||Aumento da chance de surgir uma Fenda Instável em seus mapas.|Увеличенная вероятность появления Нестабильного разлома на ваших картах.|地圖中不穩定裂縫生成機率|マップ上に不安定な裂け目が出現する確率が上昇します。|지도에 불안정한 균열이 생성될 확률 증가|Erhöhte Chance, einen Instabilen Riss auf euren Karten erscheinen zu lassen.|Augmentation des chances de faire apparaître une faille instable sur vos cartes.|Mayor probabilidad de que aparezca una Falla inestable en tus mapas|Zwiększona szansa na spawn Unstable Rift na twoich mapach
etherUrSmall02|Monsters within Unstable Rift have an increased chance of dropping Unstable Dust when killed.||Monstros dentro da Fenda Instável têm uma chance maior de dropar Pó Instável ao serem derrotados.|У монстров в Нестабильном разломе увеличена вероятность выпадения Нестабильной пыли при убийстве.|不穩定裂縫內怪物被擊殺時掉落不穩定粉塵的機率|不安定な裂け目内のモンスターは、倒された際に不安定なダストをドロップする確率が上昇します。|불안정한 균열 내 몬스터를 처치하면 불안정한 먼지를 드롭할 확률 증가|Monster in einem Instabilen Riss lassen beim Tod mit erhöhter Wahrscheinlichkeit Instabilen Staub fallen.|Les monstres dans une faille instable ont plus de chances de laisser tomber de la poussière instable lorsqu'ils sont tués.|Los monstruos de la Falla inestable tienen mayor probabilidad de soltar Polvo inestable|Potwory w Unstable Rift mają zwiększoną szansę na drop Unstable Dust po zabiciu
etherUrSmall03|Monsters within Unstable Rift have an increased chance of dropping Essence Vaults when killed.||Monstros dentro da Fenda Instável têm uma chance maior de dropar Cofres de Essência ao serem derrotados.|У монстров в Нестабильном разломе увеличена вероятность выпадения Хранилищ сущности при убийстве.|不穩定裂縫內怪物被擊殺時掉落精華寶庫的機率|不安定な裂け目内のモンスターは、倒された際にエッセンス・ヴォールトをドロップする確率が上昇します。|불안정한 균열 내 몬스터를 처치하면 정수 금고를 드롭할 확률 증가|Monster in einem Instabilen Riss lassen beim Tod mit erhöhter Wahrscheinlichkeit Essenzgewölbe fallen.|Les monstres dans une faille instable ont plus de chances de laisser tomber des coffres d'essence lorsqu'ils sont tués.|Los monstruos de la Falla inestable tienen mayor probabilidad de soltar Bóvedas de esencia|Potwory w Unstable Rift mają zwiększoną szansę na drop Essence Vaults po zabiciu
etherUrSmall04|Ancient monsters within the Unstable Rift have a chance to be respawned as Orb Goblins.||Monstros ancestrais dentro da Fenda Instável têm uma chance de ressurgir como Goblins Orb.|У древних монстров в Нестабильном разломе есть шанс возродиться в виде Сферных гоблинов.|機率不穩定裂縫內的遠古怪物以寶珠哥布林的形式重生|不安定な裂け目内の古代モンスターは、オーブゴブリンとして復活する可能性があります。|불안정한 균열 내 고대 몬스터가 오브 고블린으로 다시 생성될 확률 증가|Uralte Monster in einem Instabilen Riss können als Kugelgoblins wiedererscheinen.|Les monstres anciens dans une faille instable ont une chance de réapparaître sous forme de gobelins orbes.|Los monstruos ancestrales de la Falla inestable pueden reaparecer como Goblins de orbe|Starożytne potwory w Unstable Rift mają szansę na odrodzenie się jako Orb Goblins
etherUrSmall05|Chance for monster packs to have extra monsters within Unstable Rift.||Chance de grupos de monstros terem monstros extras dentro da Fenda Instável.|Шанс, что в группах монстров появятся дополнительные монстры в Нестабильном разломе.|機率不穩定裂縫內怪物群有額外怪物數量|モンスターパックに不安定な裂け目内のモンスターが追加される可能性があります。|몬스터 무리에 불안정한 균열 내 추가 몬스터가 나타날 확률 증가|Chance, dass Monstergruppen in einem Instabilen Riss zusätzliche Monster enthalten.|Possibilité pour les groupes de monstres de contenir des monstres supplémentaires dans une faille instable.|Probabilidad de que los grupos de la Falla inestable contengan monstruos adicionales|Szansa na dodatkowe potwory w paczkach wewnątrz Unstable Rift
etherUrSmall06|Increased Unstable Rift discovery range.||Aumentado o alcance de detecção de Fendas Instáveis. |Увеличен радиус обнаружения Нестабильного Разлома.|增加不穩定裂隙的發現範圍。|「不安定な亀裂」の発見範囲を拡大しました。 |불안정한 균열 발견 범위 증가|Die Entdeckungsreichweite für Instabile Risse wurde erhöht. |Portée de détection des failles instables augmentée. |Mayor alcance de descubrimiento de Grietas Inestables.|Zwiększono zasięg wykrywania Niestabilnych Szczelin.
etherUrBig01|Chance to be warped into Asgard when entering an Unstable Rift.||Chance de ser teleportado para Asgard ao entrar em uma Fenda Instável.|Шанс быть телепортированным в Асгард при входе в Нестабильный разлом.|機率進入不穩定裂縫時被傳送至阿斯嘉德|不安定な裂け目に入った際にアスガルドにワープする可能性があります。|불안정한 균열에 진입할 때 아스가르드로 순간 이동될 확률 증가|Chance, beim Betreten eines Instabilen Risses nach Asgard teleportiert zu werden.|Possibilité d'être téléporté à Asgard en entrant dans une faille instable.|Probabilidad de ser transportado a Asgard al entrar en una Falla inestable|Szansa na przeniesienie do Asgard przy wejściu do Unstable Rift
etherUrBig02|Increased chance to warp into Rift of Fortune when entering an Unstable Rift.||Aumento da chance de ser teleportado para a Fenda da Fortuna ao entrar em uma Fenda Instável.|Увеличенная вероятность телепортироваться в Разлом удачи при входе в Нестабильный разлом.|機率進入不穩定裂縫時傳送至財富裂縫|不安定な裂け目に入った際に幸運の裂け目にワープする確率が上昇します。|불안정한 균열에 진입할 때 행운의 균열로 순간 이동될 확률 증가|Erhöhte Chance, beim Betreten eines Instabilen Risses in einen Riss des Glücks teleportiert zu werden.|Augmentation des chances d'être téléporté dans la faille de la fortune en entrant dans une faille instable.|Mayor probabilidad de entrar en la Falla de la fortuna desde una Falla inestable|Zwiększona szansa na przeniesienie do Rift of Fortune przy wejściu do Unstable Rift
etherUrBig03|Guaranteed tier 4 Challenge Dungeon when being warped into a dungeon.||Masmorra de Desafio de nível 4 garantida ao ser teleportado para uma masmorra.|Гарантированное прохождение подземелья 4-го уровня сложности при телепортации в подземелье.|被傳送至地下城時必定為四階挑戰地下城|ダンジョンにワープした際、必ずティア4のチャレンジダンジョンに遭遇します。 |던전으로 순간이동 시 4단계 도전 던전 확정 입장|Garantierter Herausforderungsdungeon der Stufe 4 beim Teleportieren in einen Dungeon.|Donjon de défi de niveau 4 garanti lors de la téléportation dans un donjon. |Mazmorra de desafío de nivel 4 garantizada al ser transportado a una mazmorra|Gwarantowany Challenge Dungeon tier 4 przy przeniesieniu do lochu
etherUrBig04|Chance to duplicate any Unique Item drops within the Unstable Rift, the additional item is Mirrored.||Chance de duplicar qualquer item único obtido na Fenda Instável; o item adicional é espelhado.|Шанс дублировать любые уникальные предметы, выпадающие в Нестабильном Разломе, дополнительный предмет будет зеркальным.|機率不穩定裂縫內獨特物品掉落時複製一份（額外物品為鏡像）|不安定な裂け目内でドロップしたユニークアイテムを複製するチャンスがあり、追加アイテムはミラーリングされます。 |불안정한 균열 내에서 모든 고유 아이템 드롭 확률 증가, 추가 아이템은 동일 아이템 획득|Es besteht die Chance, dass ein beliebiger einzigartiger Gegenstand, der im Instabilen Riss gefunden wird, dupliziert wird; der zusätzliche Gegenstand ist gespiegelt.|Chance de dupliquer tout objet unique obtenu dans la Faille instable ; l'objet supplémentaire est un miroir. |Probabilidad de duplicar objetos únicos en la Falla inestable; el objeto adicional es espejado|Szansa na duplikację dowolnego dropu Unikalnego Przedmiotu wewnątrz Unstable Rift – dodatkowy przedmiot jest Mirrored
etherUrBig05|Increased Total Magic Find inside Unstable Rift.||Aumento do valor total de Encontrar Itens Mágicos dentro da Fenda Instável.|Увеличенный общий шанс поиска магии в Нестабильном Разломе.|不穩定裂縫內總物品稀有度|不安定な裂け目内での魔法発見総量が増加。 |불안정한 균열 내에서 마법 아이템 발견 확률 증가|Erhöhte Gesamtmenge an Magiefunden innerhalb des Instabilen Risses.|Augmentation du taux de découverte magique total à l'intérieur de la faille instable. |Mayor Hallazgo Mágico total dentro de la Falla inestable|Zwiększona Całkowita Szansa na Magiczne Przedmioty wewnątrz Unstable Rift
etherUrBig06|Increased Unstable Rift discovery range.||Aumentado o alcance de detecção de Fendas Instáveis.|Увеличен радиус обнаружения Нестабильного Разлома.|增加不穩定裂隙的發現範圍。|不安定な裂け目の発見範囲が拡大しました。|불안정한 균열 발견 범위 증가.|Die Entdeckungsreichweite für Instabile Risse wurde erhöht.|Portée de détection des Failles instables augmentée.|Mayor alcance de descubrimiento de Grieta Inestables.|Zwiększono zasięg wykrywania Niestabilnych Szczelin.
etherUrBig07|Chance to warp to Sheeponia when entering Unstable Rift.||Chance de ser teleportado para Sheeponia ao entrar em uma Fenda Instável.|Возможность телепортироваться в Шипонию при входе в Нестабильный Разлом.|進入不穩定裂隙時，有機率躍遷至綿羊之地。|不安定な裂け目に入った際に、シーポニアへワープする確率が上昇しました。|불안정한 균열 진입 시 쉬포니아로 이동할 확률.|Chance, beim Betreten eines Instabilen Risses nach Sheeponia teleportiert zu werden.|Probabilité d'être téléporté à Sheeponia en entrant dans une Faille instable.|Probabilidad de teletransportarse a Sheeponia al entrar en una Grieta Inestable.|Szansa na przeniesienie do Sheeponii po wejściu do Niestabilnej Szczeliny.
etherUrBig08|Chance to warp to Arch Demon’s Plateau when entering Unstable Rift.||Chance de ser teleportado para o Planalto do Arquidemônio ao entrar em uma Fenda Instável.|При входе в Нестабильный Разлом появляется возможность телепортироваться на Плато Верховного Демона.|進入不穩定裂隙時，有機率躍遷至惡魔高原。|不安定な裂け目に入った際に、大悪魔の高原へワープする確率が上昇しました。|불안정한 균열 진입 시 아크 데몬의 고원으로 이동할 확률.|Chance, beim Betreten eines Instabilen Risses zum Plateau des Erz-Dämons teleportiert zu werden.|Probabilité d'être téléporté au Plateau du Démon suprême en entrant dans une Faille instable.|Probabilidad de teletransportarse a la Meseta del Archidemonio al entrar en una Grieta Inestable.|Szansa na przeniesienie na Płaskowyż Arcydemona po wejściu do Niestabilnej Szczeliny.
etherUrBig09|Chance to warp to Angelic Realm when entering Unstable Rift.||Chance de ser teleportado para o Reino Angelical ao entrar em uma Fenda Instável.|При входе в Нестабильный Разлом появляется возможность телепортироваться в Царство Ангелов.|進入不穩定裂隙時，有機率躍遷至天使領域。|不安定な裂け目に入った際に、天使の領域へワープする確率が上昇しました。|불안정한 균열 진입 시 천사의 영역으로 이동할 확률.|Chance, beim Betreten eines Instabilen Risses in das Reich der Engel teleportiert zu werden.|Probabilité d'être téléporté au Royaume angélique en entrant dans une Faille instable.|Probabilidad de teletransportarse al Reino Angelical al entrar en una Grieta Inestable.|Szansa na przeniesienie do Królestwa Aniołów po wejściu do Niestabilnej Szczeliny.
etherUrBig10|Chance for Unstable Dust drops to convert into Destiny Shards.||Chance de converter Pó Instável obtido em Fragmentos do Destino.|Есть вероятность получить Нестабильную Пыль, которую можно обменять на Осколки Судьбы.|不穩定塵埃掉落時，有機率轉化為命運碎片。|不安定な塵のドロップが運命の破片に変換される確率が上昇しました。|불안정한 먼지 드롭이 운명의 파편으로 변환될 확률.|Chance, dass Instabiler Staub beim Aufheben in Schicksalssplitter umgewandelt wird.|Probabilité que la Poussière instable obtenue se transforme en Éclats du destin.|Probabilidad de que el Polvo Inestable obtenido se convierta en Fragmentos del Destino.|Szansa na zamianę wypadającego Niestabilnego Pyłu w Odłamki Przeznaczenia.
