|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
talent_desc_raiseSkeletonWarrior|Raise a skeleton warrior from target corpse to fight on your side.|Raise a skeleton warrior from target corpse to fight on your side.|Invoca um Guerreiro Esqueleto do cadáver alvo para lutar ao seu lado.| Поднимите из трупа скелета-воина, который будет сражаться на вашей стороне.|從目標屍體中召喚骷髏戰士，與你並肩作戰. |対象の死体からスケルトンウォリアーを蘇らせ、味方として戦わせる。|타겟 시체에서 스켈레톤 워리어를 소환하여 당신의 편으로 싸우게 합니다.|Erweckt einen Skelettkrieger aus der anvisierten Leiche, der an eurer Seite kämpft.|Relevez un guerrier squelette du cadavre ciblé pour qu'il se batte à vos côtés.|Levanta un esqueleto guerrero de un cadáver objetivo para que luche a tu lado.|Podnieś szkielet wojownika z docelowego trupa aby walczył po twojej stronie.
talent_desc_skeletonMastery|Increases the life and arcane damage of all your summons.|Increases the life and arcane damage of all your summons.|Aumenta a Vida e o Dano Arcano de todas as suas invocações.| Увеличивает жизнь и урон от тайной магии всех ваших призванных существ.|增加所有召喚物的生命值和奧術傷害. |すべての召喚獣のライフとアーケンダメージを増加させる。|모든 소환수의 생명력과 아케인 데미지를 증가시킵니다.|Erhöht die Lebenspunkte und den Arkanschaden all eurer Beschwörungen.|Augmente les points de vie et les dégâts arcaniques de toutes vos invocations.|Aumenta la vida y el daño arcano de todas tus invocaciones.|Zwiększa życie i obrażenia arcane wszystkich twoich przywołań.
talent_desc_amplifyDamage|Curse monsters in the target area decreasing their damage dealt and inflicting arcane break.|Curse monsters in the target area decreasing their damage dealt and inflicting arcane break.|Amaldiçoa os inimigos na área-alvo, diminuindo o Dano Causado por eles e aplicando Quebra Arcana.| Проклинает монстров в целевой области, уменьшая наносимый ими урон и накладывая эффект «Чародейского прорыва».|詛咒目標區域內的敵人，造成奧術破壞與降低其造成的傷害. |対象範囲のモンスターを呪い、与えるダメージを減少させ、アーケン破壊状態にする。|타겟 지역의 몬스터를 저주하여 입히는 데미지를 감소시키고 아케인 저항을 감소시킵니다.|Verflucht Monster im Zielgebiet, wodurch ihr Schaden verringert und sie den Zustand „Arkaner Bruch“ erleiden.|Maudit les monstres dans la zone ciblée, réduisant leurs dégâts et leur infligeant une rupture arcanique. |Maldice a los monstruos en el área objetivo reduciendo su daño infligido e infligiendo ruptura arcana.|Przeklnij potwory w docelowym obszarze zmniejszając ich zadawane obrażenia i nakładając arcane break.
talent_desc_raiseSkeletonMage|Raise a skeleton mage from target corpse to fight on your side.|Raise a skeleton mage from target corpse to fight on your side.|Invoca um Esqueleto Mago do cadáver alvo para lutar ao seu lado.| Поднимите скелета-мага из трупа цели, чтобы он сражался на вашей стороне.|從目標屍體中復活一個骷髏法師，與你並肩作戰. |対象の死体からスケルトンメイジを蘇らせ、味方として戦わせる。|타겟 시체에서 스켈레톤 메이지를 소환하여 당신의 편으로 싸우게 합니다.|Erwecke einen Skelettmagier aus der Leiche des Ziels, der an deiner Seite kämpft.|Soulevez un Mage squelette du cadavre ciblé pour qu'il se batte à vos côtés.|Levanta un esqueleto mago de un cadáver objetivo para que luche a tu lado.|Podnieś szkielet maga z docelowego trupa aby walczył po twojej stronie.
talent_desc_lifeTap|Curse monsters in the target area increasing any attackers life steal when striking the target.|Curse monsters in the target area increasing any attackers life steal when striking the target.|Amaldiçoa os inimigos na área-alvo, aumentando o Roubo de Vida de qualquer atacante ao atingir o alvo.| Проклинает монстров в области действия, увеличивая кражу жизни у любого атакующего при ударе по цели.|詛咒目標區域內的敵人，增加攻擊者在攻擊目標時的生命偷取. |対象範囲のモンスターを呪い、攻撃者のライフ吸収を増加させる。|타겟 지역의 몬스터를 저주하여 공격자가 타겟을 타격할 때 생명력 흡수 효과를 증가시킵니다.|Verfluche Monster im Zielgebiet und erhöhe so den Lebensraub aller Angreifer, die das Ziel treffen.|Lancez une malédiction sur la zone ciblée qui augmente la vie volée par coup des attaquants.|Maldice a los monstruos en el área objetivo aumentando el robo de vida de cualquier atacante que los golpee.|Przeklnij potwory w docelowym obszarze zwiększając kradzież życia każdego atakującego gdy uderza cel.
talent_desc_summonFrenzy|Temporarily enrage your summons increasing their attack speed and movement speed.|Temporarily enrage your summons increasing their attack speed and movement speed.|Enfureça temporariamente suas Invocações, aumentando a Velocidade de Ataque e a Velocidade de Movimento deles.| Временно приводите в ярость своих призванных существ, увеличивая их скорость атаки и передвижения.|時激怒你的召喚物，提高它們的攻擊速度和移動速度. |一時的に召喚獣を激怒させ、攻撃速度と移動速度を増加させる。|일시적으로 소환수들을 분노시켜 공격 속도와 이동 속도를 증가시킵니다.|Versetze deine Beschwörungen vorübergehend in Raserei, wodurch ihre Angriffs- und Bewegungsgeschwindigkeit erhöht werden.|Enrager vos invocations en augmentant leur vitesse d'attaque et leur vitesse de marche/course pendant une courte période.|Enfurece temporalmente a tus invocaciones aumentando su velocidad de ataque y movimiento.|Tymczasowo rozwściecz swoje przywołania zwiększając ich prędkość ataku i ruchu.
talent_desc_summonDamnedLegion|Summon a damned legion to fight on your side.|Summon a damned legion to fight on your side.|Convoque uma Legião Maldita para lutar ao seu lado.| Призовите проклятый легион, который будет сражаться на вашей стороне.|召喚一個詛咒軍團與你並肩作戰。|呪われた軍団を召喚し、味方として戦わせる。|저주받은 군단을 소환하여 당신의 편으로 싸우게 합니다.|Beschwöre eine verdammte Legion, die an deiner Seite kämpft.|Invoque un légionnaire damné pour combattre à vos côtés.|Invoca una legión maldita para que luche a tu lado.|Przywołaj potępioną legię aby walczyła po twojej stronie.
talent_desc_summonResistances|Increases all resistances and physical damage reduction of your summons.|Increases all resistances and physical damage reduction of your summons.|Aumenta Todas as Resistências e Redução de Dano Físico de suas Invocações.| Увеличивает все сопротивления и снижение физического урона ваших призванных существ.|增加召喚物的所有抗性與物理傷害減免。|召喚獣のすべての抵抗と物理ダメージ軽減を増加させる。|모든 소환수의 저항력과 물리 피해 감소를 증가시킵니다.|Erhöht alle Resistenzen und die Schadensreduktion eurer Beschwörungen.|Augmente la résistance physique et élémentaire de toutes vos invocations.|Aumenta todas las resistencias y la reducción de daño físico de tus invocaciones.|Zwiększa wszystkie odporności i redukcję obrażeń fizycznych twoich przywołań.
talent_desc_summonVengefulSpirit|Summon a vengeful spirit to fight on your side.|Summon a vengeful spirit to fight on your side.|Convoque um Espírito Vingativo para lutar ao seu lado.| Призовите мстительного духа, который будет сражаться на вашей стороне.|召喚復仇之魂與你並肩作戰。 |復讐の精霊を召喚し、味方として戦わせる。|복수의 영혼을 소환하여 당신의 편으로 싸우게 합니다.|Beschwört einen rachsüchtigen Geist, der an eurer Seite kämpft.|Invoque un Esprit vengeur pour combattre à vos côtés.|Invoca un espíritu vengativo para que luche a tu lado.|Przywołaj mściwego ducha aby walczył po twojej stronie.
talent_desc_recallSummons|Recalls all your summons.|Recalls all your summons.|Revoque todas as suas Invocações.| Отменяет все ваши вызовы.|召回你所有的召喚物。 |すべての召喚獣を召喚者のもとに呼び戻す。|모든 소환수를 당신 위치로 불러들입니다.|Ruft alle eure Beschwörungen zurück.|Rappelle toutes vos invocations.|Retira todas tus invocaciones.|Przywołuje z powrotem wszystkie twoje przywołania.
|||||||||||
talent_name_quickSlash|Quickslash|Quickslash|Corte Rápido| Быстрый удар|快速斬擊|クイックスラッシュ|빠른 베기|Schneller Hieb|Tranche directe|Corte Rápido|Szybkie Cięcie
talent_name_battleGlance|Battle Glance|Battle Glance|Olhar de Batalha| Боевой взгляд|戰鬥閃光|バトル グランス|전투 시선|Kampfblick|Aperçu du combat|Mirada de Batalla|Spojrzenie Bitewne
talent_name_evasion|Evasion|Evasion|Evasão| Уклонение|闪閃避避|回避|회피|Ausweichen|Évasion|Evasión|Unik
talent_name_smokeBomb|Smoke Bomb|Smoke Bomb|Bomba de Fumaça| Дымовая шашка|煙霧彈|スモーク ボム|연막탄|Rauchbombe|Bombe fumigène|Bomba de Humo|Dymna Bomba
talent_name_shurikenThrow|Shuriken Throw|Shuriken Throw|Arremesso de Shuriken| Бросок сюрикена|投擲手裏劍|手裏剣投げ|수리검 투척|Shurikenwurf|Lancer de shuriken|Lanzamiento de Shuriken|Rzut Shurikenem
talent_name_warriorsSpirit|Warrior’s Spirit|Warrior’s Spirit|Espírito do Guerreiro| Дух Воина|武士之魂|戦士の精神|전사의 정신|Kriegergeist|Esprit du guerrier|Espíritu del Guerrero|Duch Wojownika
talent_name_bushido|Bushido|Bushido|Bushido| Бусидо|武士道|武士道|부시도|Bushido|Bushido|Bushido|Bushido
talent_name_explosiveKunai|Explosive Kunai|Explosive Kunai|Kunai Explosiva| Взрывной Кунай|爆炸苦無|爆発クナイ|폭발 쿠나이|Explosives Kunai|Kunai explosif|Kunai Explosivo|Eksplozywny Kunai
talent_name_liveByTheSword|Live by the Sword|Live by the Sword|Viva pela Espada| Жить мечом|以劍為生|剣に生きる|검으로 사는 것|Lebe nach dem Schwert|Vivre par l'épée|Vivir por la Espada|Żyj Mieczem
talent_name_fanOfKnives|Fan of Knives|Fan of Knives|Leque de Facas| Фанат ножей|刀扇|ナイフの扇|칼날 회오리|Fächer der Messer|Éventail de couteaux|Abanico de Cuchillos|Wachlarz Noży
talent_name_bladeBarrier|Blade Barrier|Blade Barrier|Barreira de Lâminas| Лезвие Барьера|刃影結界|ブレード バリア|칼날 장벽|Klingenbarriere|Boucliers lames|Barrera de Hojas|Bariera Ostrzy
talent_name_omnislash|Omnislash|Omnislash|Omnicorte| Омнислэш|無敵斬|オムニスラッシュ|전방위 베기|Omnislash|Omnislash|Omnislash|Omnislash
talent_name_explodingBolas|Exploding Bolas|Exploding Bolas|Bolas Explosivas| Взрывающиеся болы|爆炸流星錘|爆発するボーラ|폭발 볼라|Explodierende Bolas|Bolas explosif|Bolas Explosivas|Eksplodujące Bolasy
talent_name_wayOfTheWarrior|Way of the Warrior|Way of the Warrior|Caminho do Guerreiro| Путь воина|武士之道|戦士の道|전사의 길|Weg des Kriegers|Voie du guerrier|Camino del Guerrero|Droga Wojownika
talent_name_forHonor|For Honor|For Honor|Pela Honra| За честь|為了榮譽|名誉のために|명예를 위하여|Für die Ehre|Pour l'honneur|Por Honor|Dla Honoru
talent_name_shadowStep|Shadow Step|Shadow Step|Passo das Sombras| Шаг тени|暗影步伐|シャドウ ステップ|그림자 걸음|Schattenschritt|Pas de l'ombre|Paso Sombrío|Krok w Cień
talent_name_burstOfSpeed|Burst of Speed|Burst of Speed|Surto de Velocidade| Всплеск скорости|速度爆發|バースト オブ スピード|속도 폭발|Geschwindigkeitsschub|Explosion de vitesse|Ráfaga de Velocidad|Wybuch Prędkości
talent_name_empiresSlash|Empire’s Slash|Empire’s Slash|Corte do Império| Слэш Империи|帝國斬|帝国の斬撃 |제국의 베기 |Hieb des Imperiums|Taillade de l'Empire|Corte del Imperio|Uderzenie Cesarza
|||||||||||
talent_desc_quickSlash|Perform a quick dash unleashing area of effect slash dealing increased physical damage and knocking up monsters.|Perform a quick dash unleashing area of effect slash dealing increased physical damage and knocking up monsters.|Executa um avanço rápido seguido de um corte em área que causa Dano Físico e arremessa os inimigos ao ar.| Совершите быстрый рывок, вызвав удар по области, наносящий повышенный физический урон и подбрасывающий монстров.|快速衝刺，釋放範圍斬擊，造成物理傷害並擊飛怪物. |素早く突進し、範囲内にスラッシュを放って物理ダメージを増加させ、モンスターを打ち上げる。|빠른 돌진 후 광역 베기를 사용하여 물리 데미지를 증가시키고 적들을 공중에 띄웁니다.|Führe einen schnellen Sprint aus, der einen Flächenangriff mit erhöhtem physischen Schaden verursacht und Monster in die Luft schleudert.||Realiza un rápido dash liberando un corte en área que inflige daño físico aumentado y derriba a los monstruos.|Wykonaj szybki skok uwalniając cięcie obszarowe zadające zwiększone obrażenia fizyczne i wyrzucające potwory w górę.
talent_desc_battleGlance|Perform an area of effect attack with increased damage and attack rating.|Perform an area of effect attack with increased damage and attack rating.|Realiza um ataque em área com aumento de Dano Físico e de Precisão de Ataque.| Выполнить атаку по области с повышенным уроном и рейтингом атаки.|進行範圍攻擊，增加攻擊命中和造成傷害. |範囲攻撃を行い、ダメージと命中率を増加させる。|광역 공격을 수행하여 데미지와 명중률을 증가시킵니다.|Führe einen Flächenangriff mit erhöhtem Schaden und Angriffswert aus.|Effectue une attaque de zone avec un niveau d'attaque et des dégâts accrus. |Realiza un ataque en área con daño e índice de ataque aumentados.|Wykonaj atak obszarowy ze zwiększonymi obrażeniami i trafieniem ataku.
talent_desc_evasion|Gain a chance to evade melee and ranged attacks.|Gain a chance to evade melee and ranged attacks.|Ganhe uma chance de se esquivar de ataques corpo a corpo e à distância.| Получите шанс уклониться от атак ближнего и дальнего боя.|有機率躲避近戰和遠程攻擊. |近接攻撃と遠距離攻撃を回避するチャンスを得る。|근접 및 원거리 공격을 회피할 확률을 얻습니다.|Erhält eine Chance, Nah- und Fernkampfangriffen auszuweichen.|Gagne une chance d'esquiver les attaques de mêlée et à distance.|Obtienes probabilidad de esquivar ataques cuerpo a cuerpo y a distancia.|Zyskaj szansę na unik ataków wręcz i zasięgowych.
talent_desc_smokeBomb|Explode a smoke bomb dealing arcane damage.|Explode a smoke bomb dealing arcane damage.|Explode uma bomba de fumaça que causa Dano Arcano.| Взорвите дымовую шашку, нанося урон тайной магией.|引爆煙霧彈，造成奧術傷害. |煙幕弾を爆発させてアーケンダメージを与える。|연막탄을 터뜨려 아케인 데미지를 입힙니다.|Lass eine Rauchbombe explodieren, die Arkanschaden verursacht.|Fait exploser une bombe fumigène ralentissant, infligeant des dégâts et réduisant le niveau d'attaque de l'ennemi.|Explota una bomba de humo infligiendo daño arcano.|Wysadź dymną bombę zadającą obrażenia arcane.
talent_desc_shurikenThrow|Throw three piercing Shurikens at your target dealing increased damage.|Throw three piercing Shurikens at your target dealing increased damage.|Arremessa três Shurikens perfurantes em seu alvo, causando Dano Físico.| Бросьте в цель три пронзающих сюрикена, нанося повышенный урон.|向目標投擲三枚穿透手裏劍造成傷害. |対象に向かって3本の貫通手裏剣を投げ、ダメージを増加させる。|세 개의 관통하는 수리검을 던져 추가 데미지를 입힙니다.|Wirf drei durchdringende Shuriken auf dein Ziel, die erhöhten Schaden verursachen.|Lance des shurikens perforants dans la direction ciblée, infligeant des dégâts physiques.|Lanza tres shurikens perforantes a tu objetivo infligiendo daño aumentado.|Rzuć trzema przebijającymi shurikenami w swój cel zadając zwiększone obrażenia.
talent_desc_warriorsSpirit|Increases your attack speed.|Increases your attack speed.|Aumenta a sua Velocidade de Ataque.| Увеличивает скорость атаки.|增加你的攻擊速度. |攻撃速度を増加させる。|공격 속도를 증가시킵니다.|Erhöht deine Angriffsgeschwindigkeit.|Augmente votre vitesse d'attaque.|Aumenta tu velocidad de ataque.|Zwiększa twoją prędkość ataku.
talent_desc_bushido|Activate to gain a buff that increases your attack damage for every 10% of missing Life.|Activate to gain a buff that increases your attack damage for every 10% of missing Life.|Aumenta o Dano de Ataque para cada 10% de Vida perdida.| Активируйте, чтобы получить бафф, увеличивающий урон от атак за каждые 10% недостающей Жизни.|開啟後,每損失10%的生命值，獲得額外攻擊傷害的增益效果. |生命が10％減るごとに攻撃ダメージが増加するバフを発動する。|활성화 시, 생명력의 10%마다 공격 데미지가 증가하는 버프를 얻습니다.|Aktiviere diese Fertigkeit, um einen Buff zu erhalten, der deinen Angriffsschaden für je 10 % fehlendes Leben erhöht.|Augmente les dégâts d'attaque par tranche de 10% de vie manquante.|Actívalo para obtener un buff que aumenta tu daño de ataque por cada 10% de vida faltante.|Aktywuj aby zyskać buff który zwiększa twoje obrażenia ataku za każde 10% brakującego życia.
talent_desc_explosiveKunai|Throw an explosive kunai that explodes and splits on impact, causing smaller explosions that deal Arcane damage.|Throw an explosive kunai that explodes on impact dealing area of effect arcane damage.|Arremessa uma Kunai Explosiva que se divide no impacto, causando explosões menores que causam Dano Arcano.| Бросьте взрывной кунай, который взрывается при ударе, нанося урон тайной магией по области действия.|投擲一枚爆破苦無，命中時引爆並分裂，造成二次小範圍奧術爆破傷害. |着弾時に爆発し、範囲のアーケンダメージを与える爆発手裏剣を投げる。|폭발하는 쿠나이를 던져 충격 시 범위 아케인 데미지를 입힙니다.|Wirf ein explosives Kunai, das beim Aufprall explodiert und Flächenschaden verursacht.|Lance un Kunai explosif qui inflige des dégâts de zone et étourdit les ennemis à l'impact.|Lanza un kunai explosivo que explota al impactar infligiendo daño arcano en área.|Rzuć eksplozywnym kunai który eksploduje przy uderzeniu zadając obrażenia obszarowe arcane.
talent_desc_liveByTheSword|Temporarily increases your attack speed and movement speed.|Temporarily increases your attack speed and movement speed.|Aumenta temporariamente sua Velocidade de Ataque e a Velocidade de Movimento.| Временно увеличивает скорость атаки и скорость передвижения.|暫時增加你的攻擊速度和移動速度. |攻撃速度と移動速度を一時的に増加させる。|일시적으로 공격 속도와 이동 속도를 증가시킵니다.|Erhöht vorübergehend deine Angriffs- und Bewegungsgeschwindigkeit.|Augmente votre vitesse d'attaque et votre vitesse de marche/course pendant une courte période.|Aumenta temporalmente tu velocidad de ataque y movimiento.|Tymczasowo zwiększa twoją prędkość ataku i ruchu.
talent_desc_fanOfKnives|Attacks have a chance to throw knives around you dealing damage physical damage to nearby monsters. Additionally the knives have a chance to ricochet to nearby monsters.|Attacks have a chance to throw knives around you dealing damage to nearby monsters. Additionally the knives have a chance to ricochet to nearby monsters.|Ataques tem uma chance de arremessar facas ao seu redor causando Dano Físico em inimigos próximos. Adicionalmente, as facas podem ricochetear para outros inimigos.| Атаки имеют шанс метать ножи вокруг вас, нанося урон ближайшим монстрам. Кроме того, ножи имеют шанс рикошетить в ближайших монстров.|攻擊有機會在你周圍投擲刀子，對附近的怪物造成傷害. 此外刀子有機率反彈到附近的怪物身上. |攻撃時に周囲にナイフを投げることがあり、近くのモンスターにダメージを与える。ナイフはさらに近くのモンスターに跳ね返ることもある。|공격 시 주변에 칼날을 던져 근처 적에게 데미지를 입힙니다. 또한 칼날이 튕겨서 추가로 근처 적에게 데미지를 입힐 확률이 있습니다.|Angriffe können Messer um dich herum schleudern, die Monstern in der Nähe Schaden zufügen. Zusätzlich besteht die Chance, dass die Messer von Monstern in der Nähe abprallen.|Projette des couteaux autour de vous en infligeant des dégâts aux ennemis proches.|Los ataques tienen probabilidad de lanzar cuchillos a tu alrededor que infligen daño a los monstruos cercanos. Además, los cuchillos tienen probabilidad de rebotar a monstruos cercanos.|Ataki mają szansę rzucić nożami wokół ciebie zadając obrażenia pobliskim potworom. Dodatkowo noże mają szansę odbić się do pobliskich potworów.
talent_desc_bladeBarrier|Summon a barrier of rotating blades around you dealing Physical Damage and additional Arcane Damage.|Summon a barrier of rotating blades around you dealing increased damage and additional arcane damage.|Invoca uma barreira de lâminas giratórias ao seu redor, causando Dano Físico e Dano Arcano aos inimigos.| Создайте вокруг себя барьер из вращающихся лезвий, наносящих повышенный урон и дополнительный урон от тайной магии.|召喚一個旋轉刀刃屏障，對敵人造成傷害與附加奧術傷害. |自身の周囲に回転する刃のバリアを召喚し、ダメージと追加のアーケンダメージを増加させる。|회전하는 칼날 장벽을 소환하여 추가 아케인 데미지와 함께 데미지를 증가시킵니다.|Beschwöre eine Barriere aus rotierenden Klingen um dich herum, die erhöhten Schaden und zusätzlichen Arkanschaden verursacht.|Créez une barrière de lames rotatives autour de vous, infligeant des dégâts aux ennemis qui entrent en contact.|Invoca una barrera de hojas giratorias a tu alrededor que inflige daño aumentado y daño arcano adicional.|Przywołaj barierę wirujących ostrzy wokół ciebie zadającą zwiększone obrażenia i dodatkowe obrażenia arcane.
talent_desc_omnislash|Become untargetable and rapidly strike monsters multiple times with increased attack rating dealing increased damage.|Become untargetable and rapidly strike monsters multiple times with increased attack rating dealing increased damage.|Torna-se inatingível e acerta rapidamente os inimigos várias vezes, causando Dano Físico.| Станьте невидимым для выбора и быстро наносите множество ударов по монстрам с повышенным рейтингом атаки, нанося повышенный урон.|變成無法被選中的狀態,增加攻擊命中率，並快速對怪物造成多次傷害. |ターゲットされなくなり、攻撃命中率が増加した連続攻撃を素早く放ち、ダメージを増加させる。|타겟팅 불가 상태가 되어 여러 번 빠르게 공격하여 명중률과 데미지를 증가시킵니다.|Wird nicht anvisierbar und greife Monster mit erhöhter Angriffsstärke mehrmals schnell hintereinander an, wodurch erhöhter Schaden verursacht wird.|Frappez plusieurs ennemis sans les cibler.|Te vuelves intargeteable y golpeas rápidamente a los monstruos varias veces con índice de ataque aumentado e infligiendo daño aumentado.|Stań się nietykalny i szybko uderzaj potwory wiele razy ze zwiększonym trafieniem ataku zadając zwiększone obrażenia.
talent_desc_explodingBolas|Throw bolas that deal arcane damage on impact and again when they explode after a short delay. |Throw bolas that deal arcane damage on impact and again when they explode after a short delay. |Arremessa bolas nos inimigos que causam Dano Arcano ao contato e explodem após um curto período, causando Dano Arcano novamente.| Бросайте боласы, которые наносят урон тайной магией при ударе и еще раз при взрыве после небольшой задержки.|投擲流星錘,在撞擊時造成奧術傷害,並在短暫延遲後再次造成傷害. |着弾時と短い遅延の後に爆発するボーラスを投げてアーケンダメージを与える。|볼라를 던져 충격 시 아케인 데미지를 입히고, 잠시 후 폭발하여 다시 데미지를 입힙니다.|Wirf Bolas, die beim Aufprall und nach kurzer Verzögerung bei der Explosion Arkanschaden verursachen.|Lance des bolas perforants qui ralentissent les ennemis et infligent des dégâts de zone lorsqu'ils explosent.|Lanza bolas que infligen daño arcano al impactar y nuevamente al explotar tras un breve retraso. |Rzuć bolas które zadają obrażenia arcane przy uderzeniu i ponownie gdy eksplodują po krótkim opóźnieniu.
talent_desc_wayOfTheWarrior|Increases your attack damage and magic skill damage.|Increases your attack damage and magic skill damage.|Aumenta o seu Dano de Ataque e o Dano de Habilidades Mágicas.| Увеличивает урон от атак и магических навыков.|增加你的攻擊傷害和魔法技能傷害. |攻撃ダメージと魔法スキルダメージを増加させる。|공격 데미지와 마법 스킬 데미지를 증가시킵니다.|Erhöht deinen Angriffs- und Magieschaden.|Augmente tous les dégâts physiques infligés.|Aumenta tu daño de ataque y daño de habilidades mágicas.|Zwiększa twoje obrażenia ataku i obrażenia umiejętności magicznych.
talent_desc_forHonor|Temporarily increases your attack damage and movement speed.|Temporarily increases your attack damage and movement speed.|Aumenta temporariamente o seu Dano de Ataque e a Velocidade de Movimento.| Временно увеличивает урон от атак и скорость передвижения.|暫時增加你的攻擊傷害和移動速度. |攻撃ダメージと移動速度を一時的に増加させる。|일시적으로 공격 데미지와 이동 속도를 증가시킵니다.|Erhöht vorübergehend deinen Angriffsschaden und deine Bewegungsgeschwindigkeit.|Augmente vos dégâts d'attaque et votre vitesse de marche/course pendant une courte période.|Aumenta temporalmente tu daño de ataque y velocidad de movimiento.|Tymczasowo zwiększa twoje obrażenia ataku i prędkość ruchu.
talent_desc_shadowStep|Step into the shadows, re-appearing at the target location dealing Arcane Damage to all nearby monsters.|Step into the shadows re-appearing at target location dealing area of effect damage and additional arcane damage to all nearby monsters.|Entra nas sombras e reaparece no local-alvo, causando Dano Arcano em área a todos os inimigos próximos.| Шагните в тень, вновь появившись в указанном месте, нанося урон по области и дополнительный урон от тайной магии всем ближайшим монстрам.|踏入暗影，於目標位置重新現身，對周圍所有怪物造成奧術傷害. |影に入り、対象地点に現れて範囲ダメージと追加のアーケンダメージを周囲のモンスターに与える。|그림자 속으로 들어가 대상 위치에 다시 나타나 근처의 모든 적에게 광역 데미지와 추가 아케인 데미지를 입힙니다.|Tritt in die Schatten und erscheine am Zielort wieder. Verursache Flächenschaden und zusätzlichen Arkanschaden an allen Monstern in der Nähe.|S'enfonce dans l'ombre et réapparaît à l'endroit ciblé en infligeant des dégâts de zone à tous les ennemis proches.|Entra en las sombras y reaparece en la ubicación objetivo infligiendo daño en área y daño arcano adicional a todos los monstruos cercanos.|Wkrocz w cienie pojawiając się ponownie w miejscu celu zadając obrażenia obszarowe i dodatkowe obrażenia arcane wszystkim pobliskim potworom.
talent_desc_burstOfSpeed|Gain increased movement speed for a short period after killing a monster.|Gain increased movement speed for a short period after killing a monster.|Ganhe um buff de Velocidade de Movimento por um curto período após matar um inimigo.| Убив монстра, вы на короткое время увеличиваете скорость передвижения.|殺死怪物後，短時間內增加移動速度. |モンスターを倒した後、短時間移動速度が増加する。|적을 처치한 후 일정 시간 동안 이동 속도가 증가합니다.|Erhältst nach dem Töten eines Monsters kurzzeitig erhöhte Bewegungsgeschwindigkeit.|Augmente la vitesse de marche/course pendant une courte période après avoir tué un ennemi.|Obtienes velocidad de movimiento aumentada durante un breve período tras matar a un monstruo.|Zyskaj zwiększoną prędkość ruchu na krótki czas po zabiciu potwora.
talent_desc_empiresSlash|Perform an area of effect attack blinking a short distance and dealing physical damage to monsters in its path. Empire slash lowers Omnislashes cooldown when it strikes a monster.|Perform an area of effect attack blinking a short distance and dealing damage to monsters in its path. Empire slash lowers Omnislashes cooldown when it strikes a monster.|Executa um enorme ataque em área, avançando uma curta distância e causando Dano Físico aos inimigos em seu caminho. Corte do Império reduz o tempo de recarga do Omnicorte quando atinge um inimigo.| Выполняет атаку по области, перемещаясь на небольшое расстояние и нанося урон монстрам на своем пути. Empire slash снижает время восстановления Omnislashes, когда поражает монстра.|執行範圍攻擊，在短距離內閃現並對路徑上的怪物造成傷害. 帝國斬在擊中怪物時會降低無敵斬的冷卻時間. |範囲攻撃を行い、短距離瞬間移動しながら経路上のモンスターにダメージを与える。エンパイアスラッシュはモンスターに命中するとオムニスラッシュのクールダウンを短縮する。|짧은 거리를 순간 이동하며 범위 공격을 수행하여 지나가는 적에게 피해를 입힙니다. 제국의 베기는 전방위 베기의 쿨타임을 감소시킵니다.|Führe einen Flächenangriff aus, teleportiere dich kurz und verursache Schaden an Monstern auf deinem Weg. Imperiumsschlag verringert die Abklingzeit von Omnischlag, wenn er ein Monster trifft.|Effectue une énorme attaque de zone en se déplaçant sur une courte distance et en infligeant des dégâts aux ennemis sur son passage.|Realiza un ataque en área parpadeando una corta distancia e infligiendo daño a los monstruos en su trayectoria. El Corte del Imperio reduce el tiempo de reutilización de Omnislash al golpear a un monstruo.|Wykonaj atak obszarowy blinkując na krótką odległość i zadając obrażenia potworom na swojej drodze. Uderzenie Cesarza obniża cooldown Omnislash gdy trafi potwora.
|||||||||||
talent_name_vengeance|Vengeance|Vengeance|Vingança| Месть|復仇|復讐|벤젠스|Rache|Vengeance|Venganza|Zemsta
talent_name_thunderShield|Thunder Shield|Thunder Shield|Escudo do Trovão| Громовой щит|雷霆之盾|サンダーシールド|썬더 쉴드|Donnerschild|Bouclier du tonnerre|Escudo de Trueno|Tarcza Pioruna
talent_name_lightningFury|Lightning Fury|Lightning Fury|Fúria do Relâmpago| Молниеносная ярость|閃電之怒|ライトニングフューリー|라이트닝 퓨리|Blitzwut|Colère de la foudre|Furia de Rayos|Furia Błyskawicy
talent_name_holyShockAura|Holy Shock Aura|Holy Shock Aura|Aura de Choque Sagrado| Аура Святого Шока|神聖衝擊光環|ホーリーショックオーラ|홀리 쇼크 오라|Aura des Heiligen Schocks|Aura de choc saint|Aura de Choque Sagrado|Aura Świętego Szoku
talent_name_divineStorm|Divine Storm|Divine Storm|Tempestade Divina| Божественный Шторм|神聖風暴|ディバインストーム|디바인 스톰|Göttlicher Sturm|Tempête divine|Tormenta Divina|Boska Burza
talent_name_fanaticismAura|Fanaticism Aura|Fanaticism Aura|Aura de Fanatismo| Аура фанатизма|狂熱光環|ファナティシズムオーラ|파나티시즘 오라|Aura des Fanatismus|Aura de fanatisme|Aura de Fanatismo|Aura Fanatyzmu
talent_name_ballLightning|Ball Lightning|Ball Lightning|Bola de Raio| Шаровая молния|球狀閃電|ボールライトニング|볼 라이트닝|Kugelblitz|Boule de foudre|Bola de Rayos|Kula Błyskawicy
