[zone]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
Act_01_Pregame|River of Inoya|Inoyan Joki|Rio de Inoya| Река Иноя|伊諾亞之河|イノヤ川|이노야의 강|Fluss von Inoya|Rivière d'Inoya
Frozen_Cellar_01_rm|Frozen Cellar Level 1|Jäätynyt Kellari Taso 1|Porão Congelado Nível 1| Замороженный погреб, уровень 1|冰凍地窖1層|フローズンセラー レベル1|냉동 저장실 레벨 1|Gefrorener Keller Level 1|Cave glacée niveau 1
Frozen_Cellar_02_rm|Frozen Cellar Level 2|Jäätynyt Kellari Taso 2|Porão Congelado Nível 2| Замороженный погреб, уровень 2|冰凍地窖2層|フローズンセラー レベル2|냉동 저장실 레벨 2|Gefrorener Keller Level 2|Cave glacée niveau 2
Pumpkin_Cellar_01_rm|Pumpkin Cellar|Kurpitsakellari|Porão de Abóbora| Тыквенный погреб|南瓜地窖|パンプキンセラ|호박 저장실|Kürbiskeller|Remise à citrouilles
Abandoned_Mine_01_rm|Abandoned Mine|Hylätty Kaivos|Mina Abandonada| Заброшенная шахта|廢棄礦井|廃坑|버려진 광산|Verlassene Mine|Mine abandonnée
Old_Copper_Mine_01_rm|Old Copper Mine|Vanha kuparikaivos|Antiga Mina de Cobre| Старый медный рудник|舊銅礦井||오래된 구리 광산||Ancienne mine de cuivre
Forgotten_City_01_rm|Forgotten City Level 1|Kadonnut Kaupunki Taso 1|Cidade Esquecida Nível 1| Забытый Город Уровень 1|被遺忘的城市1層|忘却都市 レベル1|잊혀진 도시 레벨 1|Vergessene Stadt Level 1|Cité oubliée niveau 1
Forgotten_City_02_rm|Forgotten City Level 2|Kadonnut Kaupunki Taso 2|Cidade Esquecida Nível 2| Забытый Город Уровень 2|被遺忘的城市2層|忘却都市 レベル2|잊혀진 도시 레벨 2|Vergessene Stadt Level 2|Cité oubliée niveau 2
Ancient_City_01_rm|Ancient City Level 1|Muinainen kaupunki, taso 1|Cidade Antiga Nível 1| Древний город, уровень 1|古城1層|古代都市レベル1|고대 도시 레벨 1|Antike Stadt Level 1|Ancienne cité niveau 1
Ancient_City_02_rm|Ancient City Level 2|Muinainen kaupunki, taso 2|Cidade Antiga Nível 2| Древний город, уровень 2|古城2層|古代都市レベル2|고대 도시 레벨 2|Antike Stadt Level 2|Ancienne cité niveau 2
Ancient_City_03_rm|Ancient City Level 3|Muinainen kaupunki, taso 3|Cidade Antiga Nível 3| Древний город, уровень 3|古城3層|古代都市レベル3|고대 도시 레벨 3|Antike Stadt Level 3|Ancienne cité niveau 3
Sand_Cave_01_rm|Sand Cave|Hiekkaluola|Caverna de Areia| Песчаная пещера|沙洞|砂の洞窟|모래 동굴|Sandhöhle|Caverne ensevelie
Cauflax_Tomb_01_rm|Cauflax Tomb Level 1|Cauflax-hauta, taso 1|Tumba Cauflax Nível 1| Гробница Кауфлакс, уровень 1|卡夫拉克斯墓1層|コーフラックスの墓レベル1|카우플락스 무덤 레벨 1|Cauflax Grab Level 1|Tombe de Cauflax niveau 1
Cauflax_Tomb_02_rm|Cauflax Tomb Level 2|Cauflax-hauta, taso 2|Tumba Cauflax Nível 2| Гробница Кауфлакс, уровень 2|卡夫拉克斯墓2層|コーフラックスの墓レベル2|카우플락스 무덤 2 층|Cauflax Grab Level 2|Tombe de Cauflax niveau 2
Cauflax_Tomb_03_rm|Cauflax Tomb Level 3|Cauflax-hauta, taso 3|Tumba Cauflax Nível 3| Гробница Кауфлакс, уровень 3|卡夫拉克斯墓3層|コーフラックスの墓レベル3|카우플락스 무덤 레벨 3|Cauflax Grab Level 3|Tombe de Cauflax niveau 3
Devils_Hole_01_rm|Devil's Hole|Paholaisen reik|Buraco do Diabo| Дьявольская дыра|魔鬼之穴|悪魔の穴|악마의 구멍|Teufelsloch|Fosse du diable
Fuji_Crater_01_rm|Fuji Crater Level 1|Fuji-kraatteri, taso 1|Cratera Fuji Nível 1| Кратер Фудзи, уровень 1|富士火山口1層|富士クレーターレベル1|후지 분화구 레벨 1|Fuji-Krater Stufe 1|Cratère Fuji niveau 1
Fuji_Crater_02_rm|Fuji Crater Level 2|Fuji-kraatteri, taso 2|Cratera Fuji Nível 2| Кратер Фудзи, уровень 2|富士火山口2層|富士クレーターレベル2|후지 분화구 레벨 2|Fuji-Krater Stufe 2|Cratère Fuji niveau 2
Kaojin_Temple_01_rm|Kaojin Temple 1|Kaojinin temppeli|Templo Kaojin Nível 1| Храм Каодзин 1|高津寺1層|カオジン寺院|카오진 사원 1|Kaojin-Tempel|Temple Kaojin niveau 1
Kaojin_Temple_02_rm|Kaojin Temple 2|Kaojinin temppeli|Templo Kaoijin Nível 2| Храм Каодзин 2|高津寺2層|カオジン寺院|카오진 사원 2|Kaojin-Tempel|Temple Kaojin niveau 2
Underground_Garden_01_rm|Underground Garden|Maanalainen Puutarha|Jardins Subterrâneos| Подземный Сад|地下花園|地下庭園|지하 정원|Unterirdischer Garten|Jardin souterrain
Temple_Trapdoor_01_rm|Temple Trapdoor 1|Temppelin Luukku 1|Alçapão do Templo 1| Храмовый люк 1|寺廟暗門1層|寺院の落とし戸 1|트랩도어 사원 1|Tempelfalltür 1|Pièce secrète du temple niveau 1
Temple_Trapdoor_02_rm|Temple Trapdoor 2|Temppelin Luukku 2|Alçapão do Templo 2| Храмовый люк 2|寺廟暗門2層|寺院の落とし戸 2|트랩도어 사원 2|Tempelfalltür 2|Pièce secrète du temple niveau 2
Unmarked_Grave_01_rm|Unmarked Grave|Merkitsemätön Hauta|Túmulo sem Identificação| Безымянная могила|無標記墳墓|墓標のない墓|표식 없는 무덤|Unmarkiertes Grab|Tombe anonyme
Distorted_Horizons_01_rm|Distorted Horizon 1|Vääristynyt Horisontti 1|Horizontes Distorcidos 1| Искаженный горизонт 1|扭曲地平線1層|歪んだ地平線 1|왜곡된 지평선 1|Verzerrter Horizont 1|Horizon distordu niveau 1
Distorted_Horizons_02_rm|Distorted Horizon 2|Vääristynyt Horisontti 2|Horizontes Distorcidos 2| Искаженный горизонт 2|扭曲地平線2層|歪んだ地平線 2|왜곡된 지평선 2|Verzerrter Horizont 2|Horizon distordu niveau 2
Distorted_Horizons_03_rm|Distorted Horizon 3|Vääristynyt Horisontti 3|Horizontes Distorcidos 3| Искаженный горизонт 3|扭曲地平線3層|歪んだ地平線 3|왜곡된 지평선 3|Verzerrter Horizont 3|Horizon distordu niveau 3
Arm_Storage_01_rm|Arm Storage|Asevarasto|Armazém de Armas| Хранилище оружия|武器儲藏室|武器庫|무기창고|Waffenlager|Stockage de bras
Arm_Storage_Easter_egg_rm|Hidden Storage Cabinet|Piilotettu Varastokaappi|Armazém Oculto| Скрытый шкаф для хранения|隱藏收納庫|隠し収納棚|숨겨진 저장 캐비닛|Versteckter Lagerschrank|Meuble de rangement caché
Niflhel_01_rm|Niflhel|Niflhel|Nilflhel| Нифльхель|尼夫海姆|ニヴルヘル|니플헤임|Niflhel|Niflhel
Muspelheim_01_rm|Muspelheim|Muspelheim|Muspelheim| Муспельхейм|穆斯貝爾海姆|ムスペルヘイム|무스펠헤임|Muspelheim|Muspelheim
Naga_Temple_01_rm|Naga Temple 1|Naga Temple 1|Templo Naga 1| Храм Нага 1|娜迦神廟1層|ナーガ寺院 1|나가 사원 1|Naga-Tempel 1|Temple Naga niveau 1
Naga_Temple_02_rm|Naga Temple 2|Naga Temple 2|Templo Naga 2| Храм Нага 2|娜迦神廟2層|ナーガ寺院 2 |나가 사원 2|Naga-Tempel 2 |Temple Naga niveau 2
Gladsheim_Halls_01_rm|Gladsheim Halls 1|Gladsheimin Hallit 1|Salões de Gladsheim 1| Гладсхайм Холлс 1|格拉茲海姆大廳1層|グラッズハイム・ホールズ 1|글레드헤임 홀 1|Gladsheim Hallen 1|Hall de Gladsheim niveau 1
Gladsheim_Halls_02_rm|Gladsheim Halls 2|Gladsheimin Hallit 2|Salões de Gladsheim 2| Гладсхайм Холлс 2|格拉茲海姆大廳2層|グラッズハイム・ホールズ 2 |글레드헤임 홀 2|Gladsheim Hallen 2 |Hall de Gladsheim niveau 2
Bifrost_rm|Bifröst|Bifröst|Bifröst| Бифрост|彩虹橋|ビフロスト|비프로스트|Bifröst|Bifröst
Vanaheim_rm|Vanaheim|Vanaheim|Vanaheim| Ванахейм|華納海姆≤預言青裝≥|ヴァナハイム|바나헤임|Vanaheim|Vanaheim
Asgard_rm|Asgard|Asgard|Asgard| Асгард|阿斯嘉德≤挖礦圖≥|アスガルド|아스가르드|Asgard|Asgard
Niflheim_rm|Niflheim|Niflheim|Niflheim| Нифльхейм|尼弗海姆≤符文增加掉落≥|ニフルハイム|니플헤임|Niflheim|Niflheim
Mists_Of_Chaos_rm|Mists of Chaos|Mists of Chaos|Névoas do Caos| Туманы Хаоса|混亂迷霧≤怪物墮落天使詞≥|混沌の霧 |혼돈의 안개|Nebel des Chaos |Brumes du chaos 
xmas_dungeon_1_rm|North Pole|Korvatunturi|Polo Norte| Северный полюс|北極|北極|북극 툰드라|Nordpol|Pôle Nord
xmas_dungeon_2_rm|Santa's Hut|Joulupukin Tönö|Cabana do Papai Noel| Хижина Санты|聖誕老人小屋|サンタの小屋 |산타의 오두막|Weihnachtsmannhütte |Cabane du Père Noël
Rift_Void_rm|[redacted]|[redaktoitu]|[redigido]| [отредактировано]|[已編輯]|[編集済み]|[수정]|[redigiert]|[redacted]
Rift_Treasure_rm|Rift of Fortune|Rikkauksien Repeämä|Fenda da Fortuna| Трещина в судьбе|財富裂縫|運命の裂け目|행운의 균열|Glücksbruch|Rift of Fortune
Old_Copper_Mine_1_rm|Old Copper Mine|Vanha kuparikaivos|Antiga Mina de Cobre| Старый медный рудник|老銅礦|旧銅山|오래된 구리 광산|Alte Kupfermine|Ancienne mine de cuivre
Angelic_Realm_rm|Angelic Realm|Angelic Realm|Reino Angélico| Ангельское Царство|天使領域|天使界 |천사의 영역|Engelreich |Royaume angélique
Ruby_Gardens_rm|Ruby Gardens|Rubiinipuutarha|Jardins de Rubi| Рубиновые сады|紅寶石花園|ルビーガーデンズ|루비 정원|Rubinengärten|Jardins de Rubis
Shadow_Realm_rm|Shadow Realm|Pimeyden valtakunta|Reino das Sombras| Царство теней|影之領域|シャドーレルム|그림자 왕국|Schattenreich|Royaume des ombres
Shadow_Boss_rm|Reaper's Breach|Kuoleman tyyssija|Fenda do Ceifador| Нарушение Жнеца|死神的缺口|リーパーズ･ブリーチ|사신의 위반|Übertritt des Sensenmanns|Brèche de la Mort
crypt|Ancient Crypt|Muinainen krypta|Cripta Antiga| Древний склеп|古老的地下墓室|古代の地下室|고대의 납골당|Alte Krypta|Ancienne crypte
wormhole|Wormhole|Madonreikä|Buraco de Minhoca| Червоточина|蟲洞|ワームホール|웜홀|Wurmloch|Vortex
dungeon|Dungeon|Tyrmä|Masmorra| Подземелье|地城|ダンジョン|던전|Verlies|Donjon
unstable_rift|Unstable Rift|Epävakaa Repeämä|Falha Instável| Нестабильный Разлом|不穩定裂縫|不安定な裂け目|불안정한 움직임|Instabiler Riss|Faille instable
Arch_Demons_Plateau_rm|Arch Demon’s Plateau|Arkkidemonin Tasanne|Platô do Arquidemônio| Плато Архидемона|惡魔高原|大魔王の高原 |아크 데몬의 고원|Plateau des Erzdämons |Plateau de l'Arch Demon 
Cabin_01_rm|s Cabin|n Mökki|Cabine do | Хижина|小屋| キャビン | 카빈| Kabine | Cabine 
Orres_Lair_rm|Örre's Lair|Örren luola|Covil de Örre| Логово Эрре|Örre的巢穴|オーレの隠れ家|Örre's 둥지|Örres Höhle|Tanière d'Örre
Hero_Editor_rm|Hero Editor|Hahmoeditori|Editor do Herói| Редактор Героев|英雄编辑器|ヒーローエディター |히어로 에디터|Helden-Editor |Éditeur de héros 
Chamber_of_Existence_rm|Chamber of Existence||Câmara da Existência |Палата Существования |存在之室 |存在の部屋 |존재의 방 |Kammer der Existenz |Chambre d'existence |Cámara de la Existencia |Komnata Istnienia
|||||||||||
[Chaos Tower]|||||||||||
Chaos_Tower_xLobby|Tower Lobby|Tornin Aula|Saguão da Torre| Вестибюль башни|塔樓大廳|タワーロビー|타워 로비|Turm Lobby|Lobby de la tour
Chaos_Tower_Boss_1|Ancient Colosseum|Muinainen Areena|Coliseu Antigo| Древний Колизей|古羅馬競技場|古代コロッセオ|고대 콜로세움|Altes Kolosseum|Colisée antique
chaos_tower_enter|Chaos Tower|Kaaoksen torni|Torre do Caos| Башня Хаоса|混沌之塔|カオスタワー|카오스 타워|Chaosturm|Tour du Chaos
next_floor|Next Floor|Seuraava kerros|Próximo Andar| Следующий этаж|下一層|次の階|다음층|Nächste Etage|Étage suivant
Chaos_Tower_Zone_01|Burning Village|Palava kylä|Aldeia em Chamas | Горящая деревня|燃燒村莊|燃える村|불타는 마을|Brennendes Dorf|Village en feu
Chaos_Tower_Zone_02|Glacial Tundra|Jääkauden tundra|Tundra Glacial| Ледниковая тундра|冰河苔原|氷河のツンドラ|빙하 툰드라|Gletschertundra|Toundra glaciaire
Chaos_Tower_Zone_03|Scorching Desert|Polttava autiomaa|Deserto escaldante | Палящая пустыня|灼熱沙漠|灼熱の砂漠|뜨거운 사막|Sengende Wüste|Désert brûlant
Chaos_Tower_Zone_04|Tomb of Abyss|Abyssin hauta|Tumba do Abismo| Гробница Бездны|深淵之墓|深淵の墓|심연의 무덤|Grab des Abgrunds|Tombeau des Abysses
Chaos_Tower_Zone_05|Miner’s Cave|Kaivosmiehen luola|Caverna do Mineiro| Пещера шахтера|礦工洞穴|鉱夫の洞窟|광부의 동굴|Bergarbeiterhöhle|Grotte du mineur
Chaos_Tower_Zone_06|Arreat Summit|Arreatin huippukokous|Cúpula de Arreat| Арреат Саммит|亞瑞特山巔|アリートの頂上|아레앗 정상|Arreat-Gipfel|Sommet d'Arreat
Chaos_Tower_Zone_07|Grave Site|Hautapaikka|Zona dos Túmulos| Место захоронения|墓園|墓地|무덤 터|Grabstätte|Lieu de sépulture
Chaos_Tower_Zone_08|PAS Office|PAS-toimisto|Escritório PAS| Офис PAS|PAS辦公室|PASオフィス|PAS 사무실|PAS-Büro|Bureau du PAS
Chaos_Tower_Zone_09|Penguin Village|Pingviinien kylä|Vila dos Pinguins| Деревня пингвинов|企鵝村|ペンギンの村|펭귄 마을|Pinguindorf|Village des pingouins
Chaos_Tower_Zone_10|Delirium|Delirium|Delírio| Бред|譫妄|錯乱|망상|Delirium|Délire
Chaos_Tower_Zone_11|Ashen Plains|Ashen Plains|Planícies Cinzentas| Эшен Плейнс|灰燼平原|灰の平原|잿빛 평원|Aschene Ebenen|Plaines cendrées
Chaos_Tower_Zone_12|Chapel of Demons|Demonien kappeli|Capela dos Demônios| Часовня Демонов|惡魔教堂|悪魔の礼拝堂|악마의 예배당|Dämonenkapelle|Chapelle des démons
Chaos_Tower_Zone_13|Hellfire Chasm|Hellfire Kuilu|Abismo do Fogo do Inferno| Пропасть Адского Пламени|地獄之火峽谷|地獄の火の裂け目|헬파이어 협곡|Höllenfeuerschlund|Gouffre des Flammes infernales
Chaos_Tower_Zone_14|Deepholm Caves|Deepholmin luolat|Cavernas Deepholm| Пещеры Дипхолма|深岩洞窟|ディープホルム洞窟|딥홀름 동굴|Tiefheim-Höhlen|Grottes du Tréfonds
Chaos_Tower_Zone_15|Eastern Front|Itärintama|Frentes do Leste| Восточный фронт|東線戰線|東部戦線|동부 전선|Ostfront|Front est
Chaos_Tower_Zone_16|Between Time and Space|Ajan ja tilan välissä|Entre o Tempo e o Espaço| Между временем и пространством|時空之間|時空の狭間|시간과 공간 사이|Zwischen Zeit und Raum|Entre-temps et espace
Chaos_Tower_Zone_17|Too Much…|Liian paljon…|Demais...| Слишком…|太多了……|過ぎた…|너무 많다…|Zu viel…|Trop…
Chaos_Tower_Zone_18|Rich Node Village|Rikas solmukylä|Aldeia de Nodos Ricos| Деревня богатых узлов|富裕節點村|リッチノード村|부유한 노드 마을|Reiches Knotendorf|Village des nœuds riches
Chaos_Tower_Zone_19|In the Abyss|Syvyydessä|No Abismo| В Бездне|在深淵中|深淵にて|심연 속에서|Im Abgrund|Dans les Abysses
Chaos_Tower_Zone_20|Fetish Forest|Fetish Forest|Floresta de Fetiches| Фетиш-Форест|神物森林|呪術の森|페티시 숲|Fetischwald|Forêt fétiche
Chaos_Tower_Zone_21|Race Track|Kilparata|Pista de Corrida| Гоночная трасса|賽道|レーストラック|경주로|Rennstrecke|Piste de course
Chaos_Tower_Zone_22|Construction Yard|Rakennuspiha|Pátio de Construção| Строительная площадка|施工場地|建設場|건설 현장|Bauhof|Chantier de construction
Chaos_Tower_Zone_23|Sky Fort|Sky Fort|Forte do Céu| Небесный Форт|天空堡壘|天空の砦|하늘 요새|Himmelsfestung|Fort céleste
Chaos_Tower_Zone_24|Tarethiel Disc Golf Park|Tarethiel Disc Golf Park|Parque de Golfe de Disco de Tarethiel| Парк для диск-гольфа Tarethiel|塔雷希爾飛盤公園|タレシエル・ディスクゴルフ場|타레시엘 디스크 골프 공원|Tarethiel Discgolf-Park|Parc de disc-golf de Tarethiel
Chaos_Tower_Zone_25|Heavens|Taivaat|Céus| Небеса|天堂|天国|천국|Himmel|Cieux
Chaos_Tower_Zone_26|Wetlands|Kosteikot|Áreas Alagadas| Водно-болотные угодья|濕地|湿地|습지대|Feuchtgebiete|Zones humides
Chaos_Tower_Zone_27|Castle Cemetery|Linnan hautausmaa|Cemitério do Castelo| Кладбище замка|城堡墓園|城の墓地|성 묘지|Burgfriedhof|Cimetière du château
Chaos_Tower_Zone_28|Pumpkin Fields|Kurpitsapellot|Campos de Abóbora| Тыквенные поля|南瓜田|パンプキンフィールド|호박밭|Kürbisfelder|Champs de citrouilles
Chaos_Tower_Zone_29|Misty Garden|Sumuinen puutarha|Jardim Nebuloso| Туманный сад|薄霧花園|霧の庭|안개 정원|Nebelgarten|Jardin brumeux
Chaos_Tower_Zone_30|Catacomb Barracks|Katakombin kasarmi |Quartel das Catacumbas| Катакомбы казарм|地下墓穴兵營|カタコンベ兵舎 |지하 묘지 병영|Katakombenkaserne |Caserne des catacombes 
|||||||||||
Fields_Boss_rm|Eternal Battlefield|Ikuinen sotatanner|Campos Eternos de Batalha| Вечное Поле Битвы|永恆戰場|永遠の戦場|영원한 전장|Ewiges Schlachtfeld|Champ de bataille éternel
|||||||||||
[Wormholes]|||||||||||
Wormhole_01_rm|Chapel Catacomb’s Wormhole|Chappelin katakombin madonreikä|Catacumbas da Capela| Червоточина катакомб Шаппеля|教堂地下墓穴的蟲洞|チャペル地下墓地のワームホール|예배당 지하 묘지의 웜홀|Wurmloch der Chappel-Katakombe|Vortex des catacombes de la chapelle
Wormhole_02_rm|Valley of Cauflax Wormhole|Cauflax-madonreiän laakso|Vale do Cauflax| Червоточина Долины Кауфлакс|考夫拉克斯蟲洞谷|カウフラックス渓谷のワームホール|카우플락스 협곡 웜홀|Wurmloch des Cauflax-Tals|Trou de ver de la vallée de Cauflax
Wormhole_03_rm|Great Marsh Wormhole|Suuri suon madonreikä|Grande Pântano| Великая болотная червоточина|大沼澤蟲洞|グレート・マーシュのワームホール|광대한 늪지 웜홀|Wurmloch des Großen Sumpfes|Trou de ver du Grand Marais
Wormhole_04_rm|Sky’s Reach Wormhole|Sky's Reach Madonreikä|Extensão dos Céus| Червоточина Скай Рич|天空之觸蟲洞|スカイズ・リーチのワームホール|하늘의 정점 웜홀|Wurmloch der Himmelsreichweite|Trou de ver de l'Étendue céleste
Wormhole_05_rm|Fallen Realm Wormhole|Fallen Realm Madonreikä|Reino Caído| Червоточина Падшего Царства|殞落王國蟲洞|フォールン・レルムのワームホール|타락한 영역 웜홀|Wurmloch des Gefallenen Reichs|Trou de ver du Royaume déchu
Wormhole_06_rm|The Witch Bog|Witch Bog || Ведьмино болото|女巫沼澤|ウィッチ・ボグ |마녀 늪|Der Hexensumpf |Le marais des sorcières 
|||||||||||
floor|Floor|Kerros|Andar| Пол|地板|床|플로어|Fußboden|Étage|Suelo|Piętro
zone_loading_textures|Loading textures...||Carregando texturas...|Загрузка текстур...|正在加載紋理……|テクスチャを読み込んでいます…|텍스처 불러오는 중...|Texturen werden geladen...|Chargement des textures…|Cargando texturas...|Ładowanie tekstur...
zone_loading_textures_success|Texture Loading Successful!||Carregamento de textura concluído com sucesso!|Загрузка текстур прошла успешно!|紋理加載成功！|テクスチャの読み込みに成功しました！|텍스처 불러오기 완료!|Textur erfolgreich geladen!|Chargement des textures réussi !|¡Carga de texturas completada!|Ładowanie Tekstur Powodzone!
zone_loading_zonegen|Generating Zone...||Gerando zona...|Генерация зоны...|正在生成區域……|ゾーンを生成しています…|영역 생성 중...|Zone wird generiert...|Génération de la zone…|Generando zona...|Generowanie Strefy...
zone_loading_zonegen_success|Zone Generation Successful!||Geração de zona concluída com sucesso! |Генерация зоны прошла успешно! |區域生成成功！ |ゾーンの生成に成功しました！ |영역 생성 완료! |Zone erfolgreich generiert! |Génération de la zone réussie ! |¡Generación de zona completada! |Generowanie Strefy Powodzone! 
