[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
stat_random_skill|Random Skill Element|Satunnainen taitoelementti|Elemento de Habilidade Aleatório|Случайный элемент навыка|隨機元素技能|ランダムスキル属性|무작위 스킬 요소|zufälliges Element|Élément |Elemento de Habilidad Aleatorio|Losowy element umiejętności
stat_max_value|Maximum Value|Suurin arvo|Valor Máximo|Максимальное значение|最大數值|最大値|최대값|Maximaler Wert|Valeur maximale|Valor Máximo|Maksymalna wartość
stat_only_hell5|Usable only on Hell 5 or Inferno difficulty||Usável Apenas na Dificuldade Inferno 5 ou Infernal|Можно использовать только на сложности Ад 5 или Инферно|僅限於地獄 5 或煉獄難度中使用|ヘル5難易度でのみ使用可能|헬 5 난이도에서만 사용 가능|Nur auf dem Schwierigkeitsgrad Hölle 5 oder Inferno verwendbar.|Utilisable uniquement en difficulté Enfer 5 ou Inferno|Solo Utilizable en Dificultad Infierno 5|Używalny tylko na trudności Hell 5 lub Inferno
stat_only_inferno|Usable only on Inferno difficulty||Usável Apenas na Dificuldade Infernal|Можно использовать только на сложности Инферно|僅限於煉獄難度中使用|インフェルノ難易度でのみ使用可能|인페르노 난이도에서만 사용 가능|Nur auf dem Schwierigkeitsgrad Inferno verwendbar.|Utilisable uniquement en difficulté Inferno |Solo Utilizable en Dificultad Infierno|Używalny tylko na trudności Inferno
stat_satanic_disabled|Cannot be used while in the target zone|Ei voida käyttää kohdealueella|Não Pode Ser Usado na Zona Alvo|Нельзя использовать в целевой зоне|在目標區域內無法使用|対象ゾーン内では使用不可|대상 지역에서는 사용할 수 없습니다.|Kann nicht verwendet werden, während man sich in der Zielzone befindet|Ne peut pas être utilisé dans la zone cible|No puede usarse en la zona objetivo|Nie można użyć w docelowej strefie
stat_level|Star Level|Tähtien taso|Nível de Estrela|Уровень звезды|星級|スターレベル|스타 레벨|Sternenlevel|Niveau étoile|Nivel de Estrella|Poziom gwiazdy
stat_sub_skills|to Sub Skills|osataitoihin|Sub-habilidades|Поднавыки|分支技能等級|サブスキルへ|서브 스킬|zu Unterfähigkeiten|aux sous-compétences|a Sub-Habilidades|do podumiejętności
stat_flask_mana_replenish|Mana Regenerated Over Time|Mana uusiutui ajan myötä|Mana Regenerada ao Longo do Tempo|Мана восстанавливается со временем|魔力隨時間回復|時間の経過とともに回復するマナ|시간이 지남에 따라 재생되는 마나|Mana regeneriert sich im Laufe der Zeit|Mana régénéré au fil du temps|Maná Regenerado con el Tiempo|Mana regenerowana w czasie
stat_flask_mana_replenish_p|Mana Regeneration Increased by|Mana Regeneration lisääntynyt|Regeneração de Mana Aumentada|Восстановление маны повышено|魔力回復增加|マナ回復量の増加|마나 재생량 증가|Manaregeneration erhöht um|Régénération de mana augmentée de|Regeneración de Maná Aumentada en|Zwiększona regeneracja many o
stat_flask_life_replenish|Life Regenerated Over Time|Elämä uusiutui ajan myötä|Vida Regenerada ao Longo do Tempo|Жизнь восстанавливается со временем|生命隨時間回復|時間とともに再生される生命|시간이 지남에 따라 재생되는 생명력|Das Leben regeneriert sich im Laufe der Zeit|La vie régénérée au fil du temps|Vida Regenerada con el Tiempo|Życie regenerowane w czasie
stat_flask_life_replenish_p|Life Regeneration Increased by|Life Regeneration lisääntynyt|Regeneração de Vida Aumentada|Восстановление жизни повышено|生命回復增加|ライフ再生の増加量|생명력 재생량 증가|Lebensregeneration erhöht um|Régénération de vie augmentée de|Regeneración de Vida Aumentada en|Zwiększona regeneracja życia o
stat_flask_mana_instant|of Mana Regeneration happens instantly|Mana Regeneration tapahtuu välittömästi|Parte da Regeneração de Mana Acontece Instantaneamente|Часть восстановления маны происходит мгновенно|魔力回復轉為立即生效|マナの回復は瞬時に起こります|마나 재생이 즉시 발생합니다|Die Mana-Regeneration erfolgt sofort|de la régénération de mana se produit instantanément|de Regeneración de Maná Ocurre Instantáneamente|Część regeneracji many dzieje się natychmiast
stat_flask_life_instant|of Life Regeneration happens instantly|Life Regeneration tapahtuu välittömästi|Parte da Regeneração de Vida Acontece Instantaneamente|Часть восстановления жизни происходит мгновенно|生命回復轉為立即生效|生命の再生は瞬時に起こります|생명력 재생이 즉시 발생합니다|Die Lebensregeneration erfolgt sofort|de la régénération de la vie se produit instantanément|de Regeneración de Vida Ocurre Instantáneamente|Część regeneracji życia dzieje się natychmiast
stat_flask_duration|Faster Regeneration|Nopeampi regeneraatio|Regeneração Mais Rápida|Более быстрое восстановление|更快回復速度|より速い再生|빠른 재생|Schnellere Regeneration|Régénération plus rapide|Regeneración Más Rápida|Szybsza regeneracja
stat_flask_stacks|Maximum Stacks|Maksimipinot|Máximo de Acúmulos|Максимум зарядов|最大層數|最大スタック数|최대 스택|Maximale Stapel|Piles maximales|Acumulaciones Máximas|Maksymalna liczba stacków
stat_flask_stacks_kill|Chance to Replenish a Stack after monster kill|Mahdollisuus täydentää pinoa hirviön tappamisen jälkeen|Chance de Recuperar um Acúmulo Após Matar Monstro|Шанс восстановить заряд после убийства монстра|擊殺怪物後機率補充層數|モンスターを倒した後にスタックを補充するチャンス|몬스터 처치 후 스택을 보충할 확률|Chance, einen Stapel nach dem Töten eines Monsters wieder aufzufüllen|Chance de reconstituer une pile après avoir tué un monstre|Probabilidad de Rellenar una Acumulación al Matar Monstruos|Szansa na uzupełnienie stacka po zabiciu potwora
stat_flask_stacks_regen|Stacks regenerated per second|Pinot regeneroituvat sekunnissa|Acúmulos Regenerados por Segundo|Заряды восстанавливаются в секунду|每秒重新補充層數|1 秒あたりに再生成されるスタック数|초당 스택 재생|Pro Sekunde regenerierte Stapel|Piles régénérées par seconde|Acumulaciones Regeneradas por Segundo|Stacki regenerowane na sekundę
stat_flask_cooldown|Flask Cooldown|Kolvin jäähdytys|Tempo de Recarga do Frasco|Перезарядка зелья|藥劑冷卻時間|フラスコのクールダウン|플라스크 쿨다운|Abklingzeit der Flasche|Temps de recharge du flacon|Enfriamiento de Frasco|Czas odnowienia flaszki
stat_flask_duration_time|Effect Duration|Vaikutuksen kesto|Duração do Efeito|Длительность эффекта|藥劑效果持續時間|効果持続時間|효과 지속 시간|Effektdauer|Durée de l'effet|Duración de Efecto|Czas trwania efektu
stat_seconds|Seconds|Sekuntia|Segundos|Секунд|秒|秒|초|Sekunden|Secondes|Segundos|Sekundy
stat_poison_frequency|Poisoned Tick Frequency increased by|Myrkytettyjen punkkien esiintymistiheys kasvoi|Frequência de Tick de Veneno Aumentada|Частота тиков отравления повышена|中毒傷害觸發頻率增加|毒ダニの頻度が増加しました|독 효과 발생 빈도 증가|Die Häufigkeit von Giftschaden über Zeit|Fréquence des tiques empoisonnées augmentée de|Frecuencia de Tics de Veneno Aumentada en|Częstotliwość ticków trucizny zwiększona o
stat_bleed_frequency|Bleed Tick Frequency increased by|||Частота срабатывания кровотечения увеличена на|流血頻率增加||출혈 틱 빈도 증가|||Frecuencia de Tics de Sangrado Aumentada en|
stat_flask_power|Flask Power|Pullon teho|Poder do Frasco|Мощность зелья|藥劑效果|フラスコパワー|플라스크 파워|Trankkraft|Puissance du flacon|Poder de Frasco|Moc flaszki
stat_octaReflect|of Damage Taken Redirected to Octa|vahingoista uudelleenohjattu Octaan|Parte do Dano Recebido Redirecionada para Octa|Часть полученного урона перенаправляется на Окта|承受傷害轉移給 Octa|受けたダメージがオクタにリダイレクトされる|받은 데미지가 Octa로 전환|des erlittenen Schadens wird auf Octa umgeleitet|des dégâts subis redirigés vers Octa|de Daño Recibido Redirigido a Octa|Część otrzymanych obrażeń przekierowana do Octa
stat_cdr_damage|Less damage dealt with skills that have a cooldown|Vähemmän vahinkoa käsiteltiin taidoilla, jotka ovat jäähtyneet|Dano Causado com Habilidades que Possuem Recarga Reduzido|Урон от навыков с перезарядкой снижен|有冷卻時間的技能造成更少傷害|クールダウンのあるスキルで与えるダメージが減少する|쿨타임이 있는 스킬의 데미지가 감소합니다|Mit Fertigkeiten, die eine Abklingzeit haben, wird weniger Schaden verursacht|Moins de dégâts infligés avec les compétences qui ont un temps de recharge|Menos Daño Infligido con Habilidades con Enfriamiento|Mniejsze obrażenia zadawane umiejętnościami z cooldownem
stat_extra_projectile_01|Attacks fire||Ataques Disparam|Атаки выпускают|發射攻擊|火攻撃|불 공격|Angriffe feuern|Attaques : tirs|Ataques Disparan|Ataki wystrzeliwują
stat_extra_projectile_02|extra projectiles||Projéteis Adicionais|дополнительных снарядов|額外投射物|追加の発射物|추가 투사체|zusätzliche Projektile|projectiles supplémentaires|proyectiles extra|dodatkowe pociski
stat_extra_projectile_03|Works with non orbital physical projectiles fired with a ranged weapon.||Funciona com projéteis físicos não-orbitais disparados com arma de longo alcance|Работает с неорбитальными физическими снарядами, выпущенными дальнобойным оружием|適用於遠程武器發射時的非環繞物理投射物|射程距離のある武器で発射される非軌道物理的発射体で動作する|원거리 무기로 발사된 비-궤도 물리적 발사체와 함께 작동.|Funktioniert mit nicht-orbitalen physischen Projektilen, die mit einer Fernkampfwaffe abgefeuert werden.|Fonctionne avec les projectiles physiques non orbitaux tirés avec une arme à distance.|Funciona con proyectiles físicos no orbitales disparados con un arma a distancia.|Działa z nie-orbitalnymi pociskami fizycznymi wystrzeliwanymi z broni dystansowej.
stat_every|Every|Joka|A cada|Каждые|每|毎|모든|Jedes|Chaque|Cada|Co
stat_converted_to|Converted to|Muunnettu muotoon |Convertido em|Превращается в|轉為|変換 |변환됨|Umgewandelt in|Converti en|Convertido a|Przekonwertowane na
stat_sub_skills_skill|Sub Skills||Sub-habilidades|Поднавыки|分支技能|サブスキル|서브 스킬|Unterfertigkeiten|Sous-compétences|Sub-Habilidades|Podumiejętności
stat_chaining_projectile|Projectiles chain||Projéteis Causam Dano em Cadeia|Снаряды наносят цепной урон|投射物連鎖|連鎖する発射物|투사체 체인|Projektile verketten sich|Chaque|Proyectiles Encadenan|Pociski łańcuchują
stat_times|times||Vezes|раз|次|回|타임스 |mal|Les projectiles s'enchaînent|veces|razy
stat_forking_projectile|Projectiles fork on hit||Projéteis Ramificam ao Atingir|Снаряды разветвляются при попадании|投射物命中時分裂|命中時に投射物が分裂する|투사체가 적중 시 갈라진다|Projektile teilen sich beim Treffer.|fois|Proyectiles se Bifurcan al Impactar|Pociski rozwidlają się przy trafieniu
stat_intelligence_skill_damage|of Intelligence is added as Magic Skill Damage||Inteligência Convertida em Dano de Habilidades Mágicas|Интеллект превращается в урон от магических навыков|智力轉為魔法技能傷害|知力が魔法スキルダメージに変換される|지능의 일부가 마법 스킬 데미지로 전환|Intelligenz wird in Magie-Fertigkeitsschaden umgewandelt.|Les projectiles se divisent à l'impact |Los proyectiles se parten al impactar. |Część Inteligencji jest konwertowana na obrażenia umiejętności magicznych
stat_intelligence_lightning|of Intelligence is added as Lightning Skill Damage||Inteligência Convertida em Dano de Habilidades de Relâmpago|Интеллект превращается в урон от навыков молнии|智力轉為閃電技能傷害|知力が雷スキルダメージに変換される|지능의 일부가 번개 스킬 데미지로 전환|Intelligenz wird in Blitz-Fertigkeitsschaden umgewandelt.|L'Intelligence est convertie en dégâts de compétence de foudre|de Energía se Convierte en Daño de Habilidades Mágicas|Część Inteligencji jest konwertowana na obrażenia umiejętności błyskawic
stat_intelligence_fire|of Intelligence is added as Fire Skill Damage||Inteligência Convertida em Dano de Habilidades de Fogo|Интеллект превращается в урон от навыков огня|智力轉為火焰技能傷害|知力が火スキルダメージに変換される|지능의 일부가 불 스킬 데미지로 전환|Intelligenz wird in Feuer-Fertigkeitsschaden umgewandelt.|L'Intelligence est convertie en dégâts de compétence de feu|de Inteligencia se Convierte en Daño de Habilidades de Rayo|Część Inteligencji jest konwertowana na obrażenia umiejętności ognistych
stat_intelligence_cold|of Intelligence is added as Cold Skill Damage||Inteligência Convertida em Dano de Habilidades de Gelo|Интеллект превращается в урон от навыков холода|智力轉為冰霜技能傷害|知力が冷気スキルダメージに変換される|지능의 일부가 냉기 스킬 데미지로 전환|Intelligenz wird in Kälte-Fertigkeitsschaden umgewandelt.|L'Intelligence est convertie en dégâts de compétence de froid|de Inteligencia se Convierte en Daño de Habilidades de Fuego|Część Inteligencji jest konwertowana na obrażenia umiejętności lodowych
stat_intelligence_arcane|of Intelligence is added as Arcane Skill Damage||Inteligência Convertida em Dano Arcano|Интеллект превращается в тайный урон|智力轉為奧術技能傷害|知力がアーケインスキルダメージに変換される|지능의 일부가 아케인 스킬 데미지로 전환|Intelligenz wird in Arkan-Fertigkeitsschaden umgewandelt.|L'Intelligence est convertie en dégâts de compétence d'arcane|de Inteligencia se Convierte en Daño de Habilidades Mágicas|Część Inteligencji jest konwertowana na obrażenia umiejętności arkanicznych
stat_intelligence_poison|of Intelligence is added as Poison Skill Damage||Inteligência Convertida em Dano de Habilidades de Veneno|Интеллект превращается в урон от навыков яда|智力轉為毒素技能傷害|知力が毒スキルダメージに変換される|지능의 일부가 독 스킬 데미지로 전환|Intelligenz wird in Gift-Fertigkeitsschaden umgewandelt.|L'Intelligence est convertie en dégâts de compétence de poison|de inteligencia se convierte en daño de habilidad de veneno. |Część Inteligencji jest konwertowana na obrażenia umiejętności trujących
stat_vitality_attack_damage|of Vitality is added as Attack Damage||Vitalidade Convertida em Dano de Ataque|Живучесть превращается в урон от атаки|體力轉為攻擊傷害|活力が攻撃ダメージに変換される|활력의 일부가 공격 데미지로 전환|Vitalität wird in Angriffsschaden umgewandelt.|La Vitalité est convertie en dégâts d'attaque|de Vitalidad se Convierte en Daño de Habilidades Mágicas|Część Witalności jest konwertowana na obrażenia ataku
stat_vitality_skill_damage|of Vitality is added as Magic Skill Damage||Vitalidade Convertida em Dano de Habilidades Mágicas|Живучесть превращается в урон от магических навыков|體力轉為魔法技能傷害|活力が魔法スキルダメージに変換される|활력의 일부가 마법 스킬 데미지로 전환|Vitalität wird in Magie-Fertigkeitsschaden umgewandelt.|La Vitalité est convertie en dégâts de compétence magique|de Vitalidad se Convierte en Daño de Ataque|Część Witalności jest konwertowana na obrażenia umiejętności magicznych
stat_vitality_lightning|of Vitality is added as Lightning Skill Damage||Vitalidade Convertida em Dano de Habilidades de Relâmpago|Живучесть превращается в урон от навыков молнии|體力轉為閃電技能傷害|活力が雷スキルダメージに変換される|활력의 일부가 번개 스킬 데미지로 전환|Vitalität wird in Blitz-Fertigkeitsschaden umgewandelt.|La Vitalité est convertie en dégâts de compétence de foudre|de vitalidad se convierte en daño de habilidad de rayo.|Część Witalności jest konwertowana na obrażenia umiejętności błyskawic
stat_vitality_fire|of Vitality is added as Fire Skill Damage||Vitalidade Convertida em Dano de Habilidades de Fogo|Живучесть превращается в урон от навыков огня|體力轉為火焰技能傷害|活力が火スキルダメージに変換される|활력의 일부가 불 스킬 데미지로 전환|Vitalität wird in Feuer-Fertigkeitsschaden umgewandelt.|La Vitalité est convertie en dégâts de compétence de feu |de vitalidad se convierte en daño de habilidad de fuego.|Część Witalności jest konwertowana na obrażenia umiejętności ognistych
stat_vitality_cold|of Vitality is added as Cold Skill Damage||Vitalidade Convertida em Dano de Habilidades de Gelo|Живучесть превращается в урон от навыков холода|體力轉為冰霜技能傷害|活力が冷気スキルダメージに変換される|활력의 일부가 냉기 스킬 데미지로 전환|der Vitalität wird in Kälte-Fertigkeitsschaden umgewandelt|de Vitalité est convertie en dégâts de compétence de froid|de vitalidad se convierte en daño de habilidad de frío.|Część Witalności jest konwertowana na obrażenia umiejętności lodowych
stat_vitality_arcane|of Vitality is added as Arcane Skill Damage||Vitalidade Convertida em Dano Arcano|Живучесть превращается в тайный урон|體力轉為奧術技能傷害|活力がアーケインスキルダメージに変換される|활력의 일부가 아케인 스킬 데미지로 전환|der Vitalität wird in Arkan-Fertigkeitsschaden umgewandelt|de Vitalité est convertie en dégâts de compétence d'arcane|de vitalidad se convierte en daño de habilidad arcana.|Część Witalności jest konwertowana na obrażenia umiejętności arkanicznych
stat_vitality_poison|of Vitality is added as Poison Skill Damage||Vitalidade Convertida em Dano de Habilidades de Veneno|Живучесть превращается в урон от навыков яда|體力轉為毒素技能傷害|活力が毒スキルダメージに変換される|활력의 일부가 독 스킬 데미지로 전환|der Vitalität wird in Gift-Fertigkeitsschaden umgewandelt|de Vitalité est convertie en dégâts de compétence de poison|de vitalidad se convierte en daño de habilidad de veneno.|Część Witalności jest konwertowana na obrażenia umiejętności trujących
stat_energy_skill_damage|of Energy is added as Magic Skill Damage||Energia Convertida em Dano de Habilidades Mágicas|Энергия превращается в урон от магических навыков|能量轉為魔法技能傷害|エネルギーが魔法スキルダメージに変換される|에너지의 일부가 마법 스킬 데미지로 전환|der Energie wird in Magie-Fertigkeitsschaden umgewandelt|d'Énergie est convertie en dégâts de compétence de magie|de energía se convierte en daño de habilidad mágica.|Część Energii jest konwertowana na obrażenia umiejętności magicznych
stat_energy_lightning|of Energy is added as Lightning Skill Damage||Energia Convertida em Dano de Habilidades de Relâmpago|Энергия превращается в урон от навыков молнии|能量轉為閃電技能傷害|エネルギーが雷スキルダメージに変換される|에너지의 일부가 번개 스킬 데미지로 전환|der Energie wird in Blitz-Fertigkeitsschaden umgewandelt|d'Énergie est convertie en dégâts de compétence de foudre|de energía se convierte en daño de habilidad de rayo.|Część Energii jest konwertowana na obrażenia umiejętności błyskawic
stat_energy_fire|of Energy is added as Fire Skill Damage||Energia Convertida em Dano de Habilidades de Fogo|Энергия превращается в урон от навыков огня|能量轉為火焰技能傷害|エネルギーが火スキルダメージに変換される|에너지의 일부가 불 스킬 데미지로 전환|der Energie wird in Feuer-Fertigkeitsschaden umgewandelt|d'Énergie est convertie en dégâts de compétence de feu|de energía se convierte en daño de habilidad de fuego.|Część Energii jest konwertowana na obrażenia umiejętności ognistych
stat_energy_cold|of Energy is added as Cold Skill Damage||Energia Convertida em Dano de Habilidades de Gelo|Энергия превращается в урон от навыков холода|能量轉為冰霜技能傷害|エネルギーが冷気スキルダメージに変換される|에너지의 일부가 냉기 스킬 데미지로 전환|der Energie wird in Kälte-Fertigkeitsschaden umgewandelt|d'Énergie est convertie en dégâts de compétence de froid|de energía se convierte en daño de habilidad de frío.|Część Energii jest konwertowana na obrażenia umiejętności lodowych
stat_energy_arcane|of Energy is added as Arcane Skill Damage||Energia Convertida em Dano Arcano|Энергия превращается в тайный урон|能量轉為奧術技能傷害|エネルギーがアーケインスキルダメージに変換される|에너지의 일부가 아케인 스킬 데미지로 전환|der Energie wird in Arkan-Fertigkeitsschaden umgewandelt|d'Énergie est convertie en dégâts de compétence d'arcane|de energía se convierte en daño de habilidad arcana.|Część Energii jest konwertowana na obrażenia umiejętności arkanicznych
stat_energy_poison|of Energy is added as Poison Skill Damage||Energia Convertida em Dano de Habilidades de Veneno|Энергия превращается в урон от навыков яда|能量轉為毒素技能傷害|エネルギーが毒スキルダメージに変換される|에너지의 일부가 독 스킬 데미지로 전환|der Energie wird in Gift-Fertigkeitsschaden umgewandelt|d'Énergie est convertie en dégâts de compétence de poison|de energía se convierte en daño de habilidad de veneno.|Część Energii jest konwertowana na obrażenia umiejętności trujących
stat_armor_attack_damage|of Armor is added as Attack Damage||Armadura Convertida em Dano de Ataque|Броня превращается в урон от атаки|護甲轉為攻擊傷害|防御力が攻撃ダメージに変換される|방어도의 일부가 공격 데미지로 전환|der Rüstung wird in Angriffsschaden umgewandelt|d'Armure est convertie en dégâts d'attaque|de armadura se convierte en daño de ataque.|Część Pancerza jest konwertowana na obrażenia ataku
stat_armor_skill_damage|of Armor is added as Magic Skill Damage||Armadura Convertida em Dano de Habilidades Mágicas|Броня превращается в урон от магических навыков|護甲轉為魔法技能傷害|防御力が魔法スキルダメージに変換される|방어도의 일부가 마법 스킬 데미지로 전환|der Rüstung wird in Magie-Fertigkeitsschaden umgewandelt|d'Armure est convertie en dégâts de compétence de magie|de armadura se convierte en daño de habilidad mágica.|Część Pancerza jest konwertowana na obrażenia umiejętności magicznych
stat_fcr_movement_speed|of Faster Cast Rate is added as Movement Speed||Taxa de Conjuração Mais Rápida Convertida em Velocidade de Movimento|Скорость чтения заклинаний превращается в скорость передвижения|施法速度轉化為移動速度|ファスターキャストレートが移動速度に変換される|시전 속도의 일부가 이동 속도로 전환|der schnelleren Zauberrate wird in Bewegungsgeschwindigkeit umgewandelt|de Vitesse d'incantation plus rapide est convertie en Vitesse de déplacement |de velocidad de lanzamiento se convierte en velocidad de movimiento. |Szybsza szybkość rzucania konwertowana na prędkość ruchu
stat_increased_ailment_damage|Ailment damage increased by||Dano de Efeitos Negativos Aumentado|Урон от негативных эффектов повышен|異常狀態傷害增加|状態異常ダメージが増加する|상태이상 데미지 증가|Leidensschaden erhöht um|Dégâts d'altération augmentés de|Daño de Afección Aumentado en|Obrażenia dolegliwości zwiększone o
stat_increased_bleed_damage|Bleed damage increased by||Dano de Sangramento Aumentado|Урон от кровотечения повышен|流血傷害增加|出血ダメージが増加する|출혈 데미지 증가|Blutungsschaden erhöht um|Dégâts de saignement augmentés de|Daño de Sangrado Aumentado en|Obrażenia krwawienia zwiększone o
stat_increased_poisoned_damage|Poisoned damage increased by||Dano de Veneno Aumentado|Урон от отравления повышен|中毒傷害增加|毒ダメージが増加する|독 데미지 증가|Vergiftungsschaden erhöht um|Dégâts d'empoisonnement augmentés de|Daño de Envenenamiento Aumentado en|Obrażenia trucizny zwiększone o
stat_increased_stasis_damage|Stasis damage increased by||Dano de Estase Aumentado|Урон от стазиса повышен|停滯傷害增加|静止ダメージが増加する|감전 데미지 증가|Staseschaden erhöht um|Dégâts de stase augmentés de|Daño de Estasis Aumentado en|Obrażenia stasis zwiększone o
stat_increased_shadow_burn_damage|Shadow Burn damage increased by||Dano de Queimadura Sombria Aumentado|Урон от теневого ожога повышен|暗影灼燒傷害增加|シャドウバーンダメージが増加する|그림자 화상 데미지 증가|Schattenbrandschaden erhöht um|Dégâts de brûlure d'ombre augmentés de|Daño de Quemadura Sombría Aumentado en|Obrażenia cienia płonącego zwiększone o
stat_increased_frost_bite_damage|Frost Bite damage increased by||Dano de Mordida de Gelo Aumentado|Урон от обморожения повышен|凍傷傷害增加|フロストバイトダメージが増加する|동상 데미지 증가|Erfrierungsschaden erhöht um|Dégâts de morsure de givre augmentés de|Daño de Mordedura Gélida Aumentado en|Obrażenia odmrożenia zwiększone o
stat_increased_burning_damage|Burning damage increased by||Dano de Queimadura Aumentado|Урон от горения повышен|燃燒傷害增加|燃焼ダメージが増加する|화상 데미지 증가|Brennschaden erhöht um|Dégâts de brûlure augmentés de|Daño de Quemadura Aumentado en|Obrażenia palenia zwiększone o
stat_ailment_crit_chance|Chance to critically hit with ailments||Chance de Acerto Crítico com Efeitos Negativos|Шанс критического удара негативными эффектами|異常狀態暴擊機率|状態異常でクリティカルヒットする確率|상태 이상 효과의 치명타 적중 확률 증가|Chance auf kritische Treffer mit Leiden|Chances d'infliger un coup critique avec les altérations|Probabilidad de Golpe Crítico con Afecciones|Szansa na trafienie krytyczne dolegliwościami
stat_ailment_crit_damage|Ailment critical damage increased by||Dano Crítico de Efeitos Negativos Aumentado|Критический урон от негативных эффектов повышен|異常狀態暴擊傷害增加|状態異常のクリティカルダメージが増加する|상태 이상 효과의 치명타 데미지 증가|Kritischer Leidensschaden erhöht um|Dégâts critiques d'altération augmentés de |Daño Crítico de Afección Aumentado en|Obrażenia krytyczne dolegliwości zwiększone o
stat_guardian_damage|Guardian damage increased by||Dano dos Guardiões Aumentado|Урон стражей повышен|守護者傷害增加|ガーディアンのダメージ増加|가디언 피해 증가|Erhöhter Wächterschaden|Dégâts des Gardiens augmentés de|Daño de los guardianes aumentado en|Obrażenia strażników zwiększone o
stat_guardian_burst|Chance for Guardians to perform an additional attack||Chance dos Guardiões Realizarem um Ataque Adicional|Шанс, что стражи выполнят дополнительную атаку|守護者有機率進行額外攻擊|ガーディアンが追加攻撃を行う確率|가디언 추가 공격 확률|Chance für Wächter, einen zusätzlichen Angriff auszuführen|Chances pour les Gardiens d'effectuer une attaque supplémentaire|Posibilidad de que los guardianes realicen un ataque adicional|Szansa na dodatkowy atak strażników
stat_guardian_attack_speed|Guardian Attack Speed increased by||Velocidade de Ataque dos Guardiões Aumentada|Скорость атаки стражей повышена|守護者攻擊速度增加|ガーディアンの攻撃速度増加|가디언 공격 속도 증가|Erhöhte Angriffsgeschwindigkeit des Wächters|Vitesse d'attaque des Gardiens augmentée de|Velocidad de ataque de los guardianes aumentada en|Zwiększona szybkość ataku strażników
stat_guardian_attack_range|Increased Guardian Attack Range||Alcance de Ataque dos Guardiões Aumentado|Дальность атаки стражей повышена|守護者攻擊範圍增加|ガーディアンの攻撃範囲増加|가디언 공격 범위 증가|Erhöhte Angriffsreichweite des Wächters|Portée d'attaque des Gardiens augmentée|Alcance de ataque de los guardianes aumentado|Zwiększony zasięg ataku strażników
stat_guardian_duration|Increased Guardian Duration||Duração dos Guardiões Aumentada|Длительность стражей повышена|守護者持續時間增加|ガーディアンの持続時間増加|가디언 지속시간 증가|Erhöhte Dauer des Wächters|Durée des Gardiens augmentée|Duración de los guardianes aumentada|Zwiększony czas trwania strażników
stat_projectile_size|Projectile Size increased by||Tamanho dos Projéteis Aumentado|Размер снарядов повышен|投射物大小增加|投射物のサイズ増加|투사체 크기 증가|Erhöhte Projektilgröße|Taille des projectiles augmentée de|Tamaño de los proyectiles aumentado en|Rozmiar pocisków zwiększony o
stat_projectile_direction|Projectiles are fired in random directions||Projéteis Disparados em Direções Aleatórias|Снаряды выпускаются в случайных направлениях|投射物向隨機方向發射|投射物がランダムな方向に発射される|투사체 랜덤한 방향 발사|Projektile werden in zufällige Richtungen abgefeuert|Les projectiles sont tirés dans des directions aléatoires|Los proyectiles se disparan en direcciones aleatorias|Pociski wystrzeliwane w losowych kierunkach
stat_projectile_return|Projectiles Return to you||Projéteis Retornam para Você|Снаряды возвращаются к вам|投射物返回自身|投射物が自分の元へ戻る|투사체가 당신에게 돌아온다|Projektile kehren zu dir zurück|Les projectiles reviennent vers vous|Los proyectiles regresan a ti|Pociski wracają do ciebie
stat_all_resistances_damage|Every point in resistances increases your damage by||Cada Ponto em Resistências Aumenta Seu Dano|Каждое очко сопротивления повышает ваш урон|每點抗性增加你的傷害|耐性が1ポイント増えるごとにダメージが |저항의 모든 포인트는 데미지를 증가시킵니다. |Jeder Punkt in Resistenzen erhöht deinen Schaden um|Chaque point de résistance augmente vos dégâts de |Cada punto de resistencia aumenta tu daño en |Każdy punkt w odpornościach zwiększa twoje obrażenia o
stat_aura_effectiveness|Increases the Effectiveness of Damaging Auras by||Efetividade de Auras de Dano Aumentada|Эффективность наносящих урон аур повышена|傷害光環的效果增加|ダメージオーラの効果を上昇させる|피해 오라의 효과를 다음과 같이 증가시킵니다.|Erhöht die Effektivität von Schadens-Auren um|Augmente l'efficacité des auras offensives :|Aumenta la efectividad de las auras dañinas en|Zwiększa skuteczność obrażających aur o
stat_aura_range|Increased Damaging Aura Range||Alcance de Auras de Dano Aumentado|Радиус наносящих урон аур повышен|傷害光環範圍增加|ダメージオーラの範囲が拡大|피해 오라 범위 증가|Erhöhte Reichweite von Schadens-Auren|Portée des auras offensives augmentée|Aumento del alcance de las auras dañinas|Zwiększony zasięg obrażających aur
stat_buff_aura_effectiveness|Increases the Effectiveness of Buffing Auras by||Efetividade de Auras de Buff Aumentada|Эффективность усиливающих аур повышена|增益光環的效果增加|バフオーラの効果を上昇させる|버프 오라의 효과를 다음과 같이 증가시킵니다.|Erhöht die Effektivität von Buff-Auren um|Augmente l'efficacité des auras de soutien :|Aumento de la efectividad de las auras potenciadoras en|Zwiększa skuteczność buffujących aur o
